product,alpha_anchor,mean_mid,anchor_minus_mean,alpha_coeffs,bucket_means,bucket_devs_from_anchor,day_end_moves,day_means,best_shape_match,best_shape_corr,best_shape_mae
PEBBLES_XL,11894.3333,13225.5893,-1331.256,551.5000|302.1667|1300.0000|2045.3333,12064.0580|12593.3346|13116.6132|14226.1627|14127.7782,169.7247|699.0013|1222.2799|2331.8294|2233.4449,3674.5000|-1552.5000|4014.0000,11549.7666|13462.0964|14664.9049,bucket1_4_dev_from_anchor,0.823989,571.8888
PEBBLES_XS,8308.1667,7404.6398,903.5269,0.8333|-217.8333|-1030.6667|-1326.1667,8291.3846|7701.7108|7232.9725|6875.8073|6921.3237,-16.7821|-606.4559|-1075.1942|-1432.3594|-1386.8430,-1951.5000|-1203.5000|-823.5000,9189.4057|6968.4101|6056.1034,bucket1_4_dev_from_anchor,0.899932,481.7548
ROBOT_DISHES,10015.6667,10018.3149,-2.6482,-126.0000|-235.1667|41.0000|405.5000,9908.9288|9905.7796|9995.2618|9999.3242|10282.2800,-106.7379|-109.8871|-20.4049|-16.3425|266.6133,-79.0000|218.5000|1077.0000,9472.6840|9944.1296|10638.1310,bucket1_4_dev_from_anchor,0.898648,106.776
ROBOT_IRONING,9000.0,8701.5703,298.4297,170.0000|176.6667|-310.0000|-720.0000,9128.8800|8945.0433|8670.8278|8374.2424|8388.8577,128.8800|-54.9567|-329.1722|-625.7576|-611.1423,-490.0000|-2000.0000|330.0000,9354.2910|8892.5689|7857.8509,bucket1_4_dev_from_anchor,0.827527,288.8527
ROBOT_LAUNDRY,9903.5,9822.7617,80.7383,-60.0000|-68.5000|24.6667|-239.5000,9832.0627|9792.6883|9910.7164|9871.3347|9707.0064,-71.4373|-110.8117|7.2164|-32.1653|-196.4936,252.0000|-751.5000|-219.0000,10273.5745|10164.6527|9030.0578,bucket1_4_dev_from_anchor,0.79814,56.5916
ROBOT_MOPPING,10661.5,11100.2132,-438.7132,120.0000|-7.3333|392.0000|530.1667,10712.5777|10863.1826|11089.5264|11521.5207|11314.2588,51.0777|201.6826|428.0264|860.0207|652.7588,-179.5000|2352.5000|-582.5000,10539.3132|11011.2686|11750.0578,bucket1_4_dev_from_anchor,0.715619,276.9138
ROBOT_VACUUMING,9550.5,9166.7758,383.7242,-255.3333|-440.0000|-322.8333|-570.5000,9340.9276|9204.5824|9195.4126|9067.3907|9025.5657,-209.5724|-345.9176|-355.0874|-483.1093|-524.9343,64.0000|-1466.5000|-309.0000,9747.1357|9125.0467|8628.1449,first_4_bucket_step,-0.809079,318.3262
SLEEP_POD_COTTON,11105.1667,11527.614,-422.4473,265.3333|277.3333|463.3333|471.5000,11295.7193|11457.2350|11635.6850|11752.0465|11497.3840,190.5526|352.0683|530.5183|646.8798|392.2173,1123.0000|1075.5000|-784.0000,10737.5829|11347.5816|12497.6773,day_end_moves_plus_mean,-0.799154,725.7917
SLEEP_POD_LAMB_WOOL,10396.3333,10701.4417,-305.1084,32.0000|207.6667|457.5000|272.0000,10456.6265|10779.0487|10859.9924|10623.1358|10788.4052,60.2932|382.7154|463.6591|226.8025|392.0719,404.5000|395.5000|16.0000,10768.7459|10476.4434|10859.1359,first_4_bucket_step,-0.939777,304.5581
SLEEP_POD_NYLON,9529.0,9636.4726,-107.4726,-75.6667|79.5000|218.5000|242.0000,9456.9774|9548.9939|9655.0688|9769.9080|9751.4147,-72.0226|19.9939|126.0688|240.9080|222.4147,-1123.0000|828.5000|1020.5000,9511.1883|9224.3988|10173.8306,bucket1_4_dev_from_anchor,0.990212,46.0557
SLEEP_POD_POLYESTER,11555.5,11840.5609,-285.0609,-63.1667|439.1667|71.5000|655.6667,11582.0872|11786.5951|11738.4840|11925.1243|12170.5143,26.5872|231.0951|182.9840|369.6243|615.0143,1765.5000|1118.5000|-917.0000,10696.7835|12015.3551|12809.5442,bucket1_4_dev_from_anchor,0.570922,222.3053
SLEEP_POD_SUEDE,11074.5,11397.4204,-322.9204,190.5000|-64.0000|370.0000|603.0000,11243.8098|11257.6710|11390.4435|11354.2057|11740.9722,169.3098|183.1710|315.9435|279.7057|666.4722,1099.0000|1048.0000|-338.0000,10254.9060|11899.1903|12038.1650,bucket1_4_dev_from_anchor,0.687608,135.2597
SNACKPACK_CHOCOLATE,9921.3333,9843.3716,77.9617,-7.6667|21.5000|36.1667|-113.6667,9942.1668|9889.4448|9881.6115|9700.0854|9803.5498,20.8335|-31.8885|-39.7218|-221.2479|-117.7836,-84.5000|-75.0000|-181.5000,9961.2095|9900.3468|9668.5587,first_4_bucket_step,-0.848108,127.3031
SNACKPACK_PISTACHIO,9634.8333,9495.8439,138.9894,-41.3333|-22.5000|-243.8333|-298.1667,9605.8713|9583.6563|9472.9272|9447.2592|9369.5055,-28.9620|-51.1770|-161.9061|-187.5741|-265.3278,-489.0000|-123.5000|-282.0000,9655.6087|9487.3927|9344.5303,bucket1_4_dev_from_anchor,0.799364,59.587
SNACKPACK_RASPBERRY,10120.3333,10077.8121,42.5212,2.5000|-79.3333|53.1667|103.1667,10094.6644|9970.1894|10093.0973|10066.7449|10164.3643,-25.6689|-150.1439|-27.2360|-53.5884|44.0310,239.5000|-110.0000|180.0000,10064.8725|10117.4464|10051.1174,day_means_dev_anchor_plus_mean,-0.688324,100.6194
SNACKPACK_STRAWBERRY,10413.8333,10706.6085,-292.7752,89.3333|260.1667|178.1667|297.0000,10524.1705|10776.0997|10690.2564|10787.4595|10755.0563,110.3372|362.2664|276.4231|373.6262|341.2230,436.0000|357.5000|97.5000,10295.3278|10794.6398|11029.8579,first_4_bucket_step,-0.952262,229.7432
SNACKPACK_VANILLA,10023.0,10097.3025,-74.3025,23.1667|-26.1667|-74.0000|109.3333,10010.7353|10030.7095|10027.5607|10263.7712|10153.7356,-12.2647|7.7095|4.5607|240.7712|130.7356,52.5000|-28.0000|303.5000,10063.8341|10026.5386|10201.5347,first_4_bucket_step,-0.883531,138.9475
TRANSLATOR_ASTRO_BLACK,9774.5,9385.2192,389.2808,-53.0000|-237.3333|-417.5000|-352.6667,9658.2231|9410.1015|9350.8400|9338.1677|9168.7636,-116.2769|-364.3985|-423.6600|-436.3323|-605.7364,155.0000|-1016.5000|-196.5000,9937.7182|9026.2545|9191.6848,first_4_bucket_step,-0.734487,240.3209
TRANSLATOR_ECLIPSE_CHARCOAL,9954.0,9813.7419,140.2581,41.5000|22.3333|-280.5000|-88.1667,9991.3426|9844.8409|9674.1264|9725.0982|9833.3013,37.3426|-109.1591|-279.8736|-228.9018|-120.6987,256.5000|-632.0000|111.0000,9636.6922|10011.4081|9793.1253,first_4_bucket_step,-0.738727,227.2228
TRANSLATOR_GRAPHITE_MIST,10130.3333,10084.6397,45.6936,327.6667|311.0000|-148.8333|-70.0000,10308.3796|10146.6874|10038.4460|9951.5022|9978.1832,178.0463|16.3541|-91.8873|-178.8311|-152.1501,-662.5000|1713.0000|-1260.5000,9788.1486|9977.2997|10488.4707,bucket1_4_dev_from_anchor,0.873653,206.5869
TRANSLATOR_SPACE_GRAY,9869.3333,9431.9019,437.4314,-297.5000|-562.6667|-472.8333|-519.6667,9638.5214|9459.6180|9422.3069|9269.2189|9369.8442,-230.8119|-409.7153|-447.0264|-600.1144|-499.4891,-507.0000|637.5000|-1689.5000,9707.2282|9612.0477|8976.4299,first_4_bucket_step,-0.675889,395.9974
TRANSLATOR_VOID_BLUE,10596.3333,10858.5793,-262.246,178.1667|19.8333|214.1667|509.1667,10710.7333|10726.0978|10829.9066|11053.9273|10972.2316,114.4000|129.7645|233.5733|457.5940|375.8983,1082.0000|-425.5000|871.0000,10188.3893|11149.0254|11238.3232,first_4_bucket_step,-0.615631,211.8735
UV_VISOR_AMBER,8627.3333,7911.6962,715.6371,-410.3333|-487.1667|-629.5000|-954.5000,8256.7607|8003.9171|7894.4335|7716.1650|7687.2050,-370.5726|-623.4162|-732.8998|-911.1683|-940.1283,-1499.5000|-1109.0000|-255.0000,9177.2059|7672.9014|6884.9815,bucket1_4_dev_from_anchor,0.866083,188.714
UV_VISOR_MAGENTA,10969.6667,11111.7929,-142.1262,-95.6667|12.1667|-169.5000|501.5000,10957.0922|11001.1262|10988.1374|11273.1344|11339.4742,-12.5745|31.4595|18.4707|303.4677|369.8075,1299.5000|254.0000|-49.0000,10398.9058|11358.4057|11578.0672,bucket1_4_dev_from_anchor,0.522814,184.5226
UV_VISOR_ORANGE,10152.0,10426.5062,-274.5062,164.8333|314.0000|558.3333|-226.5000,10338.1977|10634.1335|10662.3568|10416.1744|10081.6686,186.1977|482.1335|510.3568|264.1744|-70.3314,154.5000|114.0000|-948.0000,9876.9011|10574.2296|10828.3880,bucket1_4_dev_from_anchor,0.614893,240.9961
UV_VISOR_RED,10624.5,11063.2936,-438.7936,323.1667|487.6667|637.8333|574.0000,10883.5011|11121.9518|11199.8374|10966.5990|11144.5786,259.0011|497.4518|575.3374|342.0990|520.0786,842.0000|182.0000|698.0000,10777.5557|10624.1882|11788.1369,first_4_bucket_step,-0.741191,440.3973
UV_VISOR_YELLOW,11211.6667,10957.4608,254.2059,-56.0000|-301.1667|-491.1667|16.0000,11072.5467|10873.8745|10802.3903|10969.6124|11068.8798,-139.1200|-337.7922|-409.2764|-242.0543|-142.7869,1567.5000|466.0000|-1985.5000,10790.3959|11408.8386|10673.1477,day_end_moves_plus_mean,0.734438,971.25
