group,product,quote_mode,side,horizon,days,quote_ticks,trade_fill_count,book_or_trade_fill_count,trade_fill_rate,book_or_trade_fill_rate,mean_edge_if_filled,mean_cross_liq_edge_if_filled,mean_spread_capture_if_filled,mean_adverse_selection_if_filled,ev_per_quote,cross_liq_ev_per_quote,positive_edge_days,positive_cross_liq_days,min_day_edge_if_filled,min_day_cross_liq_edge_if_filled,min_day_ev_per_quote,cap10_edge_per_full_inventory,cap10_cross_liq_edge_per_full_inventory,score
SNACKPACK,SNACKPACK_CHOCOLATE,one_tick_inside,buy,1,3,29997,238,626,0.007934126746007934,0.02086875354202087,2.8529411764705883,-5.445378151260504,7.178571428571429,-4.32563025210084,0.022635596893022636,-0.043204320432043204,3,0,2.4407894736842106,-5.802631578947368,0.01855185518551855,28.529411764705884,-54.45378151260505,0.35660806977056225
SNACKPACK,SNACKPACK_CHOCOLATE,one_tick_inside,sell,1,3,29997,219,654,0.007300730073007301,0.021802180218021803,2.5228310502283104,-5.744292237442922,7.232876712328767,-4.710045662100456,0.018418508517518417,-0.04193752708604194,3,0,1.7727272727272727,-6.259740259740259,0.013651365136513651,25.228310502283104,-57.442922374429216,-0.16512998331796647
SNACKPACK,SNACKPACK_STRAWBERRY,best_touch,sell,1,3,29997,194,743,0.006467313398006467,0.02476914358102477,2.2551546391752577,-6.695876288659794,8.811855670103093,-6.556701030927835,0.014584791812514585,-0.043304330433043305,3,0,1.1076923076923078,-7.492307692307692,0.0072007200720072,22.551546391752577,-66.95876288659794,-0.9469355870294933
SNACKPACK,SNACKPACK_STRAWBERRY,best_touch,buy,1,3,29997,203,755,0.006767343401006767,0.02516918358502517,2.184729064039409,-6.694581280788177,8.788177339901477,-6.603448275862069,0.014784811814514786,-0.045304530453045305,3,0,1.9066666666666667,-7.253333333333333,0.014301430143014302,21.84729064039409,-66.94581280788177,-1.0147134582095316
SNACKPACK,SNACKPACK_STRAWBERRY,one_tick_inside,sell,1,3,29997,218,968,0.007267393406007267,0.03226989365603227,1.9908256880733946,-6.931192660550459,7.844036697247707,-5.853211009174312,0.014468113478014468,-0.05037170383705037,3,0,0.7142857142857143,-7.885714285714286,0.005000500050005001,19.908256880733944,-69.3119266055046,-1.33008950742169
SNACKPACK,SNACKPACK_STRAWBERRY,one_tick_inside,buy,1,3,29997,224,943,0.007467413408007467,0.031436476981031435,1.7321428571428572,-7.138392857142857,7.801339285714286,-6.069196428571429,0.012934626796012934,-0.05330533053305331,3,0,1.2,-7.975,0.009600960096009602,17.321428571428573,-71.38392857142857,-1.7077073034684418
SNACKPACK,SNACKPACK_RASPBERRY,best_touch,sell,1,3,29997,189,888,0.0063006300630063005,0.029602960296029605,1.560846560846561,-6.878306878306878,8.354497354497354,-6.7936507936507935,0.009834316765009834,-0.04333766710004334,3,0,0.7641509433962265,-7.7924528301886795,0.004050405040504051,15.60846560846561,-68.78306878306879,-1.7799637106567798
SNACKPACK,SNACKPACK_RASPBERRY,best_touch,buy,1,3,29997,195,902,0.0065006500650065,0.03006967363403007,1.5512820512820513,-6.887179487179488,8.423076923076923,-6.871794871794871,0.010084341767510085,-0.04477114378104477,3,0,1.13125,-7.2875,0.009050905090509051,15.512820512820513,-68.87179487179488,-1.7914642746325917
SNACKPACK,SNACKPACK_RASPBERRY,one_tick_inside,sell,1,3,29997,216,1127,0.0072007200720072,0.03757042370903757,1.3449074074074074,-7.097222222222222,7.342592592592593,-5.997685185185185,0.009684301763509684,-0.051105110511051106,3,0,0.5564516129032258,-7.935483870967742,0.0034503450345034505,13.449074074074074,-70.97222222222223,-2.106860686068607
SNACKPACK,SNACKPACK_RASPBERRY,one_tick_inside,buy,1,3,29997,222,1160,0.007400740074007401,0.03867053372003867,1.2027027027027026,-7.238738738738738,7.4391891891891895,-6.236486486486487,0.0089008900890089,-0.05357202386905357,3,0,0.7151162790697675,-7.709302325581396,0.006150615061506151,12.027027027027026,-72.38738738738738,-2.3276577657765776
SNACKPACK,SNACKPACK_PISTACHIO,best_touch,sell,5,3,29985,997,4309,0.03324995831248958,0.14370518592629647,0.37161484453360083,-7.594784353059177,7.883149448345035,-7.511534603811434,0.012356178089044522,-0.2525262631315658,3,0,0.22413793103448276,-7.758620689655173,0.008454227113556778,3.7161484453360085,-75.94784353059177,-3.3022155511055424
