family,group,product,kind,window,threshold,horizon,signal_n,min_day_active_edge,active_edge
product,PEBBLES,PEBBLES_XL,product_rolling,500,3.0,100,376,117.59947643979058,138.24468085106383
group,PEBBLES,PEBBLES_XL,group_equal,500,3.0,100,375,117.59736842105264,138.29866666666666
group,MICROCHIP,MICROCHIP_TRIANGLE,group_equal,1000,1.5,500,8468,109.59627971064415,156.60049598488428
group,MICROCHIP,MICROCHIP_OVAL,group_vol,1000,2.5,500,1656,108.18647540983606,193.89221014492753
product,PEBBLES,PEBBLES_XL,product_rolling,500,2.5,200,1411,107.09318181818182,146.4879518072289
group,PEBBLES,PEBBLES_XL,group_equal,500,2.5,200,1410,105.10478359908883,145.8968085106383
group,PEBBLES,PEBBLES_XL,group_vol,500,2.5,200,1413,104.8789592760181,145.73956121726823
product,PEBBLES,PEBBLES_XL,product_rolling,500,3.0,500,376,103.51442307692308,173.58909574468086
group,PEBBLES,PEBBLES_XL,group_equal,500,3.0,500,375,103.51442307692308,172.78
group,MICROCHIP,MICROCHIP_TRIANGLE,group_equal,1000,1.0,500,14405,99.89202081526452,141.0906976744186
group,MICROCHIP,MICROCHIP_TRIANGLE,group_vol,1000,1.0,500,14454,97.5467093639576,145.6259512937595
group,PEBBLES,PEBBLES_XS,group_equal,1000,2.5,500,1612,95.1715481171548,145.23014888337468
product,PEBBLES,PEBBLES_XS,product_rolling,1000,2.5,500,1611,94.5125786163522,145.65487274984483
group,MICROCHIP,MICROCHIP_TRIANGLE,group_vol,1000,2.0,500,3856,91.2760532150776,166.19022302904563
group,PEBBLES,PEBBLES_XL,group_vol,500,3.0,500,377,90.84761904761903,166.66976127320956
group,MICROCHIP,MICROCHIP_TRIANGLE,group_regression_open500,500,2.5,500,1520,90.375786163522,104.11184210526316
product,PEBBLES,PEBBLES_XL,product_rolling,500,2.5,100,1411,89.17159090909091,99.57016300496102
group,PEBBLES,PEBBLES_XL,group_equal,500,2.5,100,1410,88.69476082004556,99.4290780141844
group,PEBBLES,PEBBLES_XL,group_vol,500,2.5,100,1413,88.44683257918552,99.32873319179052
group,PEBBLES,PEBBLES_L,group_vol,1000,3.0,500,799,87.938,145.88861076345432
group,MICROCHIP,MICROCHIP_TRIANGLE,group_equal,1000,2.0,500,4030,86.05835156819839,158.53560794044665
product,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,product_rolling,1000,3.0,200,269,83.79411764705883,89.19702602230483
group,PEBBLES,PEBBLES_L,group_vol,1000,2.5,500,1904,82.6268829663963,87.27573529411765
group,MICROCHIP,MICROCHIP_SQUARE,group_equal,500,3.0,100,428,82.3525641025641,106.52570093457943
product,MICROCHIP,MICROCHIP_TRIANGLE,product_rolling,500,2.0,500,4563,81.07761087267525,103.4776462853386
group,MICROCHIP,MICROCHIP_TRIANGLE,group_vol,500,1.0,500,15918,80.02547967815143,85.00967458223396
group,MICROCHIP,MICROCHIP_TRIANGLE,group_regression_open500,500,2.0,500,4024,79.45693950177936,93.88245526838966
product,PEBBLES,PEBBLES_XL,product_rolling,200,1.5,500,8863,79.25952,88.51094437549362
group,PEBBLES,PEBBLES_XL,group_equal,200,1.5,500,8867,79.10714285714286,88.4697755723469
group,MICROCHIP,MICROCHIP_TRIANGLE,group_regression_open500,1000,3.0,500,486,79.03827751196172,161.16975308641975
group,PEBBLES,PEBBLES_XL,group_vol,200,1.5,500,8868,78.84286197564276,88.23223951285522
group,PEBBLES,PEBBLES_S,group_vol,1000,2.0,500,4149,78.36395969176053,116.78404434803568
group,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,group_regression_open500,1000,2.5,500,1184,77.40608465608466,79.67145270270271
group,MICROCHIP,MICROCHIP_TRIANGLE,group_vol,1000,3.0,500,394,77.02027027027027,142.9479695431472
group,TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,group_equal,500,3.0,500,430,76.41481481481482,102.75
group,TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,group_vol,500,3.0,500,435,74.28030303030303,101.67931034482758
product,PEBBLES,PEBBLES_XL,product_rolling,100,3.0,200,479,73.0253807106599,102.26304801670146
group,PEBBLES,PEBBLES_S,group_vol,500,2.0,500,4206,72.86763686763686,85.86424155967666
group,MICROCHIP,MICROCHIP_TRIANGLE,group_equal,500,1.0,500,15941,71.81062742333451,75.60306756163352
product,PEBBLES,PEBBLES_L,product_rolling,500,2.5,500,1534,71.55493482309124,121.88363754889178
group,MICROCHIP,MICROCHIP_SQUARE,group_vol,500,3.0,100,389,71.55263157894737,117.87789203084832
product,MICROCHIP,MICROCHIP_TRIANGLE,product_rolling,500,2.5,500,1548,71.12837837837837,111.37564599483204
group,TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,group_regression_open500,500,3.0,500,349,68.25294117647059,132.25787965616047
group,MICROCHIP,MICROCHIP_TRIANGLE,group_vol,500,1.5,500,9657,68.16102165463631,86.86139587863725
group,MICROCHIP,MICROCHIP_RECTANGLE,group_equal,500,3.0,500,396,67.08947368421053,127.2550505050505
group,SLEEP_POD,SLEEP_POD_POLYESTER,group_regression_open500,500,3.0,200,411,66.69392523364486,101.54987834549878
group,PANEL,PANEL_2X2,group_vol,1000,3.0,500,222,65.63636363636364,173.97972972972974
group,TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,group_regression_open500,1000,3.0,200,373,64.83333333333333,104.02278820375336
product,PEBBLES,PEBBLES_XL,product_rolling,200,2.0,500,4110,63.830608240680185,101.52104622871046
group,MICROCHIP,MICROCHIP_SQUARE,group_regression_open500,1000,2.5,100,1418,63.130323679727425,100.24365303244004
group,PANEL,PANEL_2X2,group_equal,1000,3.0,500,201,62.03846153846154,172.86567164179104
group,SLEEP_POD,SLEEP_POD_LAMB_WOOL,group_vol,500,3.0,500,449,61.98087431693989,87.99554565701558
group,PANEL,PANEL_2X4,group_equal,1000,2.5,500,1194,61.08910891089109,106.70979899497488
product,MICROCHIP,MICROCHIP_TRIANGLE,product_rolling,500,1.0,500,16059,60.222384023299355,74.6804595553895
group,OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,group_regression_open500,1000,3.0,500,439,59.854922279792746,114.14009111617312
product,MICROCHIP,MICROCHIP_TRIANGLE,product_rolling,500,1.5,500,10085,57.57406107406107,85.90917203767972
product,PEBBLES,PEBBLES_XL,product_rolling,500,2.0,200,4027,57.35063009636768,102.6255276881053
group,SLEEP_POD,SLEEP_POD_LAMB_WOOL,group_equal,500,3.0,500,468,57.09239130434783,90.47863247863248
product,SLEEP_POD,SLEEP_POD_NYLON,product_rolling,1000,2.5,500,1508,55.23936170212766,67.36637931034483
product,PEBBLES,PEBBLES_L,product_rolling,1000,2.5,500,1815,55.18232484076433,96.30550964187329
group,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,group_regression_open500,1000,2.5,200,1196,54.18386243386244,73.01086956521739
product,ROBOT,ROBOT_DISHES,product_rolling,1000,2.5,500,1337,53.90555555555556,87.08302169035153
product,PEBBLES,PEBBLES_XL,product_rolling,1000,3.0,100,422,53.75581395348837,114.72156398104264
group,ROBOT,ROBOT_DISHES,group_vol,1000,2.0,500,3828,52.95137976346912,75.06635318704284
product,PEBBLES,PEBBLES_XL,product_rolling,200,3.0,100,366,52.8739837398374,74.24863387978142
product,PEBBLES,PEBBLES_XL,product_rolling,200,3.0,200,366,52.68796992481203,101.53142076502732
product,PEBBLES,PEBBLES_M,product_rolling,1000,3.0,100,387,52.5296052631579,75.82558139534883
product,PEBBLES,PEBBLES_L,product_rolling,500,2.0,500,4455,52.31483913328956,59.32985409652076
group,PANEL,PANEL_2X4,group_vol,1000,2.5,500,1172,52.25337837837838,102.419795221843
product,SLEEP_POD,SLEEP_POD_NYLON,product_rolling,500,3.0,500,198,52.00819672131148,72.52272727272727
group,ROBOT,ROBOT_LAUNDRY,group_regression_open500,500,2.0,500,3741,50.45593220338983,56.282010157711845
group,ROBOT,ROBOT_LAUNDRY,group_regression_open500,1000,2.5,500,1550,50.435064935064936,69.79612903225807
product,MICROCHIP,MICROCHIP_TRIANGLE,product_rolling,1000,2.5,500,1067,50.247838616714695,119.9203373945642
product,OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,product_rolling,1000,3.0,100,158,49.16,57.33227848101266
group,ROBOT,ROBOT_DISHES,group_equal,1000,2.0,500,3852,48.65670170827858,71.9190031152648
group,SNACKPACK,SNACKPACK_RASPBERRY,group_vol,500,3.0,500,304,47.3,95.98848684210526
product,OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,product_rolling,1000,3.0,200,158,46.515625,90.98101265822784
group,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,group_regression_open500,500,3.0,500,283,46.11842105263158,89.72084805653711
group,TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,group_regression_open500,1000,2.5,200,1574,46.1031746031746,52.318932655654386
product,PEBBLES,PEBBLES_XL,product_rolling,500,1.5,200,8726,45.81830327321309,75.59947283978913
product,SLEEP_POD,SLEEP_POD_POLYESTER,product_rolling,1000,3.0,200,560,45.75,68.70267857142858
group,OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,group_regression_open500,500,3.0,500,418,44.52962962962963,79.68062200956938
group,SNACKPACK,SNACKPACK_RASPBERRY,group_equal,500,3.0,500,305,43.58474576271186,95.45737704918032
group,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,group_regression_open500,1000,2.0,500,4115,43.463793103448275,69.31373025516403
product,TRANSLATOR,TRANSLATOR_SPACE_GRAY,product_rolling,500,3.0,500,416,43.379629629629626,95.9483173076923
product,ROBOT,ROBOT_LAUNDRY,product_rolling,1000,3.0,500,301,43.04970760233918,74.68770764119601
group,TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,group_vol,1000,3.0,100,420,42.60204081632653,55.00714285714286
group,ROBOT,ROBOT_LAUNDRY,group_regression_open500,500,2.5,500,1176,41.639380530973455,56.39710884353742
product,UV_VISOR,UV_VISOR_MAGENTA,product_rolling,500,3.0,200,292,41.40963855421687,50.05650684931507
group,TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,group_equal,1000,3.0,100,394,41.33505154639175,58.98984771573604
group,OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,group_regression_open500,1000,2.5,500,1533,41.18867924528302,63.4262883235486
product,TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,product_rolling,1000,3.0,200,436,41.09027777777778,59.658256880733944
group,ROBOT,ROBOT_DISHES,group_equal,1000,2.5,500,1442,41.05491990846682,60.68411927877947
product,MICROCHIP,MICROCHIP_RECTANGLE,product_rolling,500,2.0,500,4204,40.240972222222226,85.96836346336822
product,SLEEP_POD,SLEEP_POD_POLYESTER,product_rolling,1000,2.5,200,1720,39.702,59.8
product,MICROCHIP,MICROCHIP_TRIANGLE,product_rolling,200,2.5,500,1617,39.357894736842105,50.44032158317873
group,PANEL,PANEL_2X2,group_equal,1000,3.0,200,201,38.589473684210525,89.53980099502488
group,OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,group_regression_open500,500,3.0,200,418,38.51829268292683,45.07655502392345
product,PANEL,PANEL_4X4,product_rolling,200,3.0,500,448,38.2803738317757,47.21205357142857
product,MICROCHIP,MICROCHIP_TRIANGLE,product_rolling,1000,1.5,200,8645,37.2963149078727,49.847194910352805
product,SLEEP_POD,SLEEP_POD_NYLON,product_rolling,1000,3.0,500,299,37.04812834224599,62.364548494983275
product,MICROCHIP,MICROCHIP_RECTANGLE,product_rolling,500,1.5,500,9462,36.82979734008866,72.99508560558021
product,SLEEP_POD,SLEEP_POD_NYLON,product_rolling,1000,2.0,500,4266,36.1184668989547,62.93952180028129
group,SLEEP_POD,SLEEP_POD_SUEDE,group_regression_open500,500,3.0,500,354,35.790849673202615,108.50141242937852
group,UV_VISOR,UV_VISOR_YELLOW,group_regression_open500,500,3.0,200,431,35.29017857142857,47.84106728538283
product,ROBOT,ROBOT_DISHES,product_rolling,1000,2.0,500,3987,35.20324005891016,74.70040130423878
group,UV_VISOR,UV_VISOR_AMBER,group_vol,1000,1.5,500,9857,35.07563479200432,41.47407933448311
group,ROBOT,ROBOT_LAUNDRY,group_regression_open500,200,1.5,500,8547,34.912290103608434,38.04311454311454
group,UV_VISOR,UV_VISOR_AMBER,group_equal,1000,1.5,500,9899,34.807140925074386,41.636528942317405
group,TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,group_regression_open500,1000,2.5,500,1574,34.52278177458034,62.436467598475225
group,ROBOT,ROBOT_LAUNDRY,group_regression_open500,200,2.0,500,4010,34.481425322213795,41.647880299251874
group,ROBOT,ROBOT_DISHES,group_vol,1000,1.5,500,8014,34.4576978939724,67.00873471425007
product,SLEEP_POD,SLEEP_POD_NYLON,product_rolling,1000,1.5,500,8894,34.293932725558,56.1561727006971
product,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,product_rolling,100,3.0,500,535,33.90683229813665,69.80654205607476
product,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,product_rolling,1000,2.5,200,1274,33.720877458396366,51.66483516483517
product,ROBOT,ROBOT_IRONING,product_rolling,1000,2.5,200,1601,33.639558232931726,36.094628357276704
group,SNACKPACK,SNACKPACK_STRAWBERRY,group_equal,1000,3.0,200,317,33.585798816568044,54.7192429022082
group,PANEL,PANEL_2X2,group_vol,1000,3.0,200,222,33.49473684210526,93.04504504504504
product,PANEL,PANEL_4X4,product_rolling,500,2.5,200,1755,33.42096219931271,48.06125356125356
group,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,group_equal,1000,2.0,500,4000,33.41995532390171,41.240625
product,PANEL,PANEL_4X4,product_rolling,1000,3.0,200,557,33.35087719298246,81.89048473967684
group,ROBOT,ROBOT_DISHES,group_equal,1000,1.5,500,8008,32.9960058097313,65.90422077922078
group,PANEL,PANEL_2X2,group_equal,1000,3.0,100,206,32.72105263157895,77.36650485436893
product,SLEEP_POD,SLEEP_POD_NYLON,product_rolling,500,2.0,500,4063,32.710029069767444,61.81799163179916
group,ROBOT,ROBOT_DISHES,group_vol,1000,1.0,500,14669,32.660140562249,42.54287954189106
product,UV_VISOR,UV_VISOR_AMBER,product_rolling,1000,2.5,500,1484,32.32855093256815,39.88039083557951
group,TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,group_equal,1000,2.5,100,1232,32.26470588235294,43.19034090909091
product,MICROCHIP,MICROCHIP_TRIANGLE,product_rolling,1000,1.0,200,15512,31.778602291940636,45.767212480660135
group,OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,group_vol,1000,3.0,100,288,31.43103448275862,39.671875
group,ROBOT,ROBOT_DISHES,group_vol,1000,2.5,500,1439,31.42505592841163,58.5
group,ROBOT,ROBOT_LAUNDRY,group_regression_open500,500,1.5,500,8739,31.204036581520025,45.16283327611855
group,PANEL,PANEL_2X2,group_vol,1000,3.0,100,228,31.152631578947368,76.67543859649123
product,MICROCHIP,MICROCHIP_TRIANGLE,product_rolling,1000,2.0,200,3679,31.03056603773585,62.37034520250068
product,MICROCHIP,MICROCHIP_TRIANGLE,product_rolling,200,1.0,500,16440,31.020373053241578,37.66517639902676
group,OXYGEN_SHAKE,OXYGEN_SHAKE_GARLIC,group_regression_open500,1000,2.0,500,3925,30.344594594594593,79.8915923566879
product,MICROCHIP,MICROCHIP_SQUARE,product_rolling,100,2.5,500,1740,30.177777777777777,45.68362068965517
product,MICROCHIP,MICROCHIP_RECTANGLE,product_rolling,500,2.5,500,1570,30.150793650793652,83.35127388535032
product,PANEL,PANEL_4X4,product_rolling,1000,2.5,200,1646,30.09393346379648,50.569258809234505
product,PANEL,PANEL_4X4,product_rolling,500,2.5,500,1683,29.755877034358047,51.47355912061794
group,ROBOT,ROBOT_DISHES,group_equal,1000,1.0,500,14672,29.73427068581833,41.311648037077425
group,SLEEP_POD,SLEEP_POD_POLYESTER,group_equal,1000,3.0,200,598,29.448979591836736,57.42307692307692
product,ROBOT,ROBOT_LAUNDRY,product_rolling,1000,2.5,500,1170,29.39238095238095,63.47649572649573
