day,sym,px_vs_fair,qty,h,mo
1,VEV_5500,0.6741601273975668,3,200,0.5
1,VEV_6000,-0.00018109951586591606,3,10,0.5
1,VEV_6000,-0.00018109951586591606,3,50,0.5
1,VEV_6000,-0.00018109951586591606,3,200,0.5
1,VEV_6500,-2.193662444426981e-12,3,10,0.5
1,VEV_6500,-2.193662444426981e-12,3,50,0.5
1,VEV_6500,-2.193662444426981e-12,3,200,0.5
1,VEV_5300,-3.7325235292411634,2,10,0.0
1,VEV_5300,-3.7325235292411634,2,50,0.0
1,VEV_5300,-3.7325235292411634,2,200,1.0
1,VEV_5400,-3.632505932997809,2,10,0.5
1,VEV_5400,-3.632505932997809,2,50,0.5
1,VEV_5400,-3.632505932997809,2,200,0.5
1,VEV_5500,0.6741629373835032,2,10,0.5
1,VEV_5500,0.6741629373835032,2,50,0.5
1,VEV_5500,0.6741629373835032,2,200,0.5
1,VEV_6000,-0.00018109931203452636,2,10,0.5
1,VEV_6000,-0.00018109931203452636,2,50,0.5
1,VEV_6000,-0.00018109931203452636,2,200,0.5
1,VEV_6500,-2.1934463790768736e-12,2,10,0.5
1,VEV_6500,-2.1934463790768736e-12,2,50,0.5
1,VEV_6500,-2.1934463790768736e-12,2,200,0.5
1,VEV_5400,-3.6325119849302396,5,10,1.0
1,VEV_5400,-3.6325119849302396,5,50,1.0
1,VEV_5400,-3.6325119849302396,5,200,1.0
1,VEV_5500,0.6741606710079182,5,10,0.5
1,VEV_5500,0.6741606710079182,5,50,0.5
1,VEV_5500,0.6741606710079182,5,200,0.5
1,VEV_6000,-0.0001810994763877063,5,10,0.5
1,VEV_6000,-0.0001810994763877063,5,50,0.5
1,VEV_6000,-0.0001810994763877063,5,200,0.5
1,VEV_6500,-2.1936204912179143e-12,5,10,0.5
1,VEV_6500,-2.1936204912179143e-12,5,50,0.5
1,VEV_6500,-2.1936204912179143e-12,5,200,0.5
1,VEV_5300,-0.7325770225325385,4,10,1.0
1,VEV_5300,-0.7325770225325385,4,50,1.0
1,VEV_5300,-0.7325770225325385,4,200,1.0
1,VEV_5400,-2.6325322097865644,4,10,1.0
1,VEV_5400,-2.6325322097865644,4,50,1.0
1,VEV_5400,-2.6325322097865644,4,200,0.5
1,VEV_6000,-0.00018110002556771376,4,10,0.5
1,VEV_6000,-0.00018110002556771376,4,50,0.5
1,VEV_6000,-0.00018110002556771376,4,200,0.5
1,VEV_6500,-2.1942023312549744e-12,4,10,0.5
1,VEV_6500,-2.1942023312549744e-12,4,50,0.5
1,VEV_6500,-2.1942023312549744e-12,4,200,0.5
1,VEV_5400,0.3674087969308033,4,10,0.5
1,VEV_5400,0.3674087969308033,4,50,0.5
1,VEV_5400,0.3674087969308033,4,200,1.0
1,VEV_5500,2.674131005636422,4,10,0.5
1,VEV_5500,2.674131005636422,4,50,0.5
1,VEV_5500,2.674131005636422,4,200,0.5
1,VEV_6000,-0.0001811016269784491,4,10,0.5
1,VEV_6000,-0.0001811016269784491,4,50,0.5
1,VEV_6000,-0.0001811016269784491,4,200,0.5
1,VEV_6500,-2.195898754230417e-12,4,10,0.5
1,VEV_6500,-2.195898754230417e-12,4,50,0.5
1,VEV_6500,-2.195898754230417e-12,4,200,0.5
1,VEV_5500,2.674116822520606,3,10,0.5
1,VEV_5500,2.674116822520606,3,50,0.5
1,VEV_5500,2.674116822520606,3,200,1.0
1,VEV_6000,-0.00018110265528309844,3,10,0.5
1,VEV_6000,-0.00018110265528309844,3,50,0.5
1,VEV_6000,-0.00018110265528309844,3,200,0.5
1,VEV_6500,-2.196988158947481e-12,3,10,0.5
1,VEV_6500,-2.196988158947481e-12,3,50,0.5
1,VEV_6500,-2.196988158947481e-12,3,200,0.5
1,VEV_5300,6.267221101165177,3,10,1.0
1,VEV_5300,6.267221101165177,3,50,1.0
1,VEV_5300,6.267221101165177,3,200,1.5
1,VEV_5400,1.367368628898646,3,10,1.0
1,VEV_5400,1.367368628898646,3,50,1.0
1,VEV_5400,1.367368628898646,3,200,1.0
1,VEV_5500,2.6741159639524668,3,10,0.5
1,VEV_5500,2.6741159639524668,3,50,0.5
1,VEV_5500,2.6741159639524668,3,200,0.5
1,VEV_6000,-0.00018110271729841277,3,10,0.5
1,VEV_6000,-0.00018110271729841277,3,50,0.5
1,VEV_6000,-0.00018110271729841277,3,200,0.5
1,VEV_6500,-2.19705365794843e-12,3,10,0.5
1,VEV_6500,-2.19705365794843e-12,3,50,0.5
1,VEV_6500,-2.19705365794843e-12,3,200,0.5
1,VEV_5400,1.3673692028376756,2,10,0.5
1,VEV_5400,1.3673692028376756,2,50,0.5
1,VEV_5400,1.3673692028376756,2,200,0.5
1,VEV_5500,2.674116179626843,2,10,0.5
1,VEV_5500,2.674116179626843,2,50,0.5
1,VEV_5500,2.674116179626843,2,200,0.5
1,VEV_6000,-0.00018110270133839083,2,10,0.5
1,VEV_6000,-0.00018110270133839083,2,50,0.5
1,VEV_6000,-0.00018110270133839083,2,200,0.5
1,VEV_6500,-2.1970364460522317e-12,2,10,0.5
1,VEV_6500,-2.1970364460522317e-12,2,50,0.5
1,VEV_6500,-2.1970364460522317e-12,2,200,0.5
1,VEV_5300,7.267154891421143,2,10,0.5
1,VEV_5300,7.267154891421143,2,50,0.5
1,VEV_5300,7.267154891421143,2,200,1.0
1,VEV_5400,2.3673361081579216,2,10,0.0
1,VEV_5400,2.3673361081579216,2,50,0.0
1,VEV_5400,2.3673361081579216,2,200,0.5
1,VEV_5500,2.674103786421231,2,10,0.5
1,VEV_5500,2.674103786421231,2,50,0.5
1,VEV_5500,2.674103786421231,2,200,0.5
1,VEV_6000,-0.0001811035998275732,2,10,0.5
1,VEV_6000,-0.0001811035998275732,2,50,0.5
1,VEV_6000,-0.0001811035998275732,2,200,0.5
1,VEV_6500,-2.197988235625504e-12,2,10,0.5
1,VEV_6500,-2.197988235625504e-12,2,50,0.5
1,VEV_6500,-2.197988235625504e-12,2,200,0.5
1,VEV_5400,0.36739838171386907,4,10,0.5
1,VEV_5400,0.36739838171386907,4,50,0.5
1,VEV_5400,0.36739838171386907,4,200,0.5
1,VEV_5500,1.6741271075686868,4,10,1.0
1,VEV_5500,1.6741271075686868,4,50,1.0
1,VEV_5500,1.6741271075686868,4,200,1.0
1,VEV_6000,-0.0001811019086639075,4,10,0.5
1,VEV_6000,-0.0001811019086639075,4,50,0.5
1,VEV_6000,-0.0001811019086639075,4,200,0.5
1,VEV_6500,-2.19619621963375e-12,4,10,0.5
1,VEV_6500,-2.19619621963375e-12,4,50,0.5
1,VEV_6500,-2.19619621963375e-12,4,200,0.5
1,VEV_5400,-0.6325498328702039,5,10,-0.5
1,VEV_5400,-0.6325498328702039,5,50,-0.5
1,VEV_5400,-0.6325498328702039,5,200,0.5
1,VEV_5500,1.6741465029703058,5,10,0.5
1,VEV_5500,1.6741465029703058,5,50,0.5
1,VEV_5500,1.6741465029703058,5,200,0.5
1,VEV_6000,-0.00018110050139876366,5,10,0.5
1,VEV_6000,-0.00018110050139876366,5,50,0.5
1,VEV_6000,-0.00018110050139876366,5,200,0.5
1,VEV_6500,-2.1947041149313135e-12,5,10,0.5
1,VEV_6500,-2.1947041149313135e-12,5,50,0.5
1,VEV_6500,-2.1947041149313135e-12,5,200,0.5
1,VEV_5300,0.26740535506883134,3,10,1.0
1,VEV_5300,0.26740535506883134,3,50,1.0
1,VEV_5300,0.26740535506883134,3,200,1.0
1,VEV_5500,1.674149865979036,3,10,0.5
1,VEV_5500,1.674149865979036,3,50,0.5
1,VEV_5500,1.674149865979036,3,200,0.5
1,VEV_6000,-0.0001811002575757858,3,10,0.5
1,VEV_6000,-0.0001811002575757858,3,50,0.5
1,VEV_6000,-0.0001811002575757858,3,200,0.5
1,VEV_6500,-2.1944457187446738e-12,3,10,0.5
1,VEV_6500,-2.1944457187446738e-12,3,50,0.5
1,VEV_6500,-2.1944457187446738e-12,3,200,0.5
1,VEV_5300,0.26738731045016095,5,10,0.5
1,VEV_5300,0.26738731045016095,5,50,0.5
1,VEV_5300,0.26738731045016095,5,200,0.0
1,VEV_5400,-0.6325497158124449,5,10,0.0
1,VEV_5400,-0.6325497158124449,5,50,0.0
1,VEV_5400,-0.6325497158124449,5,200,0.0
1,VEV_5500,1.6741465471448826,5,10,0.5
1,VEV_5500,1.6741465471448826,5,50,0.5
1,VEV_5500,1.6741465471448826,5,200,0.5
1,VEV_6000,-0.00018110049805450737,5,10,0.5
1,VEV_6000,-0.00018110049805450737,5,50,0.5
1,VEV_6000,-0.00018110049805450737,5,200,0.5
1,VEV_6500,-2.194700428172977e-12,5,10,0.5
1,VEV_6500,-2.194700428172977e-12,5,50,0.5
1,VEV_6500,-2.194700428172977e-12,5,200,0.5
1,VEV_5300,-3.732356187929213,3,10,0.0
1,VEV_5300,-3.732356187929213,3,50,0.0
1,VEV_5300,-3.732356187929213,3,200,1.0
1,VEV_5400,-2.6324237081573436,3,10,0.0
1,VEV_5400,-2.6324237081573436,3,50,0.0
1,VEV_5400,-2.6324237081573436,3,200,0.0
1,VEV_5500,0.6741937394250215,3,10,0.5
1,VEV_5500,0.6741937394250215,3,50,0.5
1,VEV_5500,0.6741937394250215,3,200,0.5
1,VEV_6000,-0.00018109707467920582,3,10,0.5
1,VEV_6000,-0.00018109707467920582,3,50,0.5
1,VEV_6000,-0.00018109707467920582,3,200,0.5
1,VEV_6500,-2.1910715118968177e-12,3,10,0.5
1,VEV_6500,-2.1910715118968177e-12,3,50,0.5
1,VEV_6500,-2.1910715118968177e-12,3,200,0.5
1,VEV_5300,-4.732263960751233,3,10,0.5
1,VEV_5300,-4.732263960751233,3,50,0.5
1,VEV_5300,-4.732263960751233,3,200,1.0
1,VEV_5400,-3.632378400727699,3,10,0.5
1,VEV_5400,-3.632378400727699,3,50,0.5
1,VEV_5400,-3.632378400727699,3,200,0.5
1,VEV_5500,0.6742107080838053,3,10,0.5
1,VEV_5500,0.6742107080838053,3,50,0.5
1,VEV_5500,0.6742107080838053,3,200,0.5
1,VEV_6000,-0.00018109584368775815,3,10,0.5
1,VEV_6000,-0.00018109584368775815,3,50,0.5
1,VEV_6000,-0.00018109584368775815,3,200,0.5
1,VEV_6500,-2.189766544669768e-12,3,10,0.5
1,VEV_6500,-2.189766544669768e-12,3,50,0.5
1,VEV_6500,-2.189766544669768e-12,3,200,0.5
1,VEV_5400,-1.632478485654275,3,10,0.0
1,VEV_5400,-1.632478485654275,3,50,0.0
1,VEV_5400,-1.632478485654275,3,200,0.0
1,VEV_6000,-0.00018109855976771849,3,10,0.5
1,VEV_6000,-0.00018109855976771849,3,50,0.5
1,VEV_6000,-0.00018109855976771849,3,200,0.5
1,VEV_6500,-2.1926429008137824e-12,3,10,0.5
1,VEV_6500,-2.1926429008137824e-12,3,50,0.5
1,VEV_6500,-2.1926429008137824e-12,3,200,0.5
1,VEV_5400,-1.6324662310948597,3,10,0.5
1,VEV_5400,-1.6324662310948597,3,50,0.5
1,VEV_5400,-1.6324662310948597,3,200,0.5
1,VEV_5500,1.6741778355201333,3,10,0.5
1,VEV_5500,1.6741778355201333,3,50,0.5
1,VEV_5500,1.6741778355201333,3,200,0.5
1,VEV_6000,-0.00018109821951604096,3,10,0.5
1,VEV_6000,-0.00018109821951604096,3,50,0.5
1,VEV_6000,-0.00018109821951604096,3,200,0.5
1,VEV_6500,-2.192275599842425e-12,3,10,0.5
1,VEV_6500,-2.192275599842425e-12,3,50,0.5
1,VEV_6500,-2.192275599842425e-12,3,200,0.5
1,VEV_5300,7.266669709478151,2,10,2.0
1,VEV_5300,7.266669709478151,2,50,2.0
1,VEV_5300,7.266669709478151,2,200,1.5
1,VEV_5400,1.3670978795261064,2,10,1.5
1,VEV_5400,1.3670978795261064,2,50,1.5
1,VEV_5400,1.3670978795261064,2,200,1.5
1,VEV_5500,2.674014614443461,2,10,1.5
1,VEV_5500,2.674014614443461,2,50,1.5
1,VEV_5500,2.674014614443461,2,200,1.5
1,VEV_6000,-0.00018111004843297156,2,10,0.5
1,VEV_6000,-0.00018111004843297156,2,50,0.5
1,VEV_6000,-0.00018111004843297156,2,200,0.5
1,VEV_6500,-2.204802537559473e-12,2,10,0.5
1,VEV_6500,-2.204802537559473e-12,2,50,0.5
1,VEV_6500,-2.204802537559473e-12,2,200,0.5
1,VEV_5400,1.3667342475655389,3,10,1.0
1,VEV_5400,1.3667342475655389,3,50,1.0
1,VEV_5400,1.3667342475655389,3,200,1.0
1,VEV_5500,2.6738785508834155,3,10,0.5
1,VEV_5500,2.6738785508834155,3,50,0.5
1,VEV_5500,2.6738785508834155,3,200,0.5
1,VEV_6000,-0.00018111986833821469,3,10,0.5
1,VEV_6000,-0.00018111986833821469,3,50,0.5
1,VEV_6000,-0.00018111986833821469,3,200,0.5
1,VEV_6500,-2.2151580796503615e-12,3,10,0.5
1,VEV_6500,-2.2151580796503615e-12,3,50,0.5
1,VEV_6500,-2.2151580796503615e-12,3,200,0.5
1,VEV_5400,2.366560511233729,5,10,0.0
1,VEV_5400,2.366560511233729,5,50,0.0
1,VEV_5400,2.366560511233729,5,200,0.0
1,VEV_5500,2.673813512849712,5,10,0.5
1,VEV_5500,2.673813512849712,5,50,0.5
1,VEV_5500,2.673813512849712,5,200,0.5
1,VEV_6000,-0.0001811245741862766,5,10,0.5
1,VEV_6000,-0.0001811245741862766,5,50,0.5
1,VEV_6000,-0.0001811245741862766,5,200,0.5
1,VEV_6500,-2.1507449161605636e-12,5,10,0.5
1,VEV_6500,-2.1507449161605636e-12,5,50,0.5
1,VEV_6500,-2.1507449161605636e-12,5,200,0.5
1,VEV_5400,-1.632690596541245,2,10,1.0
1,VEV_5400,-1.632690596541245,2,50,1.0
1,VEV_5400,-1.632690596541245,2,200,1.0
1,VEV_5500,1.6740940300002265,2,10,0.5
1,VEV_5500,1.6740940300002265,2,50,0.5
1,VEV_5500,1.6740940300002265,2,200,0.5
1,VEV_6000,-0.0001811042078177622,2,10,0.5
1,VEV_6000,-0.0001811042078177622,2,50,0.5
1,VEV_6000,-0.0001811042078177622,2,200,0.5
1,VEV_6500,-2.1985259482476954e-12,2,10,0.5
1,VEV_6500,-2.1985259482476954e-12,2,50,0.5
1,VEV_6500,-2.1985259482476954e-12,2,200,0.5
1,VEV_5200,2.266745193071273,4,10,1.5
1,VEV_5200,2.266745193071273,4,50,1.5
1,VEV_5200,2.266745193071273,4,200,0.5
1,VEV_5500,1.6740728187693144,4,10,0.5
1,VEV_5500,1.6740728187693144,4,50,0.5
1,VEV_5500,1.6740728187693144,4,200,0.5
1,VEV_6000,-0.00018110574439170277,4,10,0.5
1,VEV_6000,-0.00018110574439170277,4,50,0.5
1,VEV_6000,-0.00018110574439170277,4,200,0.5
1,VEV_6500,-2.2001525418641895e-12,4,10,0.5
1,VEV_6500,-2.2001525418641895e-12,4,50,0.5
1,VEV_6500,-2.2001525418641895e-12,4,200,0.5
1,VEV_5400,-2.6322787639422707,4,10,1.0
1,VEV_5400,-2.6322787639422707,4,50,1.0
1,VEV_5400,-2.6322787639422707,4,200,1.0
1,VEV_5500,0.6742484988285682,4,10,0.5
1,VEV_5500,0.6742484988285682,4,50,0.5
1,VEV_5500,0.6742484988285682,4,200,0.5
1,VEV_6000,-0.0001810929090005622,4,10,0.5
1,VEV_6000,-0.0001810929090005622,4,50,0.5
1,VEV_6000,-0.0001810929090005622,4,200,0.5
1,VEV_6500,-2.1864486939879765e-12,4,10,0.5
1,VEV_6500,-2.1864486939879765e-12,4,50,0.5
1,VEV_6500,-2.1864486939879765e-12,4,200,0.5
1,VEV_5300,0.26814660966745407,5,10,1.0
1,VEV_5300,0.26814660966745407,5,50,1.0
1,VEV_5300,0.26814660966745407,5,200,1.0
1,VEV_5400,-2.6321745170246196,5,10,1.0
1,VEV_5400,-2.6321745170246196,5,50,1.0
1,VEV_5400,-2.6321745170246196,5,200,1.0
1,VEV_5500,0.6742879690725303,5,10,0.5
1,VEV_5500,0.6742879690725303,5,50,0.5
1,VEV_5500,0.6742879690725303,5,200,0.5
1,VEV_6000,-0.0001810898716676371,5,10,0.5
1,VEV_6000,-0.0001810898716676371,5,50,0.5
1,VEV_6000,-0.0001810898716676371,5,200,0.5
1,VEV_6500,-2.1830425480879585e-12,5,10,0.5
1,VEV_6500,-2.1830425480879585e-12,5,50,0.5
1,VEV_6500,-2.1830425480879585e-12,5,200,0.5
1,VEV_5300,1.2677186709065893,2,10,1.0
1,VEV_5300,1.2677186709065893,2,50,1.0
1,VEV_5300,1.2677186709065893,2,200,1.0
1,VEV_5500,0.6742093026917857,2,10,0.5
1,VEV_5500,0.6742093026917857,2,50,0.5
1,VEV_5500,0.6742093026917857,2,200,1.0
1,VEV_6000,-0.00018109556378315432,2,10,0.5
1,VEV_6000,-0.00018109556378315432,2,50,0.5
1,VEV_6000,-0.00018109556378315432,2,200,0.5
1,VEV_6500,-2.189060938049641e-12,2,10,0.5
1,VEV_6500,-2.189060938049641e-12,2,50,0.5
1,VEV_6500,-2.189060938049641e-12,2,200,0.5
1,VEV_5400,-3.6312074774620093,5,10,0.5
1,VEV_5400,-3.6312074774620093,5,50,0.5
1,VEV_5400,-3.6312074774620093,5,200,1.0
1,VEV_5500,0.6746507939192234,5,10,0.5
1,VEV_5500,0.6746507939192234,5,50,0.5
1,VEV_5500,0.6746507939192234,5,200,0.5
1,VEV_6000,-0.00018106328742945434,5,10,0.5
1,VEV_6000,-0.00018106328742945434,5,50,0.5
1,VEV_6000,-0.00018106328742945434,5,200,0.5
1,VEV_6500,-2.1545789113342263e-12,5,10,0.5
1,VEV_6500,-2.1545789113342263e-12,5,50,0.5
1,VEV_6500,-2.1545789113342263e-12,5,200,0.5
1,VEV_5400,-4.630222609935856,3,10,0.5
1,VEV_5400,-4.630222609935856,3,50,0.5
1,VEV_5400,-4.630222609935856,3,200,1.0
1,VEV_5500,-0.32497992321476943,3,10,0.5
1,VEV_5500,-0.32497992321476943,3,50,0.5
1,VEV_5500,-0.32497992321476943,3,200,0.5
1,VEV_6000,-0.00018103632386593264,3,10,0.5
1,VEV_6000,-0.00018103632386593264,3,50,0.5
1,VEV_6000,-0.00018103632386593264,3,200,0.5
1,VEV_6500,-2.1258084497167283e-12,3,10,0.5
1,VEV_6500,-2.1258084497167283e-12,3,50,0.5
1,VEV_6500,-2.1258084497167283e-12,3,200,0.5
1,VEV_5400,-4.629077909084955,2,10,0.5
1,VEV_5400,-4.629077909084955,2,50,0.5
1,VEV_5400,-4.629077909084955,2,200,0.5
1,VEV_5500,-0.3245501730704561,2,10,0.5
1,VEV_5500,-0.3245501730704561,2,50,0.5
1,VEV_5500,-0.3245501730704561,2,200,0.5
1,VEV_6000,-0.0001810047271507331,2,10,0.5
1,VEV_6000,-0.0001810047271507331,2,50,0.5
1,VEV_6000,-0.0001810047271507331,2,200,0.5
1,VEV_6500,-2.1612522334024203e-12,2,10,0.5
1,VEV_6500,-2.1612522334024203e-12,2,50,0.5
1,VEV_6500,-2.1612522334024203e-12,2,200,0.5
1,VEV_4000,-16.98077299771967,1,10,5.5
1,VEV_4000,-16.98077299771967,1,50,5.5
1,VEV_4000,-16.98077299771967,1,200,0.0
1,VEV_4500,-16.98095419420474,1,10,4.0
1,VEV_4500,-16.98095419420474,1,50,4.0
1,VEV_4500,-16.98095419420474,1,200,0.0
1,VEV_5000,-17.307972100626188,1,10,2.0
1,VEV_5000,-17.307972100626188,1,50,2.0
1,VEV_5000,-17.307972100626188,1,200,0.5
1,VEV_5100,-15.616926380461223,1,10,1.0
1,VEV_5100,-15.616926380461223,1,50,1.0
1,VEV_5100,-15.616926380461223,1,200,0.0
1,VEV_5200,-8.720741029831899,1,10,0.5
1,VEV_5200,-8.720741029831899,1,50,0.5
1,VEV_5200,-8.720741029831899,1,200,-0.5
1,VEV_5300,-4.725188853522262,1,10,0.5
1,VEV_5300,-4.725188853522262,1,50,0.5
1,VEV_5300,-4.725188853522262,1,200,0.0
1,VEV_5400,-4.6288935425386875,4,10,0.5
1,VEV_5400,-4.6288935425386875,4,50,0.5
1,VEV_5400,-4.6288935425386875,4,200,0.5
1,VEV_5500,-0.32448036175295414,4,10,0.5
