day,product,side,trades,total_qty,m22_mean_t10,m22_qty_wmean_t10,contra_mean_t10,contra_qty_wmean_t10,contra_win_rate_t10,m22_mean_t50,m22_qty_wmean_t50,contra_mean_t50,contra_qty_wmean_t50,contra_win_rate_t50,m22_mean_t200,m22_qty_wmean_t200,contra_mean_t200,contra_qty_wmean_t200,contra_win_rate_t200,m22_mean_t500,m22_qty_wmean_t500,contra_mean_t500,contra_qty_wmean_t500,contra_win_rate_t500
3,VELVETFRUIT_EXTRACT,sell,24,182,-0.875,-0.8543956043956044,0.875,0.8543956043956044,0.7916666666666666,-0.875,-0.8543956043956044,0.875,0.8543956043956044,0.7916666666666666,-0.5833333333333334,-0.6483516483516484,0.5833333333333334,0.6483516483516484,0.625,-0.2916666666666667,-0.2664835164835165,0.2916666666666667,0.2664835164835165,0.5416666666666666
1,VEV_4000,sell,1,1,-5.5,-5.5,5.5,5.5,1.0,-5.5,-5.5,5.5,5.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0
3,VEV_4000,buy,1,3,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0,2.0,2.0,-2.0,-2.0,0.0,4.0,4.0,-4.0,-4.0,0.0
3,VEV_4000,sell,1,2,0.5,0.5,-0.5,-0.5,0.0,0.5,0.5,-0.5,-0.5,0.0,0.5,0.5,-0.5,-0.5,0.0,-0.5,-0.5,0.5,0.5,1.0
1,VEV_4500,sell,1,1,-4.0,-4.0,4.0,4.0,1.0,-4.0,-4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0
3,VEV_4500,buy,1,3,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0,2.0,2.0,-2.0,-2.0,0.0,4.0,4.0,-4.0,-4.0,0.0
3,VEV_4500,sell,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,VEV_5000,sell,1,1,-2.0,-2.0,2.0,2.0,1.0,-2.0,-2.0,2.0,2.0,1.0,-0.5,-0.5,0.5,0.5,1.0,0.5,0.5,-0.5,-0.5,0.0
3,VEV_5000,buy,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,4.0,4.0,-4.0,-4.0,0.0
3,VEV_5000,sell,1,2,0.5,0.5,-0.5,-0.5,0.0,0.5,0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,VEV_5100,sell,1,1,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0
3,VEV_5100,buy,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,4.0,4.0,-4.0,-4.0,0.0
3,VEV_5100,sell,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,VEV_5200,sell,7,22,-1.2857142857142858,-1.3409090909090908,1.2857142857142858,1.3409090909090908,1.0,-1.2857142857142858,-1.3409090909090908,1.2857142857142858,1.3409090909090908,1.0,-0.5714285714285714,-0.5454545454545454,0.5714285714285714,0.5454545454545454,0.7142857142857143,-0.35714285714285715,-0.36363636363636365,0.35714285714285715,0.36363636363636365,0.7142857142857143
2,VEV_5200,sell,8,26,-1.3125,-1.25,1.3125,1.25,1.0,-1.3125,-1.25,1.3125,1.25,1.0,-1.0625,-1.0,1.0625,1.0,0.875,-1.0,-1.0384615384615385,1.0,1.0384615384615385,1.0
3,VEV_5200,buy,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,-1.5,-1.5,0.0,3.0,3.0,-3.0,-3.0,0.0
3,VEV_5200,sell,31,111,-0.9193548387096774,-0.954954954954955,0.9193548387096774,0.954954954954955,0.9032258064516129,-0.9193548387096774,-0.954954954954955,0.9193548387096774,0.954954954954955,0.9032258064516129,-0.9193548387096774,-0.9459459459459459,0.9193548387096774,0.9459459459459459,0.7741935483870968,-0.7419354838709677,-0.7837837837837838,0.7419354838709677,0.7837837837837838,0.7096774193548387
1,VEV_5300,sell,39,130,-0.8205128205128205,-0.8423076923076923,0.8205128205128205,0.8423076923076923,0.8717948717948718,-0.8205128205128205,-0.8423076923076923,0.8205128205128205,0.8423076923076923,0.8717948717948718,-0.8076923076923077,-0.8153846153846154,0.8076923076923077,0.8153846153846154,0.7692307692307693,-0.717948717948718,-0.75,0.717948717948718,0.75,0.6410256410256411
2,VEV_5300,sell,45,162,-0.7,-0.6944444444444444,0.7,0.6944444444444444,0.7333333333333333,-0.7,-0.6944444444444444,0.7,0.6944444444444444,0.7333333333333333,-0.6333333333333333,-0.5987654320987654,0.6333333333333333,0.5987654320987654,0.6222222222222222,-0.6555555555555556,-0.6450617283950617,0.6555555555555556,0.6450617283950617,0.6888888888888889
3,VEV_5300,buy,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,0.0
3,VEV_5300,sell,79,253,-0.7151898734177216,-0.717391304347826,0.7151898734177216,0.717391304347826,0.8227848101265823,-0.7151898734177216,-0.717391304347826,0.7151898734177216,0.717391304347826,0.8227848101265823,-0.6962025316455697,-0.7154150197628458,0.6962025316455697,0.7154150197628458,0.7721518987341772,-0.6708860759493671,-0.6739130434782609,0.6708860759493671,0.6739130434782609,0.6708860759493671
1,VEV_5400,sell,81,286,-0.5432098765432098,-0.541958041958042,0.5432098765432098,0.541958041958042,0.8765432098765432,-0.5432098765432098,-0.541958041958042,0.5432098765432098,0.541958041958042,0.8765432098765432,-0.5493827160493827,-0.5594405594405595,0.5493827160493827,0.5594405594405595,0.8395061728395061,-0.5925925925925926,-0.5944055944055944,0.5925925925925926,0.5944055944055944,0.8641975308641975
2,VEV_5400,sell,80,283,-0.58125,-0.5830388692579506,0.58125,0.5830388692579506,0.875,-0.58125,-0.5830388692579506,0.58125,0.5830388692579506,0.875,-0.5625,-0.5547703180212014,0.5625,0.5547703180212014,0.8375,-0.58125,-0.5706713780918727,0.58125,0.5706713780918727,0.8
3,VEV_5400,sell,115,390,-0.5217391304347826,-0.5217948717948718,0.5217391304347826,0.5217948717948718,0.9391304347826087,-0.5217391304347826,-0.5217948717948718,0.5217391304347826,0.5217948717948718,0.9391304347826087,-0.5304347826086957,-0.5371794871794872,0.5304347826086957,0.5371794871794872,0.9304347826086956,-0.5173913043478261,-0.5282051282051282,0.5173913043478261,0.5282051282051282,0.8869565217391304
1,VEV_5500,sell,92,321,-0.5054347826086957,-0.48909657320872274,0.5054347826086957,0.48909657320872274,0.9347826086956522,-0.5054347826086957,-0.48909657320872274,0.5054347826086957,0.48909657320872274,0.9347826086956522,-0.5217391304347826,-0.5109034267912772,0.5217391304347826,0.5109034267912772,0.9347826086956522,-0.5163043478260869,-0.5218068535825545,0.5163043478260869,0.5218068535825545,0.9239130434782609
2,VEV_5500,sell,94,335,-0.5159574468085106,-0.5119402985074627,0.5159574468085106,0.5119402985074627,0.9680851063829787,-0.5159574468085106,-0.5119402985074627,0.5159574468085106,0.5119402985074627,0.9680851063829787,-0.4946808510638298,-0.4955223880597015,0.4946808510638298,0.4955223880597015,0.9574468085106383,-0.4946808510638298,-0.49402985074626865,0.4946808510638298,0.49402985074626865,0.925531914893617
3,VEV_5500,sell,120,413,-0.5,-0.4963680387409201,0.5,0.4963680387409201,0.9916666666666667,-0.5,-0.4963680387409201,0.5,0.4963680387409201,0.9916666666666667,-0.5083333333333333,-0.5036319612590799,0.5083333333333333,0.5036319612590799,0.9916666666666667,-0.49166666666666664,-0.4915254237288136,0.49166666666666664,0.4915254237288136,0.95
1,VEV_6000,sell,98,345,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0
2,VEV_6000,sell,95,337,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0
3,VEV_6000,sell,124,423,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0
1,VEV_6500,sell,98,345,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0
2,VEV_6500,sell,95,337,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0
3,VEV_6500,sell,124,423,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0,-0.5,-0.5,0.5,0.5,1.0
