day,timestamp,trader,counterparty,product,side,direction,price,qty,bid,ask,mid,spread,signed_price_vs_mid,touch_distance,at_or_through_touch,inside_spread,future_mid_10,edge_10,mid_move_10,future_mid_50,edge_50,mid_move_50,future_mid_200,edge_200,mid_move_200,future_mid_500,edge_500,mid_move_500,future_mid_1000,edge_1000,mid_move_1000,future_mid_2000,edge_2000,mid_move_2000,future_mid_5000,edge_5000,mid_move_5000
1,5300,Mark 38,Mark 14,VEV_4000,buy,1,1264.0,2,1243.0,1264.0,1253.5,21.0,10.5,0.0,True,False,1255.5,-8.5,2.0,1255.5,-8.5,2.0,1254.5,-9.5,1.0,1253.5,-10.5,0.0,1252.5,-11.5,-1.0,1246.5,-17.5,-7.0,1243.5,-20.5,-10.0
1,5300,Mark 14,Mark 38,VEV_4000,sell,-1,1264.0,2,1243.0,1264.0,1253.5,21.0,-10.5,-21.0,False,False,1255.5,8.5,-2.0,1255.5,8.5,-2.0,1254.5,9.5,-1.0,1253.5,10.5,-0.0,1252.5,11.5,1.0,1246.5,17.5,7.0,1243.5,20.5,10.0
1,6100,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,buy,1,5255.0,3,5250.0,5255.0,5252.5,5.0,2.5,0.0,True,False,5252.5,-2.5,0.0,5252.5,-2.5,0.0,5252.5,-2.5,0.0,5250.5,-4.5,-2.0,5248.5,-6.5,-4.0,5247.5,-7.5,-5.0,5244.5,-10.5,-8.0
1,6100,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,sell,-1,5255.0,3,5250.0,5255.0,5252.5,5.0,-2.5,-5.0,False,False,5252.5,2.5,-0.0,5252.5,2.5,-0.0,5252.5,2.5,-0.0,5250.5,4.5,2.0,5248.5,6.5,4.0,5247.5,7.5,5.0,5244.5,10.5,8.0
1,6200,Mark 38,Mark 14,HYDROGEL_PACK,buy,1,9955.0,5,9939.0,9955.0,9947.0,16.0,8.0,0.0,True,False,9946.0,-9.0,-1.0,9946.0,-9.0,-1.0,9947.0,-8.0,0.0,9945.0,-10.0,-2.0,9946.0,-9.0,-1.0,9945.0,-10.0,-2.0,9941.0,-14.0,-6.0
1,6200,Mark 14,Mark 38,HYDROGEL_PACK,sell,-1,9955.0,5,9939.0,9955.0,9947.0,16.0,-8.0,-16.0,False,False,9946.0,9.0,1.0,9946.0,9.0,1.0,9947.0,8.0,-0.0,9945.0,10.0,2.0,9946.0,9.0,1.0,9945.0,10.0,2.0,9941.0,14.0,6.0
1,9400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,buy,1,5244.0,8,5243.0,5244.0,5243.5,1.0,0.5,0.0,True,False,5244.0,0.0,0.5,5244.0,0.0,0.5,5246.5,2.5,3.0,5245.0,1.0,1.5,5239.5,-4.5,-4.0,5243.5,-0.5,0.0,5233.5,-10.5,-10.0
1,9400,Mark 49,Mark 55,VELVETFRUIT_EXTRACT,sell,-1,5244.0,8,5243.0,5244.0,5243.5,1.0,-0.5,-1.0,False,False,5244.0,-0.0,-0.5,5244.0,-0.0,-0.5,5246.5,-2.5,-3.0,5245.0,-1.0,-1.5,5239.5,4.5,4.0,5243.5,0.5,-0.0,5233.5,10.5,10.0
1,9600,Mark 01,Mark 22,VEV_5400,buy,1,16.0,4,16.0,18.0,17.0,2.0,-1.0,-2.0,False,False,16.5,0.5,-0.5,16.5,0.5,-0.5,17.0,1.0,0.0,16.5,0.5,-0.5,16.0,0.0,-1.0,16.0,0.0,-1.0,14.5,-1.5,-2.5
1,9600,Mark 22,Mark 01,VEV_5400,sell,-1,16.0,4,16.0,18.0,17.0,2.0,1.0,0.0,True,False,16.5,-0.5,0.5,16.5,-0.5,0.5,17.0,-1.0,-0.0,16.5,-0.5,0.5,16.0,-0.0,1.0,16.0,-0.0,1.0,14.5,1.5,2.5
1,9600,Mark 01,Mark 22,VEV_5500,buy,1,7.0,4,7.0,8.0,7.5,1.0,-0.5,-1.0,False,False,7.5,0.5,0.0,7.5,0.5,0.0,7.5,0.5,0.0,7.5,0.5,0.0,7.5,0.5,0.0,7.5,0.5,0.0,6.5,-0.5,-1.0
1,9600,Mark 22,Mark 01,VEV_5500,sell,-1,7.0,4,7.0,8.0,7.5,1.0,0.5,0.0,True,False,7.5,-0.5,-0.0,7.5,-0.5,-0.0,7.5,-0.5,-0.0,7.5,-0.5,-0.0,7.5,-0.5,-0.0,7.5,-0.5,-0.0,6.5,0.5,1.0
1,9600,Mark 01,Mark 22,VEV_6000,buy,1,0.0,4,0.0,1.0,0.5,1.0,-0.5,-1.0,False,False,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1,9600,Mark 22,Mark 01,VEV_6000,sell,-1,0.0,4,0.0,1.0,0.5,1.0,0.5,0.0,True,False,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0
1,9600,Mark 01,Mark 22,VEV_6500,buy,1,0.0,4,0.0,1.0,0.5,1.0,-0.5,-1.0,False,False,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1,9600,Mark 22,Mark 01,VEV_6500,sell,-1,0.0,4,0.0,1.0,0.5,1.0,0.5,0.0,True,False,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0
1,10400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,buy,1,5240.0,12,5239.0,5240.0,5239.5,1.0,0.5,0.0,True,False,5241.5,1.5,2.0,5241.5,1.5,2.0,5241.5,1.5,2.0,5243.5,3.5,4.0,5243.5,3.5,4.0,5241.5,1.5,2.0,5233.5,-6.5,-6.0
1,10400,Mark 49,Mark 67,VELVETFRUIT_EXTRACT,sell,-1,5240.0,12,5239.0,5240.0,5239.5,1.0,-0.5,-1.0,False,False,5241.5,-1.5,-2.0,5241.5,-1.5,-2.0,5241.5,-1.5,-2.0,5243.5,-3.5,-4.0,5243.5,-3.5,-4.0,5241.5,-1.5,-2.0,5233.5,6.5,6.0
1,11800,Mark 01,Mark 22,VEV_5500,buy,1,7.0,4,7.0,8.0,7.5,1.0,-0.5,-1.0,False,False,7.5,0.5,0.0,7.5,0.5,0.0,7.5,0.5,0.0,7.5,0.5,0.0,6.5,-0.5,-1.0,6.5,-0.5,-1.0,6.5,-0.5,-1.0
1,11800,Mark 22,Mark 01,VEV_5500,sell,-1,7.0,4,7.0,8.0,7.5,1.0,0.5,0.0,True,False,7.5,-0.5,-0.0,7.5,-0.5,-0.0,7.5,-0.5,-0.0,7.5,-0.5,-0.0,6.5,0.5,1.0,6.5,0.5,1.0,6.5,0.5,1.0
1,11800,Mark 01,Mark 22,VEV_6000,buy,1,0.0,4,0.0,1.0,0.5,1.0,-0.5,-1.0,False,False,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1,11800,Mark 22,Mark 01,VEV_6000,sell,-1,0.0,4,0.0,1.0,0.5,1.0,0.5,0.0,True,False,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0
1,11800,Mark 01,Mark 22,VEV_6500,buy,1,0.0,4,0.0,1.0,0.5,1.0,-0.5,-1.0,False,False,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1,11800,Mark 22,Mark 01,VEV_6500,sell,-1,0.0,4,0.0,1.0,0.5,1.0,0.5,0.0,True,False,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0
1,14300,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,buy,1,5238.0,6,5233.0,5238.0,5235.5,5.0,2.5,0.0,True,False,5233.5,-4.5,-2.0,5233.5,-4.5,-2.0,5234.5,-3.5,-1.0,5234.5,-3.5,-1.0,5233.5,-4.5,-2.0,5230.0,-8.0,-5.5,5228.5,-9.5,-7.0
1,14300,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,sell,-1,5238.0,6,5233.0,5238.0,5235.5,5.0,-2.5,-5.0,False,False,5233.5,4.5,2.0,5233.5,4.5,2.0,5234.5,3.5,1.0,5234.5,3.5,1.0,5233.5,4.5,2.0,5230.0,8.0,5.5,5228.5,9.5,7.0
1,14800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,buy,1,5232.0,6,5232.0,5237.0,5234.5,5.0,-2.5,-5.0,False,False,5234.5,2.5,0.0,5234.5,2.5,0.0,5233.5,1.5,-1.0,5233.5,1.5,-1.0,5232.0,0.0,-2.5,5230.5,-1.5,-4.0,5228.5,-3.5,-6.0
1,14800,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,sell,-1,5232.0,6,5232.0,5237.0,5234.5,5.0,2.5,0.0,True,False,5234.5,-2.5,-0.0,5234.5,-2.5,-0.0,5233.5,-1.5,1.0,5233.5,-1.5,1.0,5232.0,-0.0,2.5,5230.5,1.5,4.0,5228.5,3.5,6.0
1,14800,Mark 01,Mark 22,VEV_5300,buy,1,42.0,4,42.0,44.0,43.0,2.0,-1.0,-2.0,False,False,43.0,1.0,0.0,43.0,1.0,0.0,42.5,0.5,-0.5,43.0,1.0,0.0,42.0,0.0,-1.0,42.0,0.0,-1.0,41.0,-1.0,-2.0
1,14800,Mark 22,Mark 01,VEV_5300,sell,-1,42.0,4,42.0,44.0,43.0,2.0,1.0,0.0,True,False,43.0,-1.0,-0.0,43.0,-1.0,-0.0,42.5,-0.5,0.5,43.0,-1.0,-0.0,42.0,-0.0,1.0,42.0,-0.0,1.0,41.0,1.0,2.0
1,14800,Mark 01,Mark 22,VEV_5400,buy,1,14.0,4,14.0,16.0,15.0,2.0,-1.0,-2.0,False,False,14.5,0.5,-0.5,14.5,0.5,-0.5,14.5,0.5,-0.5,14.5,0.5,-0.5,14.5,0.5,-0.5,14.5,0.5,-0.5,13.5,-0.5,-1.5
1,14800,Mark 22,Mark 01,VEV_5400,sell,-1,14.0,4,14.0,16.0,15.0,2.0,1.0,0.0,True,False,14.5,-0.5,0.5,14.5,-0.5,0.5,14.5,-0.5,0.5,14.5,-0.5,0.5,14.5,-0.5,0.5,14.5,-0.5,0.5,13.5,0.5,1.5
1,14800,Mark 01,Mark 22,VEV_5500,buy,1,6.0,4,6.0,7.0,6.5,1.0,-0.5,-1.0,False,False,6.5,0.5,0.0,6.5,0.5,0.0,6.5,0.5,0.0,6.5,0.5,0.0,6.5,0.5,0.0,6.5,0.5,0.0,6.0,0.0,-0.5
1,14800,Mark 22,Mark 01,VEV_5500,sell,-1,6.0,4,6.0,7.0,6.5,1.0,0.5,0.0,True,False,6.5,-0.5,-0.0,6.5,-0.5,-0.0,6.5,-0.5,-0.0,6.5,-0.5,-0.0,6.5,-0.5,-0.0,6.5,-0.5,-0.0,6.0,-0.0,0.5
1,14800,Mark 01,Mark 22,VEV_6000,buy,1,0.0,4,0.0,1.0,0.5,1.0,-0.5,-1.0,False,False,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1,14800,Mark 22,Mark 01,VEV_6000,sell,-1,0.0,4,0.0,1.0,0.5,1.0,0.5,0.0,True,False,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0
1,14800,Mark 01,Mark 22,VEV_6500,buy,1,0.0,4,0.0,1.0,0.5,1.0,-0.5,-1.0,False,False,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1,14800,Mark 22,Mark 01,VEV_6500,sell,-1,0.0,4,0.0,1.0,0.5,1.0,0.5,0.0,True,False,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0
1,15000,Mark 38,Mark 14,HYDROGEL_PACK,buy,1,9966.0,4,9951.0,9966.0,9958.5,15.0,7.5,0.0,True,False,9957.0,-9.0,-1.5,9957.0,-9.0,-1.5,9956.0,-10.0,-2.5,9957.0,-9.0,-1.5,9958.0,-8.0,-0.5,9947.0,-19.0,-11.5,9951.0,-15.0,-7.5
1,15000,Mark 14,Mark 38,HYDROGEL_PACK,sell,-1,9966.0,4,9951.0,9966.0,9958.5,15.0,-7.5,-15.0,False,False,9957.0,9.0,1.5,9957.0,9.0,1.5,9956.0,10.0,2.5,9957.0,9.0,1.5,9958.0,8.0,0.5,9947.0,19.0,11.5,9951.0,15.0,7.5
1,16700,Mark 14,Mark 38,VEV_4000,buy,1,1221.0,2,1221.0,1231.0,1226.0,10.0,-5.0,-10.0,False,False,1230.5,9.5,4.5,1230.5,9.5,4.5,1229.5,8.5,3.5,1232.5,11.5,6.5,1233.5,12.5,7.5,1228.0,7.0,2.0,1229.0,8.0,3.0
1,16700,Mark 38,Mark 14,VEV_4000,sell,-1,1221.0,2,1221.0,1231.0,1226.0,10.0,5.0,0.0,True,False,1230.5,-9.5,-4.5,1230.5,-9.5,-4.5,1229.5,-8.5,-3.5,1232.5,-11.5,-6.5,1233.5,-12.5,-7.5,1228.0,-7.0,-2.0,1229.0,-8.0,-3.0
1,16700,Mark 01,Mark 22,VEV_5300,buy,1,41.0,2,41.0,43.0,42.0,2.0,-1.0,-2.0,False,False,42.0,1.0,0.0,42.0,1.0,0.0,41.0,0.0,-1.0,42.0,1.0,0.0,43.0,2.0,1.0,41.0,0.0,-1.0,41.0,0.0,-1.0
1,16700,Mark 22,Mark 01,VEV_5300,sell,-1,41.0,2,41.0,43.0,42.0,2.0,1.0,0.0,True,False,42.0,-1.0,-0.0,42.0,-1.0,-0.0,41.0,-0.0,1.0,42.0,-1.0,-0.0,43.0,-2.0,-1.0,41.0,-0.0,1.0,41.0,-0.0,1.0
1,16700,Mark 01,Mark 22,VEV_5400,buy,1,14.0,2,14.0,15.0,14.5,1.0,-0.5,-1.0,False,False,14.5,0.5,0.0,14.5,0.5,0.0,14.0,0.0,-0.5,14.5,0.5,0.0,14.5,0.5,0.0,13.5,-0.5,-1.0,14.0,0.0,-0.5
1,16700,Mark 22,Mark 01,VEV_5400,sell,-1,14.0,2,14.0,15.0,14.5,1.0,0.5,0.0,True,False,14.5,-0.5,-0.0,14.5,-0.5,-0.0,14.0,-0.0,0.5,14.5,-0.5,-0.0,14.5,-0.5,-0.0,13.5,0.5,1.0,14.0,-0.0,0.5
1,16700,Mark 01,Mark 22,VEV_5500,buy,1,6.0,2,6.0,7.0,6.5,1.0,-0.5,-1.0,False,False,6.5,0.5,0.0,6.5,0.5,0.0,6.5,0.5,0.0,6.5,0.5,0.0,6.5,0.5,0.0,6.0,0.0,-0.5,6.5,0.5,0.0
1,16700,Mark 22,Mark 01,VEV_5500,sell,-1,6.0,2,6.0,7.0,6.5,1.0,0.5,0.0,True,False,6.5,-0.5,-0.0,6.5,-0.5,-0.0,6.5,-0.5,-0.0,6.5,-0.5,-0.0,6.5,-0.5,-0.0,6.0,-0.0,0.5,6.5,-0.5,-0.0
1,16700,Mark 01,Mark 22,VEV_6000,buy,1,0.0,2,0.0,1.0,0.5,1.0,-0.5,-1.0,False,False,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1,16700,Mark 22,Mark 01,VEV_6000,sell,-1,0.0,2,0.0,1.0,0.5,1.0,0.5,0.0,True,False,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0
1,16700,Mark 01,Mark 22,VEV_6500,buy,1,0.0,2,0.0,1.0,0.5,1.0,-0.5,-1.0,False,False,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1,16700,Mark 22,Mark 01,VEV_6500,sell,-1,0.0,2,0.0,1.0,0.5,1.0,0.5,0.0,True,False,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0,0.5,-0.5,-0.0
1,17300,Mark 14,Mark 38,VEV_4000,buy,1,1221.0,1,1221.0,1242.0,1231.5,21.0,-10.5,-21.0,False,False,1231.0,10.0,-0.5,1231.0,10.0,-0.5,1232.5,11.5,1.0,1233.5,12.5,2.0,1230.5,9.5,-1.0,1228.5,7.5,-3.0,1228.5,7.5,-3.0
1,17300,Mark 38,Mark 14,VEV_4000,sell,-1,1221.0,1,1221.0,1242.0,1231.5,21.0,10.5,0.0,True,False,1231.0,-10.0,0.5,1231.0,-10.0,0.5,1232.5,-11.5,-1.0,1233.5,-12.5,-2.0,1230.5,-9.5,1.0,1228.5,-7.5,3.0,1228.5,-7.5,3.0
1,17400,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,buy,1,5230.0,8,5228.0,5230.0,5229.0,2.0,1.0,0.0,True,False,5232.5,2.5,3.5,5232.5,2.5,3.5,5233.5,3.5,4.5,5233.0,3.0,4.0,5229.5,-0.5,0.5,5228.5,-1.5,-0.5,5229.5,-0.5,0.5
1,17400,Mark 22,Mark 67,VELVETFRUIT_EXTRACT,sell,-1,5230.0,8,5228.0,5230.0,5229.0,2.0,-1.0,-2.0,False,False,5232.5,-2.5,-3.5,5232.5,-2.5,-3.5,5233.5,-3.5,-4.5,5233.0,-3.0,-4.0,5229.5,0.5,-0.5,5228.5,1.5,0.5,5229.5,0.5,-0.5
1,17900,Mark 38,Mark 14,VEV_4000,buy,1,1243.0,1,1223.0,1243.0,1233.0,20.0,10.0,0.0,True,False,1232.5,-10.5,-0.5,1232.5,-10.5,-0.5,1232.0,-11.0,-1.0,1229.5,-13.5,-3.5,1228.5,-14.5,-4.5,1226.5,-16.5,-6.5,1231.0,-12.0,-2.0
1,17900,Mark 14,Mark 38,VEV_4000,sell,-1,1243.0,1,1223.0,1243.0,1233.0,20.0,-10.0,-20.0,False,False,1232.5,10.5,0.5,1232.5,10.5,0.5,1232.0,11.0,1.0,1229.5,13.5,3.5,1228.5,14.5,4.5,1226.5,16.5,6.5,1231.0,12.0,2.0
1,19300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,buy,1,5226.0,5,5226.0,5231.0,5228.5,5.0,-2.5,-5.0,False,False,5228.5,2.5,0.0,5228.5,2.5,0.0,5227.5,1.5,-1.0,5228.5,2.5,0.0,5226.5,0.5,-2.0,5228.5,2.5,0.0,5234.5,8.5,6.0
1,19300,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,sell,-1,5226.0,5,5226.0,5231.0,5228.5,5.0,2.5,0.0,True,False,5228.5,-2.5,-0.0,5228.5,-2.5,-0.0,5227.5,-1.5,1.0,5228.5,-2.5,-0.0,5226.5,-0.5,2.0,5228.5,-2.5,-0.0,5234.5,-8.5,-6.0
1,20200,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,buy,1,5224.0,5,5224.0,5229.0,5226.5,5.0,-2.5,-5.0,False,False,5226.5,2.5,0.0,5226.5,2.5,0.0,5228.5,4.5,2.0,5227.5,3.5,1.0,5227.0,3.0,0.5,5227.5,3.5,1.0,5231.5,7.5,5.0
1,20200,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,sell,-1,5224.0,5,5224.0,5229.0,5226.5,5.0,2.5,0.0,True,False,5226.5,-2.5,-0.0,5226.5,-2.5,-0.0,5228.5,-4.5,-2.0,5227.5,-3.5,-1.0,5227.0,-3.0,-0.5,5227.5,-3.5,-1.0,5231.5,-7.5,-5.0
1,22800,Mark 14,Mark 38,HYDROGEL_PACK,buy,1,9946.0,6,9946.0,9962.0,9954.0,16.0,-8.0,-16.0,False,False,9954.0,8.0,0.0,9954.0,8.0,0.0,9953.0,7.0,-1.0,9951.0,5.0,-3.0,9953.0,7.0,-1.0,9953.0,7.0,-1.0,9940.0,-6.0,-14.0
1,22800,Mark 38,Mark 14,HYDROGEL_PACK,sell,-1,9946.0,6,9946.0,9962.0,9954.0,16.0,8.0,0.0,True,False,9954.0,-8.0,-0.0,9954.0,-8.0,-0.0,9953.0,-7.0,1.0,9951.0,-5.0,3.0,9953.0,-7.0,1.0,9953.0,-7.0,1.0,9940.0,6.0,14.0
1,25700,Mark 38,Mark 14,VEV_4000,buy,1,1241.0,3,1221.0,1241.0,1231.0,20.0,10.0,0.0,True,False,1232.0,-9.0,1.0,1232.0,-9.0,1.0,1230.5,-10.5,-0.5,1230.5,-10.5,-0.5,1230.5,-10.5,-0.5,1238.5,-2.5,7.5,1234.5,-6.5,3.5
1,25700,Mark 14,Mark 38,VEV_4000,sell,-1,1241.0,3,1221.0,1241.0,1231.0,20.0,-10.0,-20.0,False,False,1232.0,9.0,-1.0,1232.0,9.0,-1.0,1230.5,10.5,0.5,1230.5,10.5,0.5,1230.5,10.5,0.5,1238.5,2.5,-7.5,1234.5,6.5,-3.5
1,29300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,buy,1,5237.0,4,5237.0,5242.0,5239.5,5.0,-2.5,-5.0,False,False,5238.5,1.5,-1.0,5238.5,1.5,-1.0,5240.5,3.5,1.0,5241.5,4.5,2.0,5237.0,0.0,-2.5,5232.0,-5.0,-7.5,5234.5,-2.5,-5.0
1,29300,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,sell,-1,5237.0,4,5237.0,5242.0,5239.5,5.0,2.5,0.0,True,False,5238.5,-1.5,1.0,5238.5,-1.5,1.0,5240.5,-3.5,-1.0,5241.5,-4.5,-2.0,5237.0,-0.0,2.5,5232.0,5.0,7.5,5234.5,2.5,5.0
1,30800,Mark 14,Mark 38,HYDROGEL_PACK,buy,1,9940.0,2,9940.0,9956.0,9948.0,16.0,-8.0,-16.0,False,False,9946.0,6.0,-2.0,9946.0,6.0,-2.0,9946.0,6.0,-2.0,9947.0,7.0,-1.0,9948.0,8.0,0.0,9956.0,16.0,8.0,9949.5,9.5,1.5
1,30800,Mark 38,Mark 14,HYDROGEL_PACK,sell,-1,9940.0,2,9940.0,9956.0,9948.0,16.0,8.0,0.0,True,False,9946.0,-6.0,2.0,9946.0,-6.0,2.0,9946.0,-6.0,2.0,9947.0,-7.0,1.0,9948.0,-8.0,-0.0,9956.0,-16.0,-8.0,9949.5,-9.5,-1.5
1,31400,Mark 38,Mark 14,HYDROGEL_PACK,buy,1,9953.0,3,9937.0,9953.0,9945.0,16.0,8.0,0.0,True,False,9945.0,-8.0,0.0,9945.0,-8.0,0.0,9945.0,-8.0,0.0,9945.5,-7.5,0.5,9950.0,-3.0,5.0,9955.0,2.0,10.0,9949.0,-4.0,4.0
1,31400,Mark 14,Mark 38,HYDROGEL_PACK,sell,-1,9953.0,3,9937.0,9953.0,9945.0,16.0,-8.0,-16.0,False,False,9945.0,8.0,-0.0,9945.0,8.0,-0.0,9945.0,8.0,-0.0,9945.5,7.5,-0.5,9950.0,3.0,-5.0,9955.0,-2.0,-10.0,9949.0,4.0,-4.0
