timestamp,buyer,seller,symbol,currency,price,quantity,day,mark_side,counterparty,signed_qty,product,bid_price_1,bid_volume_1,ask_price_1,ask_volume_1,mid_price,spread,top_depth,price_vs_mid,price_vs_bid,price_vs_ask,book_relation,liquidity_proxy,side_sign,future_mid_t10,future_mid_t50,future_mid_t200,future_mid_t500,signed_mid_move_t10,edge_vs_trade_t10,signed_mid_move_t50,edge_vs_trade_t50,signed_mid_move_t200,edge_vs_trade_t200,signed_mid_move_t500,edge_vs_trade_t500,spread_pctile_in_product_day,top_depth_pctile_in_product_day
48900,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5241.0,6,1,sell,Mark 01,-6,VELVETFRUIT_EXTRACT,5241,55,5246,25,5243.5,5,80,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5244.0,5244.0,5244.5,5243.5,-0.5,-3.0,-0.5,-3.0,-1.0,-3.5,-0.0,-2.5,0.8202,0.5676
49800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5244.0,3,1,sell,Mark 01,-3,VELVETFRUIT_EXTRACT,5244,73,5249,23,5246.5,5,96,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5247.5,5247.5,5247.5,5246.0,-1.0,-3.5,-1.0,-3.5,-1.0,-3.5,0.5,-2.0,0.8202,0.8151
51700,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5243.0,4,1,sell,Mark 14,-4,VELVETFRUIT_EXTRACT,5243,19,5248,19,5245.5,5,38,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5247.5,5247.5,5246.5,5246.5,-2.0,-4.5,-2.0,-4.5,-1.0,-3.5,-1.0,-3.5,0.8202,0.146
59600,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5244.0,4,1,sell,Mark 14,-4,VELVETFRUIT_EXTRACT,5244,20,5249,67,5246.5,5,87,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5246.5,5246.5,5247.0,5246.5,-0.0,-2.5,-0.0,-2.5,-0.5,-3.0,-0.0,-2.5,0.8202,0.7115
60300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5245.0,5,1,sell,Mark 14,-5,VELVETFRUIT_EXTRACT,5245,18,5250,18,5247.5,5,36,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5248.5,5248.5,5248.5,5246.5,-1.0,-3.5,-1.0,-3.5,-1.0,-3.5,1.0,-1.5,0.8202,0.1232
62100,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5243.0,6,1,sell,Mark 14,-6,VELVETFRUIT_EXTRACT,5243,22,5248,22,5245.5,5,44,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5243.5,5243.5,5243.5,5243.5,2.0,-0.5,2.0,-0.5,2.0,-0.5,2.0,-0.5,0.8202,0.2107
63200,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5240.0,8,1,sell,Mark 14,-8,VELVETFRUIT_EXTRACT,5240,17,5245,49,5242.5,5,66,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5242.5,5242.5,5243.5,5243.5,-0.0,-2.5,-0.0,-2.5,-1.0,-3.5,-1.0,-3.5,0.8202,0.3221
64200,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5245.0,6,1,buy,Mark 14,6,VELVETFRUIT_EXTRACT,5240,25,5245,25,5242.5,5,50,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5242.5,5242.5,5244.5,5243.5,0.0,-2.5,0.0,-2.5,2.0,-0.5,1.0,-1.5,0.8202,0.275
65700,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5240.0,8,1,sell,Mark 14,-8,VELVETFRUIT_EXTRACT,5240,21,5245,21,5242.5,5,42,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5241.5,5241.5,5242.5,5242.0,1.0,-1.5,1.0,-1.5,-0.0,-2.5,0.5,-2.0,0.8202,0.1898
67700,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5250.0,4,1,buy,Mark 14,4,VELVETFRUIT_EXTRACT,5247,9,5250,18,5248.5,3,27,1.5,3.0,0.0,at_ask,taker_proxy,1.0,5247.0,5247.0,5247.5,5246.5,-1.5,-3.0,-1.5,-3.0,-1.0,-2.5,-2.0,-3.5,0.0732,0.0153
73400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5236.0,6,1,buy,Mark 49,6,VELVETFRUIT_EXTRACT,5235,15,5236,6,5235.5,1,21,0.5,1.0,0.0,at_ask,taker_proxy,1.0,5236.5,5236.5,5237.0,5235.5,1.0,0.5,1.0,0.5,1.5,1.0,0.0,-0.5,0.0061,0.0012
74300,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5238.0,6,1,buy,Mark 14,6,VELVETFRUIT_EXTRACT,5233,19,5238,19,5235.5,5,38,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5237.5,5237.5,5237.5,5240.0,2.0,-0.5,2.0,-0.5,2.0,-0.5,4.5,2.0,0.8202,0.146
74400,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5235.0,4,1,sell,Mark 14,-4,VELVETFRUIT_EXTRACT,5235,24,5240,64,5237.5,5,88,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5237.5,5237.5,5239.5,5239.5,-0.0,-2.5,-0.0,-2.5,-2.0,-4.5,-2.0,-4.5,0.8202,0.7278
77300,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5241.0,8,1,buy,Mark 14,8,VELVETFRUIT_EXTRACT,5236,21,5241,21,5238.5,5,42,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5238.5,5238.5,5238.5,5236.5,0.0,-2.5,0.0,-2.5,0.0,-2.5,-2.0,-4.5,0.8202,0.1898
82300,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5235.0,3,1,sell,Mark 01,-3,VELVETFRUIT_EXTRACT,5235,67,5240,23,5237.5,5,90,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5238.5,5238.5,5237.0,5235.5,-1.0,-3.5,-1.0,-3.5,0.5,-2.0,2.0,-0.5,0.8202,0.7543
83200,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5237.0,7,1,buy,Mark 01,7,VELVETFRUIT_EXTRACT,5231,61,5237,61,5234.0,6,122,3.0,6.0,0.0,at_ask,taker_proxy,1.0,5234.0,5234.0,5235.5,5235.0,0.0,-3.0,0.0,-3.0,1.5,-1.5,1.0,-2.0,1.0,0.9194
87900,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5239.0,3,1,sell,Mark 14,-3,VELVETFRUIT_EXTRACT,5239,20,5244,67,5241.5,5,87,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5240.5,5240.5,5240.5,5242.5,1.0,-1.5,1.0,-1.5,1.0,-1.5,-1.0,-3.5,0.8202,0.7115
91100,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5244.0,6,1,buy,Mark 14,6,VELVETFRUIT_EXTRACT,5239,15,5244,15,5241.5,5,30,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5242.5,5242.5,5241.5,5241.5,1.0,-1.5,1.0,-1.5,0.0,-2.5,0.0,-2.5,0.8202,0.0459
92000,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5243.0,8,1,buy,Mark 14,8,VELVETFRUIT_EXTRACT,5238,23,5243,23,5240.5,5,46,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5240.5,5240.5,5242.5,5243.5,0.0,-2.5,0.0,-2.5,2.0,-0.5,3.0,0.5,0.8202,0.2334
93700,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5246.0,6,1,buy,Mark 01,6,VELVETFRUIT_EXTRACT,5241,15,5246,62,5243.5,5,77,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5243.5,5243.5,5244.5,5245.5,0.0,-2.5,0.0,-2.5,1.0,-1.5,2.0,-0.5,0.8202,0.4983
93800,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5246.0,7,1,buy,Mark 01,7,VELVETFRUIT_EXTRACT,5241,22,5246,54,5243.5,5,76,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5244.5,5244.5,5245.5,5243.5,1.0,-1.5,1.0,-1.5,2.0,-0.5,0.0,-2.5,0.8202,0.4747
100500,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5248.0,4,1,buy,Mark 14,4,VELVETFRUIT_EXTRACT,5243,22,5248,22,5245.5,5,44,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5246.0,5246.0,5247.5,5248.0,0.5,-2.0,0.5,-2.0,2.0,-0.5,2.5,0.0,0.8202,0.2107
104400,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5252.0,6,1,buy,Mark 14,6,VELVETFRUIT_EXTRACT,5247,68,5252,22,5249.5,5,90,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5249.5,5249.5,5249.5,5250.5,0.0,-2.5,0.0,-2.5,0.0,-2.5,1.0,-1.5,0.8202,0.7543
107900,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5267.0,3,1,buy,Mark 01,3,VELVETFRUIT_EXTRACT,5261,48,5267,48,5264.0,6,96,3.0,6.0,0.0,at_ask,taker_proxy,1.0,5262.5,5262.5,5261.5,5264.0,-1.5,-4.5,-1.5,-4.5,-2.5,-5.5,0.0,-3.0,1.0,0.8151
110100,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5265.0,4,1,sell,Mark 01,-4,VELVETFRUIT_EXTRACT,5265,59,5270,17,5267.5,5,76,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5267.5,5267.5,5267.5,5266.5,-0.0,-2.5,-0.0,-2.5,-0.0,-2.5,1.0,-1.5,0.8202,0.4747
112000,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5260.0,3,1,sell,Mark 14,-3,VELVETFRUIT_EXTRACT,5260,17,5265,55,5262.5,5,72,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5263.5,5263.5,5262.5,5264.5,-1.0,-3.5,-1.0,-3.5,-0.0,-2.5,-2.0,-4.5,0.8202,0.4027
118800,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5257.0,3,1,sell,Mark 14,-3,VELVETFRUIT_EXTRACT,5257,22,5262,61,5259.5,5,83,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5259.5,5259.5,5257.5,5258.0,-0.0,-2.5,-0.0,-2.5,2.0,-0.5,1.5,-1.0,0.8202,0.634
123300,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5262.0,7,1,sell,Mark 01,-7,VELVETFRUIT_EXTRACT,5262,62,5267,16,5264.5,5,78,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5264.5,5264.5,5264.5,5264.5,-0.0,-2.5,-0.0,-2.5,-0.0,-2.5,-0.0,-2.5,0.8202,0.521
125600,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5265.0,3,1,buy,Mark 14,3,VELVETFRUIT_EXTRACT,5260,64,5265,23,5262.5,5,87,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5261.5,5261.5,5262.5,5263.5,-1.0,-3.5,-1.0,-3.5,0.0,-2.5,1.0,-1.5,0.8202,0.7115
131300,Mark 49,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5265.0,5,1,sell,Mark 49,-5,VELVETFRUIT_EXTRACT,5265,13,5268,70,5266.5,3,83,-1.5,0.0,-3.0,at_bid,taker_proxy,-1.0,5265.5,5265.5,5264.5,5264.0,1.0,-0.5,1.0,-0.5,2.0,0.5,2.5,1.0,0.0732,0.634
131800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5261.0,5,1,sell,Mark 01,-5,VELVETFRUIT_EXTRACT,5261,57,5267,57,5264.0,6,114,-3.0,0.0,-6.0,at_bid,taker_proxy,-1.0,5262.5,5262.5,5262.5,5264.0,1.5,-1.5,1.5,-1.5,1.5,-1.5,-0.0,-3.0,1.0,0.8856
134000,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5264.0,8,1,sell,Mark 14,-8,VELVETFRUIT_EXTRACT,5264,24,5269,68,5266.5,5,92,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5265.5,5265.5,5264.5,5261.5,1.0,-1.5,1.0,-1.5,2.0,-0.5,5.0,2.5,0.8202,0.7794
135200,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5264.0,8,1,buy,Mark 01,8,VELVETFRUIT_EXTRACT,5258,67,5264,67,5261.0,6,134,3.0,6.0,0.0,at_ask,taker_proxy,1.0,5259.5,5259.5,5258.5,5261.0,-1.5,-4.5,-1.5,-4.5,-2.5,-5.5,0.0,-3.0,1.0,0.9683
135500,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5257.0,7,1,sell,Mark 14,-7,VELVETFRUIT_EXTRACT,5257,16,5262,16,5259.5,5,32,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5260.5,5260.5,5261.0,5262.5,-1.0,-3.5,-1.0,-3.5,-1.5,-4.0,-3.0,-5.5,0.8202,0.0745
138000,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5254.0,7,1,sell,Mark 01,-7,VELVETFRUIT_EXTRACT,5254,55,5259,24,5256.5,5,79,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5256.5,5256.5,5255.5,5257.5,-0.0,-2.5,-0.0,-2.5,1.0,-1.5,-1.0,-3.5,0.8202,0.5428
140000,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5261.0,5,1,buy,Mark 14,5,VELVETFRUIT_EXTRACT,5256,59,5261,21,5258.5,5,80,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5257.5,5257.5,5257.5,5255.5,-1.0,-3.5,-1.0,-3.5,-1.0,-3.5,-3.0,-5.5,0.8202,0.5676
140100,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5260.0,4,1,buy,Mark 14,4,VELVETFRUIT_EXTRACT,5255,20,5260,20,5257.5,5,40,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5257.5,5257.5,5256.5,5255.5,0.0,-2.5,0.0,-2.5,-1.0,-3.5,-2.0,-4.5,0.8202,0.1672
141000,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5260.0,4,1,buy,Mark 14,4,VELVETFRUIT_EXTRACT,5255,16,5260,16,5257.5,5,32,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5258.5,5258.5,5259.5,5258.5,1.0,-1.5,1.0,-1.5,2.0,-0.5,1.0,-1.5,0.8202,0.0745
142000,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5262.0,6,1,buy,Mark 14,6,VELVETFRUIT_EXTRACT,5257,52,5262,19,5259.5,5,71,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5259.5,5259.5,5260.5,5262.5,0.0,-2.5,0.0,-2.5,1.0,-1.5,3.0,0.5,0.8202,0.3867
144500,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5258.0,5,1,sell,Mark 01,-5,VELVETFRUIT_EXTRACT,5258,70,5263,21,5260.5,5,91,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5262.5,5262.5,5261.5,5261.0,-2.0,-4.5,-2.0,-4.5,-1.0,-3.5,-0.5,-3.0,0.8202,0.7667
146700,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5260.0,7,1,sell,Mark 14,-7,VELVETFRUIT_EXTRACT,5260,18,5265,68,5262.5,5,86,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5263.0,5263.0,5263.5,5265.5,-0.5,-3.0,-0.5,-3.0,-1.0,-3.5,-3.0,-5.5,0.8202,0.6942
148300,Mark 22,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5265.0,4,1,sell,Mark 22,-4,VELVETFRUIT_EXTRACT,5265,6,5268,25,5266.5,3,31,-1.5,0.0,-3.0,at_bid,taker_proxy,-1.0,5264.5,5264.5,5264.5,5262.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,2.5,0.0732,0.0491
150700,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5268.0,7,1,buy,Mark 01,7,VELVETFRUIT_EXTRACT,5263,19,5268,51,5265.5,5,70,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5265.5,5265.5,5265.5,5266.5,0.0,-2.5,0.0,-2.5,0.0,-2.5,1.0,-1.5,0.8202,0.3732
151400,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5261.0,7,1,sell,Mark 01,-7,VELVETFRUIT_EXTRACT,5261,71,5266,22,5263.5,5,93,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5260.5,5260.5,5260.5,5260.0,3.0,0.5,3.0,0.5,3.0,0.5,3.5,1.0,0.8202,0.7892
164000,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5251.0,5,1,sell,Mark 14,-5,VELVETFRUIT_EXTRACT,5251,19,5256,61,5253.5,5,80,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5252.0,5252.0,5251.5,5252.5,1.5,-1.0,1.5,-1.0,2.0,-0.5,1.0,-1.5,0.8202,0.5676
165500,Mark 49,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5250.0,4,1,sell,Mark 49,-4,VELVETFRUIT_EXTRACT,5250,8,5252,19,5251.0,2,27,-1.0,0.0,-2.0,at_bid,taker_proxy,-1.0,5250.5,5250.5,5251.5,5250.5,0.5,-0.5,0.5,-0.5,-0.5,-1.5,0.5,-0.5,0.0411,0.0153
167600,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5249.0,6,1,sell,Mark 01,-6,VELVETFRUIT_EXTRACT,5249,48,5255,48,5252.0,6,96,-3.0,0.0,-6.0,at_bid,taker_proxy,-1.0,5252.5,5252.5,5252.5,5253.5,-0.5,-3.5,-0.5,-3.5,-0.5,-3.5,-1.5,-4.5,1.0,0.8151
168400,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5248.0,3,1,sell,Mark 14,-3,VELVETFRUIT_EXTRACT,5248,24,5253,65,5250.5,5,89,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5250.0,5250.0,5248.5,5249.5,0.5,-2.0,0.5,-2.0,2.0,-0.5,1.0,-1.5,0.8202,0.7418
171700,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5248.0,7,1,sell,Mark 01,-7,VELVETFRUIT_EXTRACT,5248,56,5253,16,5250.5,5,72,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5249.0,5249.0,5250.5,5250.5,1.5,-1.0,1.5,-1.0,-0.0,-2.5,-0.0,-2.5,0.8202,0.4027
179200,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5243.0,4,1,sell,Mark 01,-4,VELVETFRUIT_EXTRACT,5243,56,5248,21,5245.5,5,77,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5246.5,5246.5,5244.5,5247.5,-1.0,-3.5,-1.0,-3.5,1.0,-1.5,-2.0,-4.5,0.8202,0.4983
180100,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5248.0,3,1,buy,Mark 01,3,VELVETFRUIT_EXTRACT,5243,24,5248,72,5245.5,5,96,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5246.5,5246.5,5247.5,5248.5,1.0,-1.5,1.0,-1.5,2.0,-0.5,3.0,0.5,0.8202,0.8151
187400,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5235.0,8,1,buy,Mark 01,8,VELVETFRUIT_EXTRACT,5229,56,5235,56,5232.0,6,112,3.0,6.0,0.0,at_ask,taker_proxy,1.0,5231.5,5231.5,5232.0,5231.5,-0.5,-3.5,-0.5,-3.5,0.0,-3.0,-0.5,-3.5,1.0,0.8789
187600,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5235.0,5,1,buy,Mark 01,5,VELVETFRUIT_EXTRACT,5229,50,5235,50,5232.0,6,100,3.0,6.0,0.0,at_ask,taker_proxy,1.0,5230.5,5230.5,5230.5,5230.0,-1.5,-4.5,-1.5,-4.5,-1.5,-4.5,-2.0,-5.0,1.0,0.8359
188800,Mark 22,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5232.0,6,1,sell,Mark 22,-6,VELVETFRUIT_EXTRACT,5232,9,5235,23,5233.5,3,32,-1.5,0.0,-3.0,at_bid,taker_proxy,-1.0,5234.5,5234.5,5234.5,5237.5,-1.0,-2.5,-1.0,-2.5,-1.0,-2.5,-4.0,-5.5,0.0732,0.0745
190600,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5234.0,6,1,sell,Mark 14,-6,VELVETFRUIT_EXTRACT,5234,21,5239,21,5236.5,5,42,-2.5,0.0,-5.0,at_bid,taker_proxy,-1.0,5236.5,5236.5,5237.5,5239.5,-0.0,-2.5,-0.0,-2.5,-1.0,-3.5,-3.0,-5.5,0.8202,0.1898
190700,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5239.0,3,1,buy,Mark 14,3,VELVETFRUIT_EXTRACT,5234,17,5239,17,5236.5,5,34,2.5,5.0,0.0,at_ask,taker_proxy,1.0,5237.5,5237.5,5240.0,5239.5,1.0,-1.5,1.0,-1.5,3.5,1.0,3.0,0.5,0.8202,0.1006
