day,timestamp,mark22_rows,all_trade_rows_same_ts,non_mark22_trade_rows_same_ts,other_marks_same_ts
2,495700,4,5,1,"Mark 01,Mark 14,Mark 38"
2,501900,5,5,0,Mark 01
2,508800,4,4,0,Mark 01
2,519600,6,6,0,"Mark 01,Mark 14"
2,521700,1,1,0,Mark 67
2,530600,1,1,0,Mark 67
2,533300,1,1,0,Mark 55
2,548600,3,3,0,Mark 01
2,554600,5,6,1,"Mark 01,Mark 14,Mark 55"
2,555700,4,5,1,"Mark 01,Mark 14,Mark 55"
2,566700,4,4,0,Mark 01
2,575100,4,4,0,Mark 01
2,587100,5,5,0,"Mark 01,Mark 14"
2,588500,5,5,0,Mark 01
2,593000,4,4,0,Mark 01
2,604100,5,5,0,Mark 01
2,611300,1,1,0,Mark 67
2,614100,1,1,0,Mark 67
2,622600,4,4,0,Mark 01
2,642400,4,4,0,Mark 01
2,644500,4,4,0,Mark 01
2,656600,1,1,0,Mark 67
2,666500,6,6,0,"Mark 01,Mark 14"
2,679000,1,1,0,Mark 67
2,687700,1,2,1,"Mark 01,Mark 55,Mark 67"
2,688600,4,4,0,Mark 01
2,691100,4,4,0,Mark 01
2,695800,3,3,0,Mark 01
2,700500,1,1,0,Mark 67
2,711900,5,5,0,Mark 01
2,726600,4,4,0,Mark 01
2,733200,4,4,0,Mark 01
2,744200,1,1,0,Mark 67
2,748500,4,4,0,Mark 01
2,750200,1,1,0,Mark 38
2,763500,4,4,0,Mark 01
2,764000,5,5,0,"Mark 01,Mark 14"
2,779200,5,5,0,Mark 01
2,779700,1,1,0,Mark 55
2,781900,1,1,0,Mark 55
2,793900,5,5,0,"Mark 01,Mark 67"
2,808800,5,5,0,"Mark 01,Mark 14"
2,825900,4,4,0,Mark 01
2,826400,5,5,0,Mark 01
2,836300,5,5,0,"Mark 01,Mark 14"
2,841800,1,1,0,Mark 49
2,862900,1,1,0,Mark 67
2,863200,1,1,0,Mark 55
2,864300,1,1,0,Mark 55
2,872600,5,5,0,Mark 01
2,876500,5,5,0,"Mark 01,Mark 14"
2,898600,4,4,0,Mark 01
2,910900,3,3,0,Mark 01
2,914300,1,1,0,Mark 67
2,915700,1,1,0,Mark 67
2,924200,3,3,0,Mark 01
2,934900,4,4,0,Mark 01
2,941900,1,1,0,Mark 38
2,948000,3,3,0,Mark 01
2,948500,5,5,0,"Mark 01,Mark 14"
2,956000,1,1,0,Mark 67
2,959400,1,1,0,Mark 67
2,972800,4,4,0,"Mark 01,Mark 14"
2,977300,4,4,0,"Mark 01,Mark 14"
2,977500,4,4,0,Mark 01
2,988300,1,1,0,Mark 55
2,992900,1,1,0,Mark 49
2,993200,1,1,0,Mark 38
2,993800,5,5,0,Mark 01
3,31400,1,1,0,Mark 67
3,32900,5,5,0,Mark 01
3,33600,5,5,0,"Mark 01,Mark 14"
3,37000,4,4,0,Mark 01
3,40200,4,4,0,"Mark 01,Mark 14"
3,45600,4,4,0,Mark 01
3,47200,4,4,0,Mark 01
3,54400,4,4,0,Mark 01
3,58300,1,1,0,Mark 67
3,64800,1,1,0,Mark 38
3,69900,4,4,0,Mark 01
3,70100,4,4,0,Mark 01
3,70300,4,4,0,Mark 01
3,74300,4,4,0,Mark 01
3,77600,1,1,0,Mark 67
3,85000,1,1,0,Mark 55
3,87300,4,4,0,Mark 01
3,92200,5,5,0,Mark 01
3,98900,6,6,0,"Mark 01,Mark 14"
3,111600,1,1,0,Mark 49
3,115000,1,1,0,Mark 67
3,118700,4,4,0,Mark 01
3,121800,1,1,0,Mark 67
3,126600,4,5,1,"Mark 01,Mark 14,Mark 38"
3,128700,6,6,0,"Mark 01,Mark 14"
3,130800,1,1,0,Mark 67
3,132100,4,4,0,Mark 01
3,137700,5,5,0,Mark 01
3,142700,4,5,1,"Mark 01,Mark 14,Mark 38"
3,144800,4,4,0,Mark 01
3,155400,10,10,0,"Mark 01,Mark 38"
3,166000,4,4,0,Mark 01
3,172300,3,3,0,Mark 01
3,217100,1,1,0,Mark 38
3,218300,5,5,0,Mark 01
3,220800,5,5,0,Mark 01
3,222400,6,6,0,Mark 01
3,243700,5,5,0,Mark 01
3,250200,4,4,0,Mark 01
3,253400,4,4,0,"Mark 01,Mark 14"
3,254000,1,1,0,Mark 67
3,254900,1,1,0,Mark 38
3,269000,6,6,0,"Mark 01,Mark 14"
3,273400,3,3,0,Mark 01
3,277600,1,1,0,Mark 55
3,285600,1,1,0,Mark 67
3,289400,5,5,0,Mark 01
3,289600,1,1,0,Mark 49
3,290900,5,5,0,Mark 01
3,294300,1,1,0,Mark 67
3,315800,5,5,0,Mark 01
3,317200,5,5,0,Mark 01
3,319700,5,5,0,Mark 01
3,320200,5,6,1,"Mark 01,Mark 14,Mark 55"
3,328700,6,6,0,"Mark 01,Mark 14"
3,329200,5,5,0,"Mark 01,Mark 14"
3,332600,5,5,0,Mark 01
3,346200,4,5,1,"Mark 01,Mark 14,Mark 38"
3,349100,1,1,0,Mark 67
3,350300,5,5,0,"Mark 01,Mark 14"
3,363100,6,6,0,Mark 01
3,364700,5,5,0,Mark 01
3,369800,6,6,0,"Mark 01,Mark 14"
3,370100,6,6,0,Mark 38
3,385400,5,5,0,Mark 01
3,389100,5,5,0,Mark 01
3,391400,5,5,0,Mark 01
3,396000,5,5,0,"Mark 01,Mark 14"
3,396500,1,1,0,Mark 38
3,405400,1,1,0,Mark 67
3,428900,6,6,0,"Mark 01,Mark 14"
3,431900,6,6,0,Mark 01
3,442200,5,5,0,Mark 01
3,450300,1,1,0,Mark 49
3,451300,5,6,1,"Mark 01,Mark 14,Mark 38"
3,456600,5,5,0,Mark 01
3,459800,5,5,0,Mark 01
3,462100,1,1,0,Mark 67
3,483900,4,4,0,Mark 01
3,485500,4,4,0,Mark 01
3,498100,5,6,1,"Mark 01,Mark 14,Mark 38"
3,511800,6,6,0,Mark 01
3,512800,1,1,0,Mark 67
3,516400,5,6,1,"Mark 01,Mark 14,Mark 38"
3,524000,6,6,0,Mark 01
3,529600,5,5,0,"Mark 01,Mark 14"
3,531500,5,5,0,Mark 01
3,535400,5,5,0,Mark 01
3,535900,6,6,0,Mark 01
3,540200,1,1,0,Mark 55
3,541100,1,1,0,Mark 38
3,547600,4,5,1,"Mark 01,Mark 55"
3,551600,4,4,0,Mark 01
3,555100,6,6,0,"Mark 01,Mark 14"
3,556400,4,4,0,Mark 01
3,560900,1,1,0,Mark 67
3,565600,4,4,0,Mark 01
3,572800,1,1,0,Mark 55
3,575300,1,1,0,Mark 49
3,580600,5,5,0,Mark 01
3,583100,4,4,0,Mark 01
3,584300,5,5,0,Mark 01
3,588300,1,1,0,Mark 67
3,595400,1,1,0,Mark 55
3,612700,5,5,0,Mark 01
3,614800,4,4,0,Mark 01
3,621000,4,4,0,Mark 01
3,622500,6,6,0,"Mark 01,Mark 14"
3,624200,5,5,0,"Mark 01,Mark 14"
3,627700,5,5,0,Mark 01
3,631300,5,5,0,Mark 01
3,631500,5,5,0,Mark 01
3,634500,5,5,0,"Mark 01,Mark 14"
3,642500,5,5,0,"Mark 01,Mark 14"
3,666500,4,4,0,Mark 01
3,666700,3,3,0,Mark 01
3,671800,5,5,0,Mark 01
3,671900,5,5,0,Mark 01
3,678700,4,4,0,Mark 01
3,689900,5,5,0,Mark 01
3,699400,6,7,1,"Mark 01,Mark 14,Mark 38"
3,700300,5,5,0,"Mark 01,Mark 14"
3,705400,6,6,0,"Mark 01,Mark 14"
3,708800,5,5,0,Mark 01
3,728500,5,5,0,"Mark 01,Mark 14"
3,730000,5,5,0,Mark 01
3,741100,5,5,0,Mark 01
3,753400,1,1,0,Mark 67
3,753700,5,5,0,Mark 01
3,766900,4,4,0,Mark 01
3,777600,5,5,0,"Mark 01,Mark 14"
3,783800,1,1,0,Mark 38
3,784100,4,4,0,Mark 01
3,785100,4,5,1,"Mark 01,Mark 14,Mark 55"
3,788300,4,4,0,Mark 01
3,793100,4,4,0,Mark 01
3,807400,4,5,1,"Mark 01,Mark 14,Mark 55"
3,810500,1,2,1,"Mark 49,Mark 67"
3,820200,5,5,0,Mark 01
3,826200,5,5,0,"Mark 01,Mark 14"
3,834400,6,6,0,"Mark 01,Mark 14"
3,837500,4,4,0,Mark 01
3,839800,5,5,0,"Mark 01,Mark 14"
3,842200,4,4,0,Mark 01
3,864100,5,5,0,Mark 01
3,868300,5,5,0,Mark 01
3,877600,6,7,1,"Mark 01,Mark 14,Mark 55"
3,878300,5,5,0,"Mark 01,Mark 14"
3,890900,6,6,0,Mark 01
3,894300,5,5,0,Mark 01
3,896800,1,2,1,"Mark 55,Mark 67"
3,918500,5,5,0,Mark 01
3,937000,4,4,0,Mark 01
3,937400,4,4,0,Mark 01
3,943900,5,6,1,"Mark 01,Mark 14,Mark 55"
3,956900,1,1,0,Mark 49
3,961800,1,1,0,Mark 67
3,968100,1,1,0,Mark 55
3,977300,5,5,0,Mark 01
3,983300,5,5,0,"Mark 01,Mark 14"
3,997100,4,4,0,Mark 01
