symbol,side,day,quantity_count,quantity_sum,quantity_mean,quantity_median,quantity_min,quantity_max,price_mean,mid_price_mean,spread_mean,spread_median,mark_price_adv_vs_mid_mean,mark_price_adv_vs_mid_median,at_or_through_best_mean,inside_spread_mean,total_depth_3_mean,total_depth_3_median,markout_trade_t10_mean,markout_trade_t10_median,markout_trade_t10_sum,markout_mid_t10_mean,markout_mid_t10_median,markout_trade_t50_mean,markout_trade_t50_median,markout_trade_t50_sum,markout_mid_t50_mean,markout_mid_t50_median,markout_trade_t200_mean,markout_trade_t200_median,markout_trade_t200_sum,markout_mid_t200_mean,markout_mid_t200_median,markout_trade_t500_mean,markout_trade_t500_median,markout_trade_t500_sum,markout_mid_t500_mean,markout_mid_t500_median
VEV_4000,sell,2,64,132,2.0625,2.0,1,3,1245.71875,1256.2578125,21.078125,21.0,-10.5390625,-10.5,1.0,0.0,69.875,72.0,-10.2734375,-10.5,-657.5,0.265625,0.0,-10.2734375,-10.5,-657.5,0.265625,0.0,-9.9296875,-10.0,-635.5,0.609375,0.5,-10.0078125,-10.0,-640.5,0.53125,0.75
VEV_4000,sell,3,78,144,1.8461538461538463,2.0,1,3,1229.0897435897436,1239.448717948718,20.71794871794872,21.0,-10.35897435897436,-10.5,1.0,0.0,67.7948717948718,67.0,-10.102564102564102,-10.5,-788.0,0.2564102564102564,0.0,-10.102564102564102,-10.5,-788.0,0.2564102564102564,0.0,-10.006410256410257,-10.5,-780.5,0.3525641025641026,0.0,-10.5,-10.5,-819.0,-0.14102564102564102,0.0
VEV_4500,buy,1,1,1,1.0,1.0,1,1,733.0,729.5,7.0,7.0,-3.5,-3.5,1.0,0.0,66.0,66.0,4.0,4.0,4.0,7.5,7.5,4.0,4.0,4.0,7.5,7.5,0.0,0.0,0.0,3.5,3.5,-1.0,-1.0,-1.0,2.5,2.5
VEV_4500,buy,3,1,2,2.0,2.0,2,2,739.0,735.5,7.0,7.0,-3.5,-3.5,1.0,0.0,40.0,40.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,3.5,3.5
VEV_4500,sell,3,1,3,3.0,3.0,3,3,726.0,730.0,8.0,8.0,-4.0,-4.0,1.0,0.0,56.0,56.0,0.5,0.5,0.5,4.5,4.5,0.5,0.5,0.5,4.5,4.5,-2.0,-2.0,-2.0,2.0,2.0,-4.0,-4.0,-4.0,0.0,0.0
VEV_5000,buy,1,1,1,1.0,1.0,1,1,238.0,237.0,2.0,2.0,-1.0,-1.0,1.0,0.0,66.0,66.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,0.5,0.5,0.5,1.5,1.5,-0.5,-0.5,-0.5,0.5,0.5
VEV_5000,buy,3,1,2,2.0,2.0,2,2,242.0,241.0,2.0,2.0,-1.0,-1.0,1.0,0.0,40.0,40.0,-0.5,-0.5,-0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
VEV_5000,sell,3,1,3,3.0,3.0,3,3,229.0,230.5,3.0,3.0,-1.5,-1.5,1.0,0.0,56.0,56.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,1.5,1.5,-2.0,-2.0,-2.0,-0.5,-0.5,-4.0,-4.0,-4.0,-2.5,-2.5
VEV_5100,buy,1,1,1,1.0,1.0,1,1,152.0,151.0,2.0,2.0,-1.0,-1.0,1.0,0.0,66.0,66.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0
VEV_5100,buy,3,1,2,2.0,2.0,2,2,151.0,150.5,1.0,1.0,-0.5,-0.5,1.0,0.0,40.0,40.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5
VEV_5100,sell,3,1,3,3.0,3.0,3,3,139.0,140.5,3.0,3.0,-1.5,-1.5,1.0,0.0,56.0,56.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,1.5,1.5,-2.0,-2.0,-2.0,-0.5,-0.5,-4.0,-4.0,-4.0,-2.5,-2.5
VEV_5200,buy,1,1,1,1.0,1.0,1,1,87.0,86.5,1.0,1.0,-0.5,-0.5,1.0,0.0,66.0,66.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.0
VEV_5200,buy,3,1,2,2.0,2.0,2,2,79.0,78.5,1.0,1.0,-0.5,-0.5,1.0,0.0,40.0,40.0,-0.5,-0.5,-0.5,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5
VEV_5200,sell,3,1,3,3.0,3.0,3,3,69.0,70.0,2.0,2.0,-1.0,-1.0,1.0,0.0,56.0,56.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.5,-1.5,-1.5,-0.5,-0.5,-3.0,-3.0,-3.0,-2.0,-2.0
VEV_5300,buy,1,1,1,1.0,1.0,1,1,41.0,40.5,1.0,1.0,-0.5,-0.5,1.0,0.0,36.0,36.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5
VEV_5300,sell,3,1,3,3.0,3.0,3,3,28.0,28.5,1.0,1.0,-0.5,-0.5,1.0,0.0,48.0,48.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,-1.0,-1.0,-1.0,-0.5,-0.5,-1.0,-1.0,-1.0,-0.5,-0.5
