timestamp,buyer,seller,symbol,currency,price,quantity,day,side,counterparty,bid_price_1,ask_price_1,mid_price,spread,bid_depth_3,ask_depth_3,total_depth_3,px_minus_mid,mark_price_adv_vs_mid,px_vs_bid,px_vs_ask,at_or_through_best,inside_spread,future_mid_t10,markout_trade_t10,markout_mid_t10,future_mid_t50,markout_trade_t50,markout_mid_t50,future_mid_t200,markout_trade_t200,markout_mid_t200,future_mid_t500,markout_trade_t500,markout_mid_t500
37400,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9936.0,4,1,sell,Mark 14,9936,9952,9944.0,16,35.0,35.0,70.0,-8.0,-8.0,0.0,-16.0,True,False,9946.0,-10.0,-2.0,9946.0,-10.0,-2.0,9948.0,-12.0,-4.0,9951.0,-15.0,-7.0
40900,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9951.0,5,1,buy,Mark 14,9935,9951,9943.0,16,37.0,37.0,74.0,8.0,-8.0,16.0,0.0,True,False,9944.0,-7.0,1.0,9944.0,-7.0,1.0,9944.0,-7.0,1.0,9944.0,-7.0,1.0
41300,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9953.0,5,1,buy,Mark 14,9937,9953,9945.0,16,41.0,41.0,82.0,8.0,-8.0,16.0,0.0,True,False,9944.0,-9.0,-1.0,9944.0,-9.0,-1.0,9945.0,-8.0,0.0,9946.0,-7.0,1.0
43900,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9952.0,6,1,sell,Mark 14,9952,9968,9960.0,16,36.0,36.0,72.0,-8.0,-8.0,0.0,-16.0,True,False,9964.0,-12.0,-4.0,9964.0,-12.0,-4.0,9968.0,-16.0,-8.0,9967.0,-15.0,-7.0
45200,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9961.0,2,1,sell,Mark 14,9961,9977,9969.0,16,34.0,34.0,68.0,-8.0,-8.0,0.0,-16.0,True,False,9964.0,-3.0,5.0,9964.0,-3.0,5.0,9971.0,-10.0,-2.0,9972.0,-11.0,-3.0
48300,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9960.0,3,1,sell,Mark 14,9960,9975,9967.5,15,35.0,35.0,70.0,-7.5,-7.5,0.0,-15.0,True,False,9966.0,-6.0,1.5,9966.0,-6.0,1.5,9966.0,-6.0,1.5,9966.0,-6.0,1.5
50200,Mark 14,Mark 38,VEV_4000,XIRECS,1236.0,2,1,sell,Mark 14,1236,1257,1246.5,21,42.0,42.0,84.0,-10.5,-10.5,0.0,-21.0,True,False,1246.5,-10.5,0.0,1246.5,-10.5,0.0,1246.5,-10.5,0.0,1239.0,-3.0,7.5
50300,Mark 38,Mark 14,VEV_4000,XIRECS,1257.0,3,1,buy,Mark 14,1236,1257,1246.5,21,41.0,41.0,82.0,10.5,-10.5,21.0,0.0,True,False,1246.5,-10.5,0.0,1246.5,-10.5,0.0,1245.5,-11.5,-1.0,1243.5,-13.5,-3.0
52400,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9961.0,5,1,sell,Mark 14,9961,9977,9969.0,16,34.0,34.0,68.0,-8.0,-8.0,0.0,-16.0,True,False,9971.0,-10.0,-2.0,9971.0,-10.0,-2.0,9970.0,-9.0,-1.0,9969.0,-8.0,0.0
53000,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9961.0,4,1,sell,Mark 14,9961,9977,9969.0,16,42.0,42.0,84.0,-8.0,-8.0,0.0,-16.0,True,False,9968.5,-7.5,0.5,9968.5,-7.5,0.5,9967.0,-6.0,2.0,9968.0,-7.0,1.0
53800,Mark 38,Mark 14,VEV_4000,XIRECS,1255.0,2,1,buy,Mark 14,1234,1255,1244.5,21,35.0,35.0,70.0,10.5,-10.5,21.0,0.0,True,False,1244.5,-10.5,0.0,1244.5,-10.5,0.0,1244.5,-10.5,0.0,1243.5,-11.5,-1.0
54400,Mark 14,Mark 38,VEV_4000,XIRECS,1234.0,3,1,sell,Mark 14,1234,1255,1244.5,21,37.0,37.0,74.0,-10.5,-10.5,0.0,-21.0,True,False,1243.5,-9.5,1.0,1243.5,-9.5,1.0,1243.5,-9.5,1.0,1243.5,-9.5,1.0
57600,Mark 38,Mark 14,VEV_4000,XIRECS,1257.0,3,1,buy,Mark 14,1236,1257,1246.5,21,43.0,43.0,86.0,10.5,-10.5,21.0,0.0,True,False,1247.5,-9.5,1.0,1247.5,-9.5,1.0,1247.5,-9.5,1.0,1248.5,-8.5,2.0
59300,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9949.0,4,1,sell,Mark 14,9949,9965,9957.0,16,37.0,37.0,74.0,-8.0,-8.0,0.0,-16.0,True,False,9957.0,-8.0,0.0,9957.0,-8.0,0.0,9955.0,-6.0,2.0,9955.0,-6.0,2.0
61100,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9961.0,2,1,buy,Mark 14,9945,9961,9953.0,16,44.0,44.0,88.0,8.0,-8.0,16.0,0.0,True,False,9952.0,-9.0,-1.0,9952.0,-9.0,-1.0,9952.0,-9.0,-1.0,9953.0,-8.0,0.0
61400,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9962.0,2,1,buy,Mark 14,9946,9962,9954.0,16,41.0,41.0,82.0,8.0,-8.0,16.0,0.0,True,False,9954.0,-8.0,0.0,9954.0,-8.0,0.0,9953.0,-9.0,-1.0,9948.0,-14.0,-6.0
62600,Mark 38,Mark 14,VEV_4000,XIRECS,1254.0,1,1,buy,Mark 14,1233,1254,1243.5,21,34.0,34.0,68.0,10.5,-10.5,21.0,0.0,True,False,1243.0,-11.0,-0.5,1243.0,-11.0,-0.5,1244.0,-10.0,0.5,1242.0,-12.0,-1.5
63100,Mark 38,Mark 14,VEV_4000,XIRECS,1252.0,3,1,buy,Mark 14,1232,1252,1242.0,20,35.0,35.0,70.0,10.0,-10.0,20.0,0.0,True,False,1242.5,-9.5,0.5,1242.5,-9.5,0.5,1242.5,-9.5,0.5,1245.5,-6.5,3.5
63200,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9950.0,5,1,buy,Mark 14,9934,9950,9942.0,16,39.0,39.0,78.0,8.0,-8.0,16.0,0.0,True,False,9940.0,-10.0,-2.0,9940.0,-10.0,-2.0,9937.0,-13.0,-5.0,9937.0,-13.0,-5.0
64300,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9933.0,4,1,sell,Mark 14,9933,9949,9941.0,16,32.0,32.0,64.0,-8.0,-8.0,0.0,-16.0,True,False,9940.5,-7.5,0.5,9940.5,-7.5,0.5,9939.0,-6.0,2.0,9937.0,-4.0,4.0
65400,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9930.0,4,1,sell,Mark 14,9930,9946,9938.0,16,33.0,33.0,66.0,-8.0,-8.0,0.0,-16.0,True,False,9939.0,-9.0,-1.0,9939.0,-9.0,-1.0,9934.5,-4.5,3.5,9942.5,-12.5,-4.5
65900,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9935.0,2,1,sell,Mark 14,9935,9950,9942.5,15,39.0,39.0,78.0,-7.5,-7.5,0.0,-15.0,True,False,9942.0,-7.0,0.5,9942.0,-7.0,0.5,9944.0,-9.0,-1.5,9948.5,-13.5,-6.0
68000,Mark 38,Mark 14,VEV_4000,XIRECS,1258.0,2,1,buy,Mark 14,1237,1258,1247.5,21,32.0,32.0,64.0,10.5,-10.5,21.0,0.0,True,False,1246.5,-11.5,-1.0,1246.5,-11.5,-1.0,1246.5,-11.5,-1.0,1246.5,-11.5,-1.0
69500,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9952.0,2,1,sell,Mark 14,9952,9967,9959.5,15,43.0,43.0,86.0,-7.5,-7.5,0.0,-15.0,True,False,9962.0,-10.0,-2.5,9962.0,-10.0,-2.5,9960.0,-8.0,-0.5,9957.0,-5.0,2.5
70500,Mark 14,Mark 38,VEV_4000,XIRECS,1232.0,1,1,sell,Mark 14,1232,1252,1242.0,20,44.0,44.0,88.0,-10.0,-10.0,0.0,-20.0,True,False,1242.5,-10.5,-0.5,1242.5,-10.5,-0.5,1242.0,-10.0,0.0,1241.5,-9.5,0.5
73500,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9966.0,3,1,sell,Mark 14,9966,9982,9974.0,16,36.0,36.0,72.0,-8.0,-8.0,0.0,-16.0,True,False,9978.0,-12.0,-4.0,9978.0,-12.0,-4.0,9978.0,-12.0,-4.0,9980.0,-14.0,-6.0
76600,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9995.0,3,1,buy,Mark 14,9979,9995,9987.0,16,44.0,44.0,88.0,8.0,-8.0,16.0,0.0,True,False,9990.0,-5.0,3.0,9990.0,-5.0,3.0,9992.0,-3.0,5.0,9991.0,-4.0,4.0
78300,Mark 14,Mark 38,VEV_4000,XIRECS,1229.0,3,1,sell,Mark 14,1229,1250,1239.5,21,32.0,32.0,64.0,-10.5,-10.5,0.0,-21.0,True,False,1238.5,-9.5,1.0,1238.5,-9.5,1.0,1241.0,-12.0,-1.5,1239.5,-10.5,0.0
78500,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,10000.0,4,1,buy,Mark 14,9984,10000,9992.0,16,38.0,38.0,76.0,8.0,-8.0,16.0,0.0,True,False,9990.0,-10.0,-2.0,9990.0,-10.0,-2.0,9990.0,-10.0,-2.0,9989.5,-10.5,-2.5
79000,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9982.0,3,1,sell,Mark 14,9982,9997,9989.5,15,34.0,34.0,68.0,-7.5,-7.5,0.0,-15.0,True,False,9991.0,-9.0,-1.5,9991.0,-9.0,-1.5,9989.0,-7.0,0.5,9983.0,-1.0,6.5
79800,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9994.0,6,1,buy,Mark 14,9978,9994,9986.0,16,37.0,37.0,74.0,8.0,-8.0,16.0,0.0,True,False,9986.0,-8.0,0.0,9986.0,-8.0,0.0,9984.0,-10.0,-2.0,9980.0,-14.0,-6.0
81300,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9970.0,6,1,sell,Mark 14,9970,9986,9978.0,16,40.0,40.0,80.0,-8.0,-8.0,0.0,-16.0,True,False,9973.0,-3.0,5.0,9973.0,-3.0,5.0,9974.0,-4.0,4.0,9970.0,0.0,8.0
81700,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9980.0,3,1,buy,Mark 14,9964,9980,9972.0,16,34.0,34.0,68.0,8.0,-8.0,16.0,0.0,True,False,9970.0,-10.0,-2.0,9970.0,-10.0,-2.0,9970.0,-10.0,-2.0,9969.0,-11.0,-3.0
81900,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9978.0,2,1,buy,Mark 14,9962,9978,9970.0,16,40.0,40.0,80.0,8.0,-8.0,16.0,0.0,True,False,9970.0,-8.0,0.0,9970.0,-8.0,0.0,9973.0,-5.0,3.0,9971.0,-7.0,1.0
82300,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9977.0,3,1,buy,Mark 14,9961,9977,9969.0,16,41.0,41.0,82.0,8.0,-8.0,16.0,0.0,True,False,9971.0,-6.0,2.0,9971.0,-6.0,2.0,9973.0,-4.0,4.0,9971.0,-6.0,2.0
84300,Mark 38,Mark 14,VEV_4000,XIRECS,1243.0,1,1,buy,Mark 14,1222,1243,1232.5,21,34.0,34.0,68.0,10.5,-10.5,21.0,0.0,True,False,1232.5,-10.5,0.0,1232.5,-10.5,0.0,1233.5,-9.5,1.0,1234.5,-8.5,2.0
89300,Mark 14,Mark 38,VEV_4000,XIRECS,1232.0,3,1,sell,Mark 14,1232,1253,1242.5,21,44.0,44.0,88.0,-10.5,-10.5,0.0,-21.0,True,False,1242.5,-10.5,0.0,1242.5,-10.5,0.0,1243.5,-11.5,-1.0,1238.0,-6.0,4.5
92100,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9955.0,4,1,sell,Mark 14,9955,9971,9963.0,16,42.0,42.0,84.0,-8.0,-8.0,0.0,-16.0,True,False,9965.0,-10.0,-2.0,9965.0,-10.0,-2.0,9964.0,-9.0,-1.0,9966.0,-11.0,-3.0
92500,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9956.0,2,1,sell,Mark 14,9956,9972,9964.0,16,39.0,39.0,78.0,-8.0,-8.0,0.0,-16.0,True,False,9966.0,-10.0,-2.0,9966.0,-10.0,-2.0,9965.0,-9.0,-1.0,9963.0,-7.0,1.0
94400,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9974.0,4,1,buy,Mark 14,9958,9974,9966.0,16,37.0,37.0,74.0,8.0,-8.0,16.0,0.0,True,False,9964.0,-10.0,-2.0,9964.0,-10.0,-2.0,9965.0,-9.0,-1.0,9966.0,-8.0,0.0
97100,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9950.0,2,1,sell,Mark 14,9950,9966,9958.0,16,40.0,40.0,80.0,-8.0,-8.0,0.0,-16.0,True,False,9958.0,-8.0,0.0,9958.0,-8.0,0.0,9956.0,-6.0,2.0,9959.0,-9.0,-1.0
98600,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9962.0,2,1,buy,Mark 14,9946,9962,9954.0,16,36.0,36.0,72.0,8.0,-8.0,16.0,0.0,True,False,9954.0,-8.0,0.0,9954.0,-8.0,0.0,9951.0,-11.0,-3.0,9952.0,-10.0,-2.0
99000,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9961.0,3,1,buy,Mark 14,9945,9961,9953.0,16,42.0,42.0,84.0,8.0,-8.0,16.0,0.0,True,False,9952.0,-9.0,-1.0,9952.0,-9.0,-1.0,9954.0,-7.0,1.0,9951.5,-9.5,-1.5
101400,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9936.0,5,1,sell,Mark 14,9936,9952,9944.0,16,34.0,34.0,68.0,-8.0,-8.0,0.0,-16.0,True,False,9943.0,-7.0,1.0,9943.0,-7.0,1.0,9943.0,-7.0,1.0,9951.0,-15.0,-7.0
101500,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9935.0,6,1,sell,Mark 14,9935,9951,9943.0,16,35.0,35.0,70.0,-8.0,-8.0,0.0,-16.0,True,False,9943.0,-8.0,0.0,9943.0,-8.0,0.0,9941.0,-6.0,2.0,9951.0,-16.0,-8.0
102500,Mark 14,Mark 38,VEV_4000,XIRECS,1235.0,1,1,sell,Mark 14,1235,1256,1245.5,21,36.0,36.0,72.0,-10.5,-10.5,0.0,-21.0,True,False,1246.5,-11.5,-1.0,1246.5,-11.5,-1.0,1247.5,-12.5,-2.0,1247.5,-12.5,-2.0
102800,Mark 14,Mark 38,VEV_4000,XIRECS,1236.0,1,1,sell,Mark 14,1236,1257,1246.5,21,35.0,35.0,70.0,-10.5,-10.5,0.0,-21.0,True,False,1247.5,-11.5,-1.0,1247.5,-11.5,-1.0,1247.5,-11.5,-1.0,1246.5,-10.5,0.0
103100,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9952.0,4,1,buy,Mark 14,9936,9952,9944.0,16,36.0,36.0,72.0,8.0,-8.0,16.0,0.0,True,False,9945.0,-7.0,1.0,9945.0,-7.0,1.0,9948.0,-4.0,4.0,9951.0,-1.0,7.0
103500,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9940.0,3,1,sell,Mark 14,9940,9956,9948.0,16,37.0,37.0,74.0,-8.0,-8.0,0.0,-16.0,True,False,9951.0,-11.0,-3.0,9951.0,-11.0,-3.0,9953.0,-13.0,-5.0,9953.0,-13.0,-5.0
107100,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9952.0,5,1,sell,Mark 14,9952,9968,9960.0,16,41.0,41.0,82.0,-8.0,-8.0,0.0,-16.0,True,False,9963.0,-11.0,-3.0,9963.0,-11.0,-3.0,9960.0,-8.0,0.0,9960.0,-8.0,0.0
109100,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9957.0,2,1,sell,Mark 14,9957,9973,9965.0,16,36.0,36.0,72.0,-8.0,-8.0,0.0,-16.0,True,False,9965.0,-8.0,0.0,9965.0,-8.0,0.0,9968.0,-11.0,-3.0,9966.0,-9.0,-1.0
112700,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9948.0,2,1,sell,Mark 14,9948,9964,9956.0,16,40.0,40.0,80.0,-8.0,-8.0,0.0,-16.0,True,False,9952.0,-4.0,4.0,9952.0,-4.0,4.0,9954.5,-6.5,1.5,9950.0,-2.0,6.0
113900,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9956.0,2,1,buy,Mark 14,9940,9956,9948.0,16,35.0,35.0,70.0,8.0,-8.0,16.0,0.0,True,False,9947.0,-9.0,-1.0,9947.0,-9.0,-1.0,9944.0,-12.0,-4.0,9948.0,-8.0,0.0
115500,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9937.0,3,1,sell,Mark 14,9937,9953,9945.0,16,40.0,40.0,80.0,-8.0,-8.0,0.0,-16.0,True,False,9945.0,-8.0,0.0,9945.0,-8.0,0.0,9946.0,-9.0,-1.0,9949.0,-12.0,-4.0
119400,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9962.0,3,1,buy,Mark 14,9946,9962,9954.0,16,34.0,34.0,68.0,8.0,-8.0,16.0,0.0,True,False,9956.0,-6.0,2.0,9956.0,-6.0,2.0,9956.0,-6.0,2.0,9957.0,-5.0,3.0
120700,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9958.0,2,1,buy,Mark 14,9942,9958,9950.0,16,33.0,33.0,66.0,8.0,-8.0,16.0,0.0,True,False,9949.0,-9.0,-1.0,9949.0,-9.0,-1.0,9949.0,-9.0,-1.0,9954.0,-4.0,4.0
126000,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9953.0,4,1,buy,Mark 14,9937,9953,9945.0,16,37.0,37.0,74.0,8.0,-8.0,16.0,0.0,True,False,9946.0,-7.0,1.0,9946.0,-7.0,1.0,9944.0,-9.0,-1.0,9946.0,-7.0,1.0
129100,Mark 38,Mark 14,VEV_4000,XIRECS,1275.0,3,1,buy,Mark 14,1253,1275,1264.0,22,39.0,39.0,78.0,11.0,-11.0,22.0,0.0,True,False,1264.5,-10.5,0.5,1264.5,-10.5,0.5,1263.5,-11.5,-0.5,1264.0,-11.0,0.0
129500,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9967.0,6,1,buy,Mark 14,9951,9967,9959.0,16,35.0,35.0,70.0,8.0,-8.0,16.0,0.0,True,False,9957.0,-10.0,-2.0,9957.0,-10.0,-2.0,9959.0,-8.0,0.0,9957.0,-10.0,-2.0
129800,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9951.0,4,1,sell,Mark 14,9951,9967,9959.0,16,40.0,40.0,80.0,-8.0,-8.0,0.0,-16.0,True,False,9958.0,-7.0,1.0,9958.0,-7.0,1.0,9957.0,-6.0,2.0,9958.5,-7.5,0.5
130800,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9946.0,5,1,sell,Mark 14,9946,9962,9954.0,16,38.0,38.0,76.0,-8.0,-8.0,0.0,-16.0,True,False,9952.0,-6.0,2.0,9952.0,-6.0,2.0,9950.0,-4.0,4.0,9949.0,-3.0,5.0
133100,Mark 14,Mark 38,VEV_4000,XIRECS,1253.0,3,1,sell,Mark 14,1253,1274,1263.5,21,33.0,33.0,66.0,-10.5,-10.5,0.0,-21.0,True,False,1263.5,-10.5,0.0,1263.5,-10.5,0.0,1263.0,-10.0,0.5,1266.0,-13.0,-2.5
133700,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9948.0,4,1,sell,Mark 14,9948,9964,9956.0,16,39.0,39.0,78.0,-8.0,-8.0,0.0,-16.0,True,False,9955.0,-7.0,1.0,9955.0,-7.0,1.0,9958.5,-10.5,-2.5,9955.0,-7.0,1.0
134500,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9944.0,6,1,sell,Mark 14,9944,9960,9952.0,16,37.0,37.0,74.0,-8.0,-8.0,0.0,-16.0,True,False,9956.0,-12.0,-4.0,9956.0,-12.0,-4.0,9957.0,-13.0,-5.0,9956.0,-12.0,-4.0
137000,Mark 14,Mark 38,VEV_4000,XIRECS,1252.0,3,1,sell,Mark 14,1252,1273,1262.5,21,29.0,29.0,58.0,-10.5,-10.5,0.0,-21.0,True,False,1261.5,-9.5,1.0,1261.5,-9.5,1.0,1261.5,-9.5,1.0,1259.5,-7.5,3.0
137300,Mark 14,Mark 38,VEV_4000,XIRECS,1251.0,3,1,sell,Mark 14,1251,1272,1261.5,21,36.0,36.0,72.0,-10.5,-10.5,0.0,-21.0,True,False,1261.5,-10.5,0.0,1261.5,-10.5,0.0,1259.5,-8.5,2.0,1258.5,-7.5,3.0
137600,Mark 38,Mark 14,VEV_4000,XIRECS,1269.0,3,1,buy,Mark 14,1248,1269,1258.5,21,35.0,35.0,70.0,10.5,-10.5,21.0,0.0,True,False,1260.0,-9.0,1.5,1260.0,-9.0,1.5,1258.5,-10.5,0.0,1256.5,-12.5,-2.0
137800,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9942.0,3,1,sell,Mark 14,9942,9958,9950.0,16,41.0,41.0,82.0,-8.0,-8.0,0.0,-16.0,True,False,9953.0,-11.0,-3.0,9953.0,-11.0,-3.0,9953.5,-11.5,-3.5,9952.5,-10.5,-2.5
138100,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9959.0,2,1,buy,Mark 14,9943,9959,9951.0,16,45.0,45.0,90.0,8.0,-8.0,16.0,0.0,True,False,9952.0,-7.0,1.0,9952.0,-7.0,1.0,9952.5,-6.5,1.5,9963.0,4.0,12.0
145600,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9962.0,5,1,buy,Mark 14,9946,9962,9954.0,16,45.0,45.0,90.0,8.0,-8.0,16.0,0.0,True,False,9958.0,-4.0,4.0,9958.0,-4.0,4.0,9958.0,-4.0,4.0,9957.0,-5.0,3.0
146500,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9963.0,6,1,buy,Mark 14,9947,9963,9955.0,16,34.0,34.0,68.0,8.0,-8.0,16.0,0.0,True,False,9956.0,-7.0,1.0,9956.0,-7.0,1.0,9959.0,-4.0,4.0,9959.0,-4.0,4.0
147900,Mark 14,Mark 38,VEV_4000,XIRECS,1256.0,1,1,sell,Mark 14,1256,1278,1267.0,22,34.0,34.0,68.0,-11.0,-11.0,0.0,-22.0,True,False,1267.5,-11.5,-0.5,1267.5,-11.5,-0.5,1266.5,-10.5,0.5,1264.5,-8.5,2.5
148000,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9972.0,3,1,buy,Mark 14,9956,9972,9964.0,16,43.0,43.0,86.0,8.0,-8.0,16.0,0.0,True,False,9963.0,-9.0,-1.0,9963.0,-9.0,-1.0,9961.0,-11.0,-3.0,9964.0,-8.0,0.0
