timestamp,buyer,seller,symbol,currency,price,quantity,day,side,counterparty,bid_price_1,bid_volume_1,ask_price_1,ask_volume_1,mid_price,spread,best_bid_depth,best_ask_depth,bid_depth_3,ask_depth_3,future_mid_t10,edge_t10,midmo_t10,future_mid_t50,edge_t50,midmo_t50,future_mid_t200,edge_t200,midmo_t200,future_mid_t500,edge_t500,midmo_t500,price_location,side_touch_improve,side_mid_edge,spread_pctile_day_product
53000,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9961.0,4,1,buy,Mark 38,9961,13,9977,13,9969.0,16,13,-13,42.0,-42.0,9968.5,7.5,-0.5,9968.5,7.5,-0.5,9967.0,6.0,-2.0,9968.0,7.0,-1.0,at_bid,16.0,8.0,0.9835
53400,Mark 14,Mark 22,VEV_5500,XIRECS,7.0,2,1,buy,Mark 22,7,3,8,19,7.5,1,3,-19,17.0,-19.0,7.5,0.5,0.0,7.5,0.5,0.0,7.0,0.0,-0.5,7.5,0.5,0.0,at_bid,1.0,0.5,0.8473
53800,Mark 38,Mark 14,VEV_4000,XIRECS,1255.0,2,1,sell,Mark 38,1234,12,1255,12,1244.5,21,12,-12,35.0,-35.0,1244.5,10.5,0.0,1244.5,10.5,0.0,1244.5,10.5,0.0,1243.5,11.5,1.0,at_ask,21.0,10.5,0.9181
54400,Mark 14,Mark 38,VEV_4000,XIRECS,1234.0,3,1,buy,Mark 38,1234,10,1255,10,1244.5,21,10,-10,37.0,-37.0,1243.5,9.5,-1.0,1243.5,9.5,-1.0,1243.5,9.5,-1.0,1243.5,9.5,-1.0,at_bid,21.0,10.5,0.9181
57600,Mark 38,Mark 14,VEV_4000,XIRECS,1257.0,3,1,sell,Mark 38,1236,15,1257,15,1246.5,21,15,-15,43.0,-43.0,1247.5,9.5,-1.0,1247.5,9.5,-1.0,1247.5,9.5,-1.0,1248.5,8.5,-2.0,at_ask,21.0,10.5,0.9181
59300,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9949.0,4,1,buy,Mark 38,9949,15,9965,15,9957.0,16,15,-15,37.0,-37.0,9957.0,8.0,0.0,9957.0,8.0,0.0,9955.0,6.0,-2.0,9955.0,6.0,-2.0,at_bid,16.0,8.0,0.9835
59600,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5244.0,4,1,buy,Mark 55,5244,20,5249,67,5246.5,5,20,-67,67.0,-67.0,5246.5,2.5,0.0,5246.5,2.5,0.0,5247.0,3.0,0.5,5246.5,2.5,0.0,at_bid,5.0,2.5,0.8202
60300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5245.0,5,1,buy,Mark 55,5245,18,5250,18,5247.5,5,18,-18,60.0,-60.0,5248.5,3.5,1.0,5248.5,3.5,1.0,5248.5,3.5,1.0,5246.5,1.5,-1.0,at_bid,5.0,2.5,0.8202
61100,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9961.0,2,1,sell,Mark 38,9945,15,9961,15,9953.0,16,15,-15,44.0,-44.0,9952.0,9.0,1.0,9952.0,9.0,1.0,9952.0,9.0,1.0,9953.0,8.0,0.0,at_ask,16.0,8.0,0.9835
61400,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9962.0,2,1,sell,Mark 38,9946,13,9962,13,9954.0,16,13,-13,41.0,-41.0,9954.0,8.0,0.0,9954.0,8.0,0.0,9953.0,9.0,1.0,9948.0,14.0,6.0,at_ask,16.0,8.0,0.9835
62100,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5243.0,6,1,buy,Mark 55,5243,22,5248,22,5245.5,5,22,-22,52.0,-52.0,5243.5,0.5,-2.0,5243.5,0.5,-2.0,5243.5,0.5,-2.0,5243.5,0.5,-2.0,at_bid,5.0,2.5,0.8202
62600,Mark 38,Mark 14,VEV_4000,XIRECS,1254.0,1,1,sell,Mark 38,1233,13,1254,13,1243.5,21,13,-13,34.0,-34.0,1243.0,11.0,0.5,1243.0,11.0,0.5,1244.0,10.0,-0.5,1242.0,12.0,1.5,at_ask,21.0,10.5,0.9181
63100,Mark 38,Mark 14,VEV_4000,XIRECS,1252.0,3,1,sell,Mark 38,1232,15,1252,15,1242.0,20,15,-15,35.0,-35.0,1242.5,9.5,-0.5,1242.5,9.5,-0.5,1242.5,9.5,-0.5,1245.5,6.5,-3.5,at_ask,20.0,10.0,0.1244
63200,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9950.0,5,1,sell,Mark 38,9934,15,9950,15,9942.0,16,15,-15,39.0,-39.0,9940.0,10.0,2.0,9940.0,10.0,2.0,9937.0,13.0,5.0,9937.0,13.0,5.0,at_ask,16.0,8.0,0.9835
63200,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5240.0,8,1,buy,Mark 55,5240,17,5245,49,5242.5,5,17,-49,49.0,-49.0,5242.5,2.5,0.0,5242.5,2.5,0.0,5243.5,3.5,1.0,5243.5,3.5,1.0,at_bid,5.0,2.5,0.8202
64200,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5245.0,6,1,sell,Mark 55,5240,25,5245,25,5242.5,5,25,-25,66.0,-66.0,5242.5,2.5,0.0,5242.5,2.5,0.0,5244.5,0.5,-2.0,5243.5,1.5,-1.0,at_ask,5.0,2.5,0.8202
64300,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9933.0,4,1,buy,Mark 38,9933,12,9949,12,9941.0,16,12,-12,32.0,-32.0,9940.5,7.5,-0.5,9940.5,7.5,-0.5,9939.0,6.0,-2.0,9937.0,4.0,-4.0,at_bid,16.0,8.0,0.9835
65400,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9930.0,4,1,buy,Mark 38,9930,12,9946,12,9938.0,16,12,-12,33.0,-33.0,9939.0,9.0,1.0,9939.0,9.0,1.0,9934.5,4.5,-3.5,9942.5,12.5,4.5,at_bid,16.0,8.0,0.9835
65700,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5240.0,8,1,buy,Mark 55,5240,21,5245,21,5242.5,5,21,-21,58.0,-58.0,5241.5,1.5,-1.0,5241.5,1.5,-1.0,5242.5,2.5,0.0,5242.0,2.0,-0.5,at_bid,5.0,2.5,0.8202
65900,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9935.0,2,1,buy,Mark 38,9935,15,9950,15,9942.5,15,15,-15,39.0,-39.0,9942.0,7.0,-0.5,9942.0,7.0,-0.5,9944.0,9.0,1.5,9948.5,13.5,6.0,at_bid,15.0,7.5,0.0611
67700,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5250.0,4,1,sell,Mark 55,5247,9,5250,18,5248.5,3,9,-18,67.0,-58.0,5247.0,3.0,1.5,5247.0,3.0,1.5,5247.5,2.5,1.0,5246.5,3.5,2.0,at_ask,3.0,1.5,0.0732
68000,Mark 38,Mark 14,VEV_4000,XIRECS,1258.0,2,1,sell,Mark 38,1237,12,1258,12,1247.5,21,12,-12,32.0,-32.0,1246.5,11.5,1.0,1246.5,11.5,1.0,1246.5,11.5,1.0,1246.5,11.5,1.0,at_ask,21.0,10.5,0.9181
69500,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9952.0,2,1,buy,Mark 38,9952,13,9967,13,9959.5,15,13,-13,43.0,-43.0,9962.0,10.0,2.5,9962.0,10.0,2.5,9960.0,8.0,0.5,9957.0,5.0,-2.5,at_bid,15.0,7.5,0.0611
70500,Mark 14,Mark 38,VEV_4000,XIRECS,1232.0,1,1,buy,Mark 38,1232,15,1252,15,1242.0,20,15,-15,44.0,-44.0,1242.5,10.5,0.5,1242.5,10.5,0.5,1242.0,10.0,0.0,1241.5,9.5,-0.5,at_bid,20.0,10.0,0.1244
73500,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9966.0,3,1,buy,Mark 38,9966,12,9982,12,9974.0,16,12,-12,36.0,-36.0,9978.0,12.0,4.0,9978.0,12.0,4.0,9978.0,12.0,4.0,9980.0,14.0,6.0,at_bid,16.0,8.0,0.9835
74300,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5238.0,6,1,sell,Mark 55,5233,19,5238,19,5235.5,5,19,-19,57.0,-57.0,5237.5,0.5,-2.0,5237.5,0.5,-2.0,5237.5,0.5,-2.0,5240.0,-2.0,-4.5,at_ask,5.0,2.5,0.8202
74400,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5235.0,4,1,buy,Mark 55,5235,24,5240,64,5237.5,5,24,-64,64.0,-64.0,5237.5,2.5,0.0,5237.5,2.5,0.0,5239.5,4.5,2.0,5239.5,4.5,2.0,at_bid,5.0,2.5,0.8202
76600,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9995.0,3,1,sell,Mark 38,9979,15,9995,15,9987.0,16,15,-15,44.0,-44.0,9990.0,5.0,-3.0,9990.0,5.0,-3.0,9992.0,3.0,-5.0,9991.0,4.0,-4.0,at_ask,16.0,8.0,0.9835
77300,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5241.0,8,1,sell,Mark 55,5236,21,5241,21,5238.5,5,21,-21,57.0,-57.0,5238.5,2.5,0.0,5238.5,2.5,0.0,5238.5,2.5,0.0,5236.5,4.5,2.0,at_ask,5.0,2.5,0.8202
78300,Mark 14,Mark 38,VEV_4000,XIRECS,1229.0,3,1,buy,Mark 38,1229,11,1250,11,1239.5,21,11,-11,32.0,-32.0,1238.5,9.5,-1.0,1238.5,9.5,-1.0,1241.0,12.0,1.5,1239.5,10.5,0.0,at_bid,21.0,10.5,0.9181
78500,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,10000.0,4,1,sell,Mark 38,9984,15,10000,15,9992.0,16,15,-15,38.0,-38.0,9990.0,10.0,2.0,9990.0,10.0,2.0,9990.0,10.0,2.0,9989.5,10.5,2.5,at_ask,16.0,8.0,0.9835
79000,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9982.0,3,1,buy,Mark 38,9982,13,9997,13,9989.5,15,13,-13,34.0,-34.0,9991.0,9.0,1.5,9991.0,9.0,1.5,9989.0,7.0,-0.5,9983.0,1.0,-6.5,at_bid,15.0,7.5,0.0611
79800,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9994.0,6,1,sell,Mark 38,9978,12,9994,12,9986.0,16,12,-12,37.0,-37.0,9986.0,8.0,0.0,9986.0,8.0,0.0,9984.0,10.0,2.0,9980.0,14.0,6.0,at_ask,16.0,8.0,0.9835
81300,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9970.0,6,1,buy,Mark 38,9970,12,9986,12,9978.0,16,12,-12,40.0,-40.0,9973.0,3.0,-5.0,9973.0,3.0,-5.0,9974.0,4.0,-4.0,9970.0,0.0,-8.0,at_bid,16.0,8.0,0.9835
81700,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9980.0,3,1,sell,Mark 38,9964,10,9980,10,9972.0,16,10,-10,34.0,-34.0,9970.0,10.0,2.0,9970.0,10.0,2.0,9970.0,10.0,2.0,9969.0,11.0,3.0,at_ask,16.0,8.0,0.9835
81900,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9978.0,2,1,sell,Mark 38,9962,12,9978,12,9970.0,16,12,-12,40.0,-40.0,9970.0,8.0,0.0,9970.0,8.0,0.0,9973.0,5.0,-3.0,9971.0,7.0,-1.0,at_ask,16.0,8.0,0.9835
82300,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9977.0,3,1,sell,Mark 38,9961,11,9977,11,9969.0,16,11,-11,41.0,-41.0,9971.0,6.0,-2.0,9971.0,6.0,-2.0,9973.0,4.0,-4.0,9971.0,6.0,-2.0,at_ask,16.0,8.0,0.9835
84300,Mark 38,Mark 14,VEV_4000,XIRECS,1243.0,1,1,sell,Mark 38,1222,9,1243,9,1232.5,21,9,-9,34.0,-34.0,1232.5,10.5,0.0,1232.5,10.5,0.0,1233.5,9.5,-1.0,1234.5,8.5,-2.0,at_ask,21.0,10.5,0.9181
85300,Mark 14,Mark 22,VEV_5300,XIRECS,42.0,2,1,buy,Mark 22,42,7,44,20,43.0,2,7,-20,18.0,-20.0,42.0,0.0,-1.0,42.0,0.0,-1.0,43.0,1.0,0.0,43.0,1.0,0.0,at_bid,2.0,1.0,0.8697
87900,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5239.0,3,1,buy,Mark 55,5239,20,5244,67,5241.5,5,20,-67,67.0,-67.0,5240.5,1.5,-1.0,5240.5,1.5,-1.0,5240.5,1.5,-1.0,5242.5,3.5,1.0,at_bid,5.0,2.5,0.8202
89300,Mark 14,Mark 38,VEV_4000,XIRECS,1232.0,3,1,buy,Mark 38,1232,14,1253,14,1242.5,21,14,-14,44.0,-44.0,1242.5,10.5,0.0,1242.5,10.5,0.0,1243.5,11.5,1.0,1238.0,6.0,-4.5,at_bid,21.0,10.5,0.9181
91100,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5244.0,6,1,sell,Mark 55,5239,15,5244,15,5241.5,5,15,-15,55.0,-55.0,5242.5,1.5,-1.0,5242.5,1.5,-1.0,5241.5,2.5,0.0,5241.5,2.5,0.0,at_ask,5.0,2.5,0.8202
92000,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5243.0,8,1,sell,Mark 55,5238,23,5243,23,5240.5,5,23,-23,61.0,-61.0,5240.5,2.5,0.0,5240.5,2.5,0.0,5242.5,0.5,-2.0,5243.5,-0.5,-3.0,at_ask,5.0,2.5,0.8202
92100,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9955.0,4,1,buy,Mark 38,9955,13,9971,13,9963.0,16,13,-13,42.0,-42.0,9965.0,10.0,2.0,9965.0,10.0,2.0,9964.0,9.0,1.0,9966.0,11.0,3.0,at_bid,16.0,8.0,0.9835
92500,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9956.0,2,1,buy,Mark 38,9956,12,9972,12,9964.0,16,12,-12,39.0,-39.0,9966.0,10.0,2.0,9966.0,10.0,2.0,9965.0,9.0,1.0,9963.0,7.0,-1.0,at_bid,16.0,8.0,0.9835
94400,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9974.0,4,1,sell,Mark 38,9958,15,9974,15,9966.0,16,15,-15,37.0,-37.0,9964.0,10.0,2.0,9964.0,10.0,2.0,9965.0,9.0,1.0,9966.0,8.0,0.0,at_ask,16.0,8.0,0.9835
97100,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9950.0,2,1,buy,Mark 38,9950,11,9966,11,9958.0,16,11,-11,40.0,-40.0,9958.0,8.0,0.0,9958.0,8.0,0.0,9956.0,6.0,-2.0,9959.0,9.0,1.0,at_bid,16.0,8.0,0.9835
98600,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9962.0,2,1,sell,Mark 38,9946,12,9962,12,9954.0,16,12,-12,36.0,-36.0,9954.0,8.0,0.0,9954.0,8.0,0.0,9951.0,11.0,3.0,9952.0,10.0,2.0,at_ask,16.0,8.0,0.9835
99000,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9961.0,3,1,sell,Mark 38,9945,15,9961,15,9953.0,16,15,-15,42.0,-42.0,9952.0,9.0,1.0,9952.0,9.0,1.0,9954.0,7.0,-1.0,9951.5,9.5,1.5,at_ask,16.0,8.0,0.9835
100500,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5248.0,4,1,sell,Mark 55,5243,22,5248,22,5245.5,5,22,-22,55.0,-55.0,5246.0,2.0,-0.5,5246.0,2.0,-0.5,5247.5,0.5,-2.0,5248.0,0.0,-2.5,at_ask,5.0,2.5,0.8202
101400,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9936.0,5,1,buy,Mark 38,9936,13,9952,13,9944.0,16,13,-13,34.0,-34.0,9943.0,7.0,-1.0,9943.0,7.0,-1.0,9943.0,7.0,-1.0,9951.0,15.0,7.0,at_bid,16.0,8.0,0.9835
101500,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9935.0,6,1,buy,Mark 38,9935,11,9951,11,9943.0,16,11,-11,35.0,-35.0,9943.0,8.0,0.0,9943.0,8.0,0.0,9941.0,6.0,-2.0,9951.0,16.0,8.0,at_bid,16.0,8.0,0.9835
102500,Mark 14,Mark 38,VEV_4000,XIRECS,1235.0,1,1,buy,Mark 38,1235,15,1256,15,1245.5,21,15,-15,36.0,-36.0,1246.5,11.5,1.0,1246.5,11.5,1.0,1247.5,12.5,2.0,1247.5,12.5,2.0,at_bid,21.0,10.5,0.9181
102800,Mark 14,Mark 38,VEV_4000,XIRECS,1236.0,1,1,buy,Mark 38,1236,13,1257,13,1246.5,21,13,-13,35.0,-35.0,1247.5,11.5,1.0,1247.5,11.5,1.0,1247.5,11.5,1.0,1246.5,10.5,0.0,at_bid,21.0,10.5,0.9181
103100,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9952.0,4,1,sell,Mark 38,9936,11,9952,11,9944.0,16,11,-11,36.0,-36.0,9945.0,7.0,-1.0,9945.0,7.0,-1.0,9948.0,4.0,-4.0,9951.0,1.0,-7.0,at_ask,16.0,8.0,0.9835
103500,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9940.0,3,1,buy,Mark 38,9940,13,9956,13,9948.0,16,13,-13,37.0,-37.0,9951.0,11.0,3.0,9951.0,11.0,3.0,9953.0,13.0,5.0,9953.0,13.0,5.0,at_bid,16.0,8.0,0.9835
104400,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,XIRECS,5252.0,6,1,sell,Mark 55,5247,68,5252,22,5249.5,5,68,-22,68.0,-68.0,5249.5,2.5,0.0,5249.5,2.5,0.0,5249.5,2.5,0.0,5250.5,1.5,-1.0,at_ask,5.0,2.5,0.8202
107100,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9952.0,5,1,buy,Mark 38,9952,13,9968,13,9960.0,16,13,-13,41.0,-41.0,9963.0,11.0,3.0,9963.0,11.0,3.0,9960.0,8.0,0.0,9960.0,8.0,0.0,at_bid,16.0,8.0,0.9835
109100,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9957.0,2,1,buy,Mark 38,9957,12,9973,12,9965.0,16,12,-12,36.0,-36.0,9965.0,8.0,0.0,9965.0,8.0,0.0,9968.0,11.0,3.0,9966.0,9.0,1.0,at_bid,16.0,8.0,0.9835
112000,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5260.0,3,1,buy,Mark 55,5260,17,5265,55,5262.5,5,17,-55,55.0,-55.0,5263.5,3.5,1.0,5263.5,3.5,1.0,5262.5,2.5,0.0,5264.5,4.5,2.0,at_bid,5.0,2.5,0.8202
112700,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9948.0,2,1,buy,Mark 38,9948,14,9964,14,9956.0,16,14,-14,40.0,-40.0,9952.0,4.0,-4.0,9952.0,4.0,-4.0,9954.5,6.5,-1.5,9950.0,2.0,-6.0,at_bid,16.0,8.0,0.9835
113900,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9956.0,2,1,sell,Mark 38,9940,15,9956,15,9948.0,16,15,-15,35.0,-35.0,9947.0,9.0,1.0,9947.0,9.0,1.0,9944.0,12.0,4.0,9948.0,8.0,0.0,at_ask,16.0,8.0,0.9835
