timestamp,buyer,seller,symbol,currency,price,quantity,day,row_id,mark49_side,other_party,bid_price_1,ask_price_1,bid_volume_1,ask_volume_1,bid_depth_3,ask_depth_3,spread,mid_price,px_minus_mid,at_bid,at_ask,inside,outside,aggressive,passive_or_price_improved,future_mid_10,mid_move_10,side_mid_markout_10,trade_markout_10,future_mid_50,mid_move_50,side_mid_markout_50,trade_markout_50,future_mid_200,mid_move_200,side_mid_markout_200,trade_markout_200,future_mid_500,mid_move_500,side_mid_markout_500,trade_markout_500,future_mid_1000,mid_move_1000,side_mid_markout_1000,trade_markout_1000,future_mid_2000,mid_move_2000,side_mid_markout_2000,trade_markout_2000,future_mid_5000,mid_move_5000,side_mid_markout_5000,trade_markout_5000
197600,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5237.0,9,1,100315,sell,Mark 67,5236,5237,19,9,66.0,75.0,1,5236.5,0.5,False,True,False,False,False,True,5238.0,1.5,-1.5,-1.0,5238.0,1.5,-1.5,-1.0,5239.5,3.0,-3.0,-2.5,5238.5,2.0,-2.0,-1.5,5243.5,7.0,-7.0,-6.5,5237.0,0.5,-0.5,0.0,5243.5,7.0,-7.0,-6.5
251900,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5263.0,14,1,100374,sell,Mark 67,5261,5263,63,14,63.0,77.0,2,5262.0,1.0,False,True,False,False,False,True,5264.5,2.5,-2.5,-1.5,5264.5,2.5,-2.5,-1.5,5263.5,1.5,-1.5,-0.5,5264.5,2.5,-2.5,-1.5,5265.5,3.5,-3.5,-2.5,5263.5,1.5,-1.5,-0.5,5265.5,3.5,-3.5,-2.5
265400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5250.0,9,1,100393,sell,Mark 67,5248,5250,64,9,64.0,73.0,2,5249.0,1.0,False,True,False,False,False,True,5250.5,1.5,-1.5,-0.5,5250.5,1.5,-1.5,-0.5,5250.5,1.5,-1.5,-0.5,5250.5,1.5,-1.5,-0.5,5250.5,1.5,-1.5,-0.5,5250.5,1.5,-1.5,-0.5,5255.5,6.5,-6.5,-5.5
281400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5253.0,15,1,100416,sell,Mark 67,5252,5253,23,15,68.0,83.0,1,5252.5,0.5,False,True,False,False,False,True,5256.5,4.0,-4.0,-3.5,5256.5,4.0,-4.0,-3.5,5257.5,5.0,-5.0,-4.5,5256.5,4.0,-4.0,-3.5,5260.5,8.0,-8.0,-7.5,5256.5,4.0,-4.0,-3.5,5263.5,11.0,-11.0,-10.5
289200,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5266.0,11,1,100426,sell,Mark 67,5265,5266,18,11,68.0,79.0,1,5265.5,0.5,False,True,False,False,False,True,5267.0,1.5,-1.5,-1.0,5267.0,1.5,-1.5,-1.0,5265.5,0.0,-0.0,0.5,5269.5,4.0,-4.0,-3.5,5273.5,8.0,-8.0,-7.5,5273.5,8.0,-8.0,-7.5,5272.0,6.5,-6.5,-6.0
291400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5274.0,5,1,100428,sell,Mark 55,5272,5274,18,10,58.0,68.0,2,5273.0,1.0,False,True,False,False,False,True,5274.5,1.5,-1.5,-0.5,5274.5,1.5,-1.5,-0.5,5271.5,-1.5,1.5,2.5,5271.5,-1.5,1.5,2.5,5272.0,-1.0,1.0,2.0,5271.0,-2.0,2.0,3.0,5275.5,2.5,-2.5,-1.5
310500,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5266.0,11,1,100456,sell,Mark 67,5265,5266,18,11,64.0,75.0,1,5265.5,0.5,False,True,False,False,False,True,5266.5,1.0,-1.0,-0.5,5266.5,1.0,-1.0,-0.5,5265.5,0.0,-0.0,0.5,5264.5,-1.0,1.0,1.5,5264.5,-1.0,1.0,1.5,5264.5,-1.0,1.0,1.5,5251.5,-14.0,14.0,14.5
340500,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5249.0,9,1,100493,sell,Mark 67,5248,5249,15,9,50.0,59.0,1,5248.5,0.5,False,True,False,False,False,True,5250.5,2.0,-2.0,-1.5,5250.5,2.0,-2.0,-1.5,5251.0,2.5,-2.5,-2.0,5250.5,2.0,-2.0,-1.5,5248.5,0.0,-0.0,0.5,5249.5,1.0,-1.0,-0.5,5246.5,-2.0,2.0,2.5
343400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5251.0,13,1,100497,sell,Mark 67,5250,5251,18,13,59.0,72.0,1,5250.5,0.5,False,True,False,False,False,True,5251.5,1.0,-1.0,-0.5,5251.5,1.0,-1.0,-0.5,5251.5,1.0,-1.0,-0.5,5251.5,1.0,-1.0,-0.5,5247.0,-3.5,3.5,4.0,5245.5,-5.0,5.0,5.5,5250.0,-0.5,0.5,1.0
390100,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5244.0,10,1,100554,sell,Mark 67,5242,5244,61,10,61.0,71.0,2,5243.0,1.0,False,True,False,False,False,True,5245.0,2.0,-2.0,-1.0,5245.0,2.0,-2.0,-1.0,5245.0,2.0,-2.0,-1.0,5244.5,1.5,-1.5,-0.5,5244.0,1.0,-1.0,0.0,5244.5,1.5,-1.5,-0.5,5239.0,-4.0,4.0,5.0
475400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5254.0,7,1,100659,sell,Mark 55,5252,5254,66,15,66.0,81.0,2,5253.0,1.0,False,True,False,False,False,True,5254.5,1.5,-1.5,-0.5,5254.5,1.5,-1.5,-0.5,5254.5,1.5,-1.5,-0.5,5256.5,3.5,-3.5,-2.5,5256.5,3.5,-3.5,-2.5,5258.5,5.5,-5.5,-4.5,5249.5,-3.5,3.5,4.5
480100,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5250.0,10,1,100670,sell,Mark 67,5248,5250,55,10,55.0,65.0,2,5249.0,1.0,False,True,False,False,False,True,5251.5,2.5,-2.5,-1.5,5251.5,2.5,-2.5,-1.5,5250.0,1.0,-1.0,0.0,5248.5,-0.5,0.5,1.5,5248.5,-0.5,0.5,1.5,5243.5,-5.5,5.5,6.5,5242.0,-7.0,7.0,8.0
498200,Mark 22,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5241.0,5,1,100695,sell,Mark 22,5239,5240,24,6,74.0,80.0,1,5239.5,1.5,False,False,False,True,False,True,5241.5,2.0,-2.0,-0.5,5241.5,2.0,-2.0,-0.5,5240.5,1.0,-1.0,0.5,5242.5,3.0,-3.0,-1.5,5243.5,4.0,-4.0,-2.5,5242.5,3.0,-3.0,-1.5,5252.5,13.0,-13.0,-11.5
509700,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5260.0,13,1,100711,sell,Mark 67,5259,5260,22,13,66.0,42.0,1,5259.5,0.5,False,True,False,False,False,True,5262.5,3.0,-3.0,-2.5,5262.5,3.0,-3.0,-2.5,5262.5,3.0,-3.0,-2.5,5262.5,3.0,-3.0,-2.5,5263.0,3.5,-3.5,-3.0,5265.5,6.0,-6.0,-5.5,5268.5,9.0,-9.0,-8.5
514100,Mark 49,Mark 22,VELVETFRUIT_EXTRACT,XIRECS,5263.0,7,1,100715,buy,Mark 22,5263,5266,5,64,69.0,64.0,3,5264.5,-1.5,True,False,False,False,False,True,5264.0,-0.5,-0.5,1.0,5264.0,-0.5,-0.5,1.0,5264.5,0.0,0.0,1.5,5267.5,3.0,3.0,4.5,5267.5,3.0,3.0,4.5,5266.5,2.0,2.0,3.5,5257.0,-7.5,-7.5,-6.0
564000,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5231.0,12,1,100787,sell,Mark 67,5230,5231,16,12,53.0,65.0,1,5230.5,0.5,False,True,False,False,False,True,5233.5,3.0,-3.0,-2.5,5233.5,3.0,-3.0,-2.5,5233.0,2.5,-2.5,-2.0,5232.5,2.0,-2.0,-1.5,5233.5,3.0,-3.0,-2.5,5234.5,4.0,-4.0,-3.5,5239.5,9.0,-9.0,-8.5
582900,Mark 49,Mark 22,VELVETFRUIT_EXTRACT,XIRECS,5236.0,9,1,100830,buy,Mark 22,5234,5236,69,1,69.0,70.0,2,5235.0,1.0,False,True,False,False,True,False,5236.5,1.5,1.5,0.5,5236.5,1.5,1.5,0.5,5236.5,1.5,1.5,0.5,5238.5,3.5,3.5,2.5,5239.5,4.5,4.5,3.5,5236.5,1.5,1.5,0.5,5246.5,11.5,11.5,10.5
588600,Mark 49,Mark 22,VELVETFRUIT_EXTRACT,XIRECS,5245.0,5,1,100839,buy,Mark 22,5245,5248,3,59,62.0,59.0,3,5246.5,-1.5,True,False,False,False,False,True,5245.5,-1.0,-1.0,0.5,5245.5,-1.0,-1.0,0.5,5244.5,-2.0,-2.0,-0.5,5245.0,-1.5,-1.5,0.0,5243.5,-3.0,-3.0,-1.5,5239.5,-7.0,-7.0,-5.5,5239.0,-7.5,-7.5,-6.0
612900,Mark 22,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5225.0,10,1,100866,sell,Mark 22,5223,5225,65,3,65.0,68.0,2,5224.0,1.0,False,True,False,False,False,True,5227.0,3.0,-3.0,-2.0,5227.0,3.0,-3.0,-2.0,5226.5,2.5,-2.5,-1.5,5228.5,4.5,-4.5,-3.5,5230.5,6.5,-6.5,-5.5,5233.5,9.5,-9.5,-8.5,5234.0,10.0,-10.0,-9.0
622400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5235.0,13,1,100887,sell,Mark 67,5234,5235,24,13,70.0,83.0,1,5234.5,0.5,False,True,False,False,False,True,5237.5,3.0,-3.0,-2.5,5237.5,3.0,-3.0,-2.5,5236.5,2.0,-2.0,-1.5,5237.5,3.0,-3.0,-2.5,5237.5,3.0,-3.0,-2.5,5238.5,4.0,-4.0,-3.5,5228.5,-6.0,6.0,6.5
713400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5269.0,13,1,101009,sell,Mark 67,5268,5269,17,13,56.0,69.0,1,5268.5,0.5,False,True,False,False,False,True,5271.0,2.5,-2.5,-2.0,5271.0,2.5,-2.5,-2.0,5271.5,3.0,-3.0,-2.5,5272.5,4.0,-4.0,-3.5,5271.5,3.0,-3.0,-2.5,5271.0,2.5,-2.5,-2.0,5267.0,-1.5,1.5,2.0
838700,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5252.0,11,1,101194,sell,Mark 67,5251,5252,20,11,62.0,73.0,1,5251.5,0.5,False,True,False,False,False,True,5252.0,0.5,-0.5,0.0,5252.0,0.5,-0.5,0.0,5252.5,1.0,-1.0,-0.5,5251.5,0.0,-0.0,0.5,5253.5,2.0,-2.0,-1.5,5255.0,3.5,-3.5,-3.0,5257.0,5.5,-5.5,-5.0
839600,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5253.0,8,1,101195,sell,Mark 67,5251,5253,65,8,65.0,73.0,2,5252.0,1.0,False,True,False,False,False,True,5253.5,1.5,-1.5,-0.5,5253.5,1.5,-1.5,-0.5,5253.5,1.5,-1.5,-0.5,5253.5,1.5,-1.5,-0.5,5255.5,3.5,-3.5,-2.5,5257.5,5.5,-5.5,-4.5,5257.5,5.5,-5.5,-4.5
845400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5256.0,8,1,101200,sell,Mark 67,5255,5256,18,8,56.0,64.0,1,5255.5,0.5,False,True,False,False,False,True,5257.0,1.5,-1.5,-1.0,5257.0,1.5,-1.5,-1.0,5258.0,2.5,-2.5,-2.0,5259.5,4.0,-4.0,-3.5,5261.5,6.0,-6.0,-5.5,5260.0,4.5,-4.5,-4.0,5261.5,6.0,-6.0,-5.5
863300,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5254.0,12,1,101227,sell,Mark 67,5253,5254,24,12,65.0,77.0,1,5253.5,0.5,False,True,False,False,False,True,5255.5,2.0,-2.0,-1.5,5255.5,2.0,-2.0,-1.5,5254.5,1.0,-1.0,-0.5,5254.5,1.0,-1.0,-0.5,5254.0,0.5,-0.5,0.0,5254.5,1.0,-1.0,-0.5,5250.5,-3.0,3.0,3.5
879700,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5238.0,11,1,101253,sell,Mark 67,5237,5238,15,11,61.0,72.0,1,5237.5,0.5,False,True,False,False,False,True,5239.5,2.0,-2.0,-1.5,5239.5,2.0,-2.0,-1.5,5239.5,2.0,-2.0,-1.5,5239.5,2.0,-2.0,-1.5,5237.5,0.0,-0.0,0.5,5244.5,7.0,-7.0,-6.5,5256.5,19.0,-19.0,-18.5
887800,Mark 49,Mark 22,VELVETFRUIT_EXTRACT,XIRECS,5252.0,8,1,101264,buy,Mark 22,5252,5255,5,23,66.0,61.0,3,5253.5,-1.5,True,False,False,False,False,True,5251.5,-2.0,-2.0,-0.5,5251.5,-2.0,-2.0,-0.5,5250.5,-3.0,-3.0,-1.5,5251.0,-2.5,-2.5,-1.0,5250.5,-3.0,-3.0,-1.5,5246.0,-7.5,-7.5,-6.0,5250.5,-3.0,-3.0,-1.5
896900,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5247.0,11,1,101270,sell,Mark 67,5246,5247,17,11,63.0,74.0,1,5246.5,0.5,False,True,False,False,False,True,5249.5,3.0,-3.0,-2.5,5249.5,3.0,-3.0,-2.5,5249.5,3.0,-3.0,-2.5,5248.5,2.0,-2.0,-1.5,5246.5,0.0,-0.0,0.5,5248.5,2.0,-2.0,-1.5,5255.5,9.0,-9.0,-8.5
914700,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5263.0,8,1,101296,sell,Mark 67,5261,5263,61,8,61.0,69.0,2,5262.0,1.0,False,True,False,False,False,True,5264.5,2.5,-2.5,-1.5,5264.5,2.5,-2.5,-1.5,5264.5,2.5,-2.5,-1.5,5264.0,2.0,-2.0,-1.0,5267.5,5.5,-5.5,-4.5,5259.5,-2.5,2.5,3.5,5268.5,6.5,-6.5,-5.5
985600,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5252.0,14,1,101387,sell,Mark 67,5251,5252,20,14,61.0,75.0,1,5251.5,0.5,False,True,False,False,False,True,5253.5,2.0,-2.0,-1.5,5253.5,2.0,-2.0,-1.5,5254.5,3.0,-3.0,-2.5,5254.0,2.5,-2.5,-2.0,5254.5,3.0,-3.0,-2.5,5253.5,2.0,-2.0,-1.5,5262.5,11.0,-11.0,-10.5
900,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5262.0,8,2,200000,sell,Mark 67,5260,5262,66,8,66.0,74.0,2,5261.0,1.0,False,True,False,False,False,True,5262.5,1.5,-1.5,-0.5,5262.5,1.5,-1.5,-0.5,5263.5,2.5,-2.5,-1.5,5264.0,3.0,-3.0,-2.0,5266.5,5.5,-5.5,-4.5,5269.5,8.5,-8.5,-7.5,5276.0,15.0,-15.0,-14.0
44900,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5257.0,14,2,200061,sell,Mark 67,5256,5257,23,14,60.0,74.0,1,5256.5,0.5,False,True,False,False,False,True,5258.5,2.0,-2.0,-1.5,5258.5,2.0,-2.0,-1.5,5258.0,1.5,-1.5,-1.0,5255.0,-1.5,1.5,2.0,5255.5,-1.0,1.0,1.5,5258.5,2.0,-2.0,-1.5,5260.5,4.0,-4.0,-3.5
112600,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5257.0,10,2,200145,sell,Mark 67,5256,5257,15,10,55.0,65.0,1,5256.5,0.5,False,True,False,False,False,True,5258.5,2.0,-2.0,-1.5,5258.5,2.0,-2.0,-1.5,5257.5,1.0,-1.0,-0.5,5258.0,1.5,-1.5,-1.0,5256.5,0.0,-0.0,0.5,5257.5,1.0,-1.0,-0.5,5259.5,3.0,-3.0,-2.5
129300,Mark 22,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5255.0,8,2,200153,sell,Mark 22,5253,5255,63,5,63.0,68.0,2,5254.0,1.0,False,True,False,False,False,True,5256.0,2.0,-2.0,-1.0,5256.0,2.0,-2.0,-1.0,5256.0,2.0,-2.0,-1.0,5255.5,1.5,-1.5,-0.5,5254.5,0.5,-0.5,0.5,5256.5,2.5,-2.5,-1.5,5254.5,0.5,-0.5,0.5
129300,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5255.0,5,2,200154,sell,Mark 67,5253,5255,63,5,63.0,68.0,2,5254.0,1.0,False,True,False,False,False,True,5256.0,2.0,-2.0,-1.0,5256.0,2.0,-2.0,-1.0,5256.0,2.0,-2.0,-1.0,5255.5,1.5,-1.5,-0.5,5254.5,0.5,-0.5,0.5,5256.5,2.5,-2.5,-1.5,5254.5,0.5,-0.5,0.5
134300,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5255.0,9,2,200165,sell,Mark 67,5254,5255,19,9,63.0,72.0,1,5254.5,0.5,False,True,False,False,False,True,5256.5,2.0,-2.0,-1.5,5256.5,2.0,-2.0,-1.5,5255.5,1.0,-1.0,-0.5,5257.5,3.0,-3.0,-2.5,5257.0,2.5,-2.5,-2.0,5258.0,3.5,-3.5,-3.0,5253.5,-1.0,1.0,1.5
156200,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5275.0,14,2,200193,sell,Mark 67,5274,5275,25,14,58.0,72.0,1,5274.5,0.5,False,True,False,False,False,True,5276.5,2.0,-2.0,-1.5,5276.5,2.0,-2.0,-1.5,5276.5,2.0,-2.0,-1.5,5276.5,2.0,-2.0,-1.5,5273.5,-1.0,1.0,1.5,5275.5,1.0,-1.0,-0.5,5271.0,-3.5,3.5,4.0
157400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5272.0,13,2,200195,sell,Mark 67,5270,5272,72,13,72.0,85.0,2,5271.0,1.0,False,True,False,False,False,True,5274.0,3.0,-3.0,-2.0,5274.0,3.0,-3.0,-2.0,5274.5,3.5,-3.5,-2.5,5274.5,3.5,-3.5,-2.5,5275.5,4.5,-4.5,-3.5,5274.0,3.0,-3.0,-2.0,5267.5,-3.5,3.5,4.5
199400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5262.0,8,2,200244,sell,Mark 67,5261,5262,16,8,57.0,65.0,1,5261.5,0.5,False,True,False,False,False,True,5264.0,2.5,-2.5,-2.0,5264.0,2.5,-2.5,-2.0,5262.5,1.0,-1.0,-0.5,5262.0,0.5,-0.5,0.0,5262.5,1.0,-1.0,-0.5,5259.0,-2.5,2.5,3.0,5260.5,-1.0,1.0,1.5
205000,Mark 49,Mark 22,VELVETFRUIT_EXTRACT,XIRECS,5263.0,5,2,200255,buy,Mark 22,5264,5266,8,17,59.0,51.0,2,5265.0,-2.0,False,False,False,True,False,True,5263.5,-1.5,-1.5,0.5,5263.5,-1.5,-1.5,0.5,5264.5,-0.5,-0.5,1.5,5263.0,-2.0,-2.0,0.0,5265.5,0.5,0.5,2.5,5267.0,2.0,2.0,4.0,5267.5,2.5,2.5,4.5
207000,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5268.0,15,2,200260,sell,Mark 67,5266,5268,74,15,74.0,89.0,2,5267.0,1.0,False,True,False,False,False,True,5270.5,3.5,-3.5,-2.5,5270.5,3.5,-3.5,-2.5,5270.5,3.5,-3.5,-2.5,5268.5,1.5,-1.5,-0.5,5270.5,3.5,-3.5,-2.5,5267.5,0.5,-0.5,0.5,5267.5,0.5,-0.5,0.5
237600,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5271.0,8,2,200286,sell,Mark 67,5269,5271,66,8,66.0,74.0,2,5270.0,1.0,False,True,False,False,False,True,5270.5,0.5,-0.5,0.5,5270.5,0.5,-0.5,0.5,5270.0,0.0,-0.0,1.0,5268.5,-1.5,1.5,2.5,5264.5,-5.5,5.5,6.5,5264.5,-5.5,5.5,6.5,5275.5,5.5,-5.5,-4.5
258000,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5271.0,15,2,200308,sell,Mark 67,5270,5271,22,15,66.0,81.0,1,5270.5,0.5,False,True,False,False,False,True,5273.5,3.0,-3.0,-2.5,5273.5,3.0,-3.0,-2.5,5274.0,3.5,-3.5,-3.0,5274.5,4.0,-4.0,-3.5,5275.0,4.5,-4.5,-4.0,5278.0,7.5,-7.5,-7.0,5279.5,9.0,-9.0,-8.5
282600,Mark 49,Mark 22,VELVETFRUIT_EXTRACT,XIRECS,5269.0,10,2,200357,buy,Mark 22,5269,5272,3,58,61.0,58.0,3,5270.5,-1.5,True,False,False,False,False,True,5269.0,-1.5,-1.5,0.0,5269.0,-1.5,-1.5,0.0,5270.0,-0.5,-0.5,1.0,5271.5,1.0,1.0,2.5,5271.5,1.0,1.0,2.5,5275.0,4.5,4.5,6.0,5277.5,7.0,7.0,8.5
323500,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5269.0,14,2,200435,sell,Mark 67,5267,5269,68,14,68.0,82.0,2,5268.0,1.0,False,True,False,False,False,True,5270.0,2.0,-2.0,-1.0,5270.0,2.0,-2.0,-1.0,5269.5,1.5,-1.5,-0.5,5267.5,-0.5,0.5,1.5,5270.5,2.5,-2.5,-1.5,5268.5,0.5,-0.5,0.5,5266.5,-1.5,1.5,2.5
385100,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5245.0,9,2,200525,sell,Mark 67,5244,5245,22,9,59.0,68.0,1,5244.5,0.5,False,True,False,False,False,True,5245.5,1.0,-1.0,-0.5,5245.5,1.0,-1.0,-0.5,5245.5,1.0,-1.0,-0.5,5247.0,2.5,-2.5,-2.0,5246.5,2.0,-2.0,-1.5,5239.5,-5.0,5.0,5.5,5239.5,-5.0,5.0,5.5
389600,Mark 49,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5238.0,7,2,200533,buy,Mark 55,5238,5241,10,15,69.0,59.0,3,5239.5,-1.5,True,False,False,False,False,True,5239.5,0.0,0.0,1.5,5239.5,0.0,0.0,1.5,5239.5,0.0,0.0,1.5,5239.5,0.0,0.0,1.5,5241.5,2.0,2.0,3.5,5244.5,5.0,5.0,6.5,5246.5,7.0,7.0,8.5
