symbol,side,day,timestamp,qty,entry_ts,historical_edge_t200,executable_edge_t200,slippage
VELVETFRUIT_EXTRACT,buy,1,112000,3,112100,2.5,-2.5,6.0
HYDROGEL_PACK,buy,1,112700,2,112800,6.5,-5.0,12.0
HYDROGEL_PACK,sell,1,113900,2,114000,12.0,-5.0,17.0
HYDROGEL_PACK,buy,1,115500,3,115600,9.0,-7.0,16.0
VELVETFRUIT_EXTRACT,buy,1,118800,3,118900,0.5,-4.5,5.0
HYDROGEL_PACK,sell,1,119400,3,119500,6.0,-8.0,14.0
HYDROGEL_PACK,sell,1,120700,2,120800,9.0,-6.5,17.0
VELVETFRUIT_EXTRACT,sell,1,125600,3,125700,2.5,-4.5,6.0
HYDROGEL_PACK,sell,1,126000,4,126100,9.0,-11.0,15.0
VEV_4000,sell,1,129100,3,129200,11.5,-9.5,21.0
HYDROGEL_PACK,sell,1,129500,6,129600,8.0,-10.0,18.0
HYDROGEL_PACK,buy,1,129800,4,129900,6.0,-7.0,15.0
HYDROGEL_PACK,buy,1,130800,5,130900,4.0,-10.0,14.0
VEV_4000,buy,1,133100,3,133200,10.0,-8.5,21.0
HYDROGEL_PACK,buy,1,133700,4,133800,10.5,-5.0,15.0
VELVETFRUIT_EXTRACT,buy,1,134000,8,134100,0.5,-5.5,4.0
HYDROGEL_PACK,buy,1,134500,6,134600,13.0,-9.0,20.0
VELVETFRUIT_EXTRACT,buy,1,135500,7,135600,4.0,-1.0,6.0
VEV_4000,buy,1,137000,3,137100,9.5,-10.5,20.0
VEV_4000,buy,1,137300,3,137400,8.5,-13.5,21.0
VEV_4000,sell,1,137600,3,137700,10.5,-8.5,20.0
HYDROGEL_PACK,buy,1,137800,3,137900,11.5,-10.0,19.0
HYDROGEL_PACK,sell,1,138100,2,138200,6.5,-13.0,15.0
VELVETFRUIT_EXTRACT,sell,1,140000,5,140100,3.5,-1.5,6.0
VELVETFRUIT_EXTRACT,sell,1,140100,4,140200,3.5,-2.5,5.0
VELVETFRUIT_EXTRACT,sell,1,141000,4,141100,0.5,-2.5,4.0
VELVETFRUIT_EXTRACT,sell,1,142000,6,142100,1.5,-4.0,5.0
HYDROGEL_PACK,sell,1,145600,5,145700,4.0,-8.0,12.0
HYDROGEL_PACK,sell,1,146500,6,146600,4.0,-9.0,15.0
VELVETFRUIT_EXTRACT,buy,1,146700,7,146800,3.5,-1.0,6.0
VEV_4000,buy,1,147900,1,148000,10.5,-13.0,22.0
HYDROGEL_PACK,sell,1,148000,3,148100,11.0,-8.0,17.0
HYDROGEL_PACK,buy,1,151100,4,151200,6.0,-7.0,15.0
HYDROGEL_PACK,buy,1,151200,6,151300,9.0,-5.0,15.0
HYDROGEL_PACK,buy,1,152700,5,152800,10.0,-9.0,18.0
VEV_4000,buy,1,154100,3,154200,10.5,-9.5,22.0
HYDROGEL_PACK,sell,1,155900,4,156000,11.0,-6.0,17.0
VEV_4000,buy,1,156200,1,156300,9.5,-9.5,21.0
HYDROGEL_PACK,buy,1,156400,6,156500,13.0,-2.0,18.0
HYDROGEL_PACK,buy,1,159900,3,160000,8.0,-9.0,17.0
HYDROGEL_PACK,buy,1,161200,6,161300,12.0,-8.0,19.0
VELVETFRUIT_EXTRACT,buy,1,164000,5,164100,0.5,-3.5,4.0
HYDROGEL_PACK,sell,1,164300,5,164400,5.0,-12.0,14.0
HYDROGEL_PACK,buy,1,167300,3,167400,5.0,-11.0,15.0
VEV_4000,buy,1,167600,2,167700,10.5,-10.5,21.0
VELVETFRUIT_EXTRACT,buy,1,168400,3,168500,0.5,-3.5,5.0
VEV_4000,sell,1,168500,2,168600,11.5,-11.5,23.0
VEV_4000,sell,1,168700,1,168800,10.5,-11.5,21.0
VEV_5300,buy,1,170500,3,170600,1.0,-1.0,2.0
VEV_4000,sell,1,170900,3,171000,11.5,-12.5,24.0
HYDROGEL_PACK,sell,1,171400,6,171500,13.0,-2.0,17.0
VEV_4000,buy,1,172400,1,172500,10.5,-0.5,11.0
HYDROGEL_PACK,sell,1,174200,5,174300,4.5,-11.0,15.0
HYDROGEL_PACK,sell,1,174400,6,174500,7.0,-5.0,15.0
HYDROGEL_PACK,buy,1,178000,3,178100,8.0,-8.0,17.0
HYDROGEL_PACK,buy,1,182100,3,182200,6.0,-11.0,16.0
HYDROGEL_PACK,buy,1,182800,5,182900,3.0,-12.0,14.0
VEV_4000,sell,1,184200,3,184300,10.5,-11.5,21.0
HYDROGEL_PACK,sell,1,185800,4,185900,9.0,-6.0,16.0
HYDROGEL_PACK,buy,1,188400,4,188500,9.0,-6.0,16.0
VELVETFRUIT_EXTRACT,buy,1,190600,6,190700,3.5,1.0,5.0
VELVETFRUIT_EXTRACT,sell,1,190700,3,190800,-1.0,-4.0,4.0
VELVETFRUIT_EXTRACT,buy,1,191100,8,191200,3.0,-3.5,5.0
VELVETFRUIT_EXTRACT,buy,1,192600,3,192700,4.5,0.5,5.0
HYDROGEL_PACK,buy,1,192800,5,192900,10.0,-7.0,17.0
HYDROGEL_PACK,sell,1,193400,4,193500,9.0,-7.0,18.0
VEV_4000,sell,1,194200,2,194300,10.5,-11.5,21.0
VELVETFRUIT_EXTRACT,buy,1,194400,5,194500,1.5,-5.0,6.0
VELVETFRUIT_EXTRACT,sell,1,195200,3,195300,2.0,-4.0,5.0
VELVETFRUIT_EXTRACT,sell,1,196100,5,196200,2.5,-1.5,3.0
VEV_4000,buy,1,196700,1,196800,11.5,-10.5,22.0
VELVETFRUIT_EXTRACT,sell,1,198900,5,199000,0.5,-2.5,5.0
VELVETFRUIT_EXTRACT,sell,1,199200,5,199300,2.5,-3.5,7.0
HYDROGEL_PACK,sell,1,199400,3,199500,10.0,-5.0,16.0
VEV_4000,sell,1,202300,3,202400,8.5,-11.5,20.0
HYDROGEL_PACK,sell,1,202700,5,202800,10.0,-7.0,16.0
HYDROGEL_PACK,buy,1,203200,6,203300,7.0,-6.5,13.0
VELVETFRUIT_EXTRACT,sell,1,203700,3,203800,0.5,-3.5,4.0
VEV_5400,buy,1,206200,3,206300,0.0,-1.0,1.0
VEV_4000,sell,1,206600,1,206700,11.5,-10.0,21.0
VELVETFRUIT_EXTRACT,buy,1,210300,5,210400,3.5,-4.0,6.0
HYDROGEL_PACK,buy,1,210600,5,210700,11.0,-9.0,19.0
HYDROGEL_PACK,buy,1,211100,6,211200,11.0,-8.0,18.0
VELVETFRUIT_EXTRACT,buy,1,215000,4,215100,3.5,-0.5,5.0
VEV_4000,sell,1,216000,1,216100,12.5,-10.5,22.0
VELVETFRUIT_EXTRACT,sell,1,217100,4,217200,3.5,-3.0,6.0
HYDROGEL_PACK,sell,1,217500,4,217600,4.0,-9.0,14.0
VEV_4000,sell,1,217800,1,217900,9.5,-13.5,22.0
HYDROGEL_PACK,sell,1,218500,5,218600,9.0,-10.0,17.0
HYDROGEL_PACK,sell,1,218900,3,219000,12.0,-6.0,17.0
VELVETFRUIT_EXTRACT,buy,1,218900,8,219000,2.5,-2.5,6.0
HYDROGEL_PACK,sell,1,221200,5,221300,3.0,-11.0,13.0
VELVETFRUIT_EXTRACT,buy,1,221800,7,221900,2.5,-1.0,4.0
VEV_4000,buy,1,222900,3,223000,10.5,-11.5,23.0
VEV_4000,sell,1,223300,2,223400,10.5,-12.5,22.0
VEV_4000,sell,1,224100,2,224200,9.5,-11.0,21.0
VELVETFRUIT_EXTRACT,sell,1,225100,5,225200,4.5,-1.5,5.0
HYDROGEL_PACK,buy,1,226100,5,226200,7.0,-6.0,15.0
VEV_4000,sell,1,229100,1,229200,9.5,-9.5,20.0
HYDROGEL_PACK,sell,1,230000,4,230100,8.0,-10.0,19.0
HYDROGEL_PACK,sell,1,230800,3,230900,5.0,-13.0,14.0
HYDROGEL_PACK,buy,1,235900,3,236000,11.0,-7.0,18.0
HYDROGEL_PACK,sell,1,238200,2,238300,10.0,-7.0,16.0
VELVETFRUIT_EXTRACT,buy,1,239400,6,239500,2.5,-1.5,5.0
HYDROGEL_PACK,buy,1,239600,4,239700,7.0,-8.0,15.0
HYDROGEL_PACK,sell,1,239700,6,239800,8.0,-6.0,16.0
VELVETFRUIT_EXTRACT,sell,1,240200,3,240300,3.5,-3.0,6.0
HYDROGEL_PACK,buy,1,240600,3,240700,10.5,-10.0,18.0
HYDROGEL_PACK,buy,1,241900,2,242000,6.0,-9.0,15.0
VELVETFRUIT_EXTRACT,sell,1,245600,6,245700,2.5,-3.5,5.0
HYDROGEL_PACK,sell,1,248200,5,248300,9.0,-9.0,17.0
VEV_4000,buy,1,250600,2,250700,10.5,-10.5,22.0
VEV_4000,sell,1,251600,3,251700,9.5,-10.0,21.0
VELVETFRUIT_EXTRACT,sell,1,252400,6,252500,-0.5,-4.5,5.0
HYDROGEL_PACK,buy,1,252500,3,252600,8.0,-8.0,18.0
VELVETFRUIT_EXTRACT,sell,1,253900,3,254000,3.5,-2.5,5.0
HYDROGEL_PACK,sell,1,254700,5,254800,8.0,-7.0,16.0
HYDROGEL_PACK,buy,1,255000,4,255100,5.0,-14.0,15.0
HYDROGEL_PACK,buy,1,255300,2,255400,5.0,-12.0,16.0
HYDROGEL_PACK,buy,1,255400,3,255500,4.0,-7.0,13.0
HYDROGEL_PACK,sell,1,262300,4,262400,7.0,-11.0,18.0
HYDROGEL_PACK,sell,1,262800,2,262900,3.0,-10.0,12.0
VEV_4000,sell,1,263100,3,263200,11.5,-9.5,22.0
VELVETFRUIT_EXTRACT,sell,1,263900,7,264000,3.5,-2.5,7.0
VELVETFRUIT_EXTRACT,buy,1,265600,5,265700,1.5,3.5,-1.0
VELVETFRUIT_EXTRACT,sell,1,265800,7,265900,0.5,-3.0,4.0
VEV_4000,buy,1,265900,1,266000,12.5,-10.5,22.0
HYDROGEL_PACK,sell,1,266300,4,266400,10.0,-3.0,13.0
HYDROGEL_PACK,sell,1,266600,4,266700,5.0,-10.0,14.0
VELVETFRUIT_EXTRACT,sell,1,267400,3,267500,4.0,-1.5,6.0
VEV_4000,sell,1,268300,2,268400,10.5,-11.5,21.0
VELVETFRUIT_EXTRACT,sell,1,268700,5,268800,3.5,-5.5,7.0
HYDROGEL_PACK,buy,1,269300,3,269400,6.0,-6.0,14.0
VEV_4000,buy,1,271600,1,271700,11.0,-11.5,23.0
HYDROGEL_PACK,sell,1,274600,2,274700,8.0,-9.0,16.0
HYDROGEL_PACK,sell,1,275700,2,275800,11.0,-11.0,18.0
VELVETFRUIT_EXTRACT,sell,1,276500,7,276600,2.5,-1.5,5.0
VELVETFRUIT_EXTRACT,sell,1,277400,4,277500,2.5,-3.5,6.0
VELVETFRUIT_EXTRACT,sell,1,278300,5,278400,2.5,-3.0,6.0
HYDROGEL_PACK,sell,1,280500,2,280600,9.0,-10.0,19.0
HYDROGEL_PACK,buy,1,281100,3,281200,10.0,-3.0,14.0
VEV_4000,sell,1,281500,1,281600,10.5,-9.5,20.0
HYDROGEL_PACK,sell,1,282200,2,282300,7.0,-6.0,14.0
VELVETFRUIT_EXTRACT,buy,1,282200,7,282300,0.5,0.5,1.0
VELVETFRUIT_EXTRACT,sell,1,283400,7,283500,2.5,-3.5,5.0
HYDROGEL_PACK,buy,1,285400,5,285500,9.0,-6.0,15.0
VEV_4000,sell,1,286600,2,286700,11.5,-11.5,21.0
VEV_4000,sell,1,288800,1,288900,9.5,-11.5,21.0
VELVETFRUIT_EXTRACT,sell,1,289100,5,289200,4.0,-0.5,6.0
HYDROGEL_PACK,sell,1,290900,3,291000,7.0,-6.0,17.0
HYDROGEL_PACK,buy,1,292800,6,292900,11.0,-9.0,17.0
HYDROGEL_PACK,sell,1,295000,5,295100,8.5,-8.0,17.0
HYDROGEL_PACK,sell,1,297100,3,297200,8.5,-10.0,17.0
VELVETFRUIT_EXTRACT,sell,1,297400,4,297500,2.5,-1.5,5.0
VEV_4000,buy,1,297500,1,297600,9.5,-11.5,21.0
HYDROGEL_PACK,sell,1,301100,3,301200,7.0,-5.0,15.0
HYDROGEL_PACK,sell,1,301300,2,301400,13.0,-5.5,19.0
HYDROGEL_PACK,buy,1,302400,6,302500,9.0,-7.0,17.0
HYDROGEL_PACK,buy,1,304200,2,304300,9.0,-5.0,16.0
HYDROGEL_PACK,sell,1,306500,5,306600,7.5,-7.0,14.0
VEV_4000,sell,1,307100,1,307200,7.0,-11.5,19.0
HYDROGEL_PACK,buy,1,308000,3,308100,12.0,-8.0,18.0
HYDROGEL_PACK,buy,1,308100,4,308200,8.0,-12.0,18.0
VEV_5400,buy,1,310100,5,310200,0.0,-1.0,1.0
VELVETFRUIT_EXTRACT,buy,1,310600,3,310700,2.5,-2.5,4.0
VELVETFRUIT_EXTRACT,buy,1,314500,4,314600,1.5,-5.0,4.0
HYDROGEL_PACK,sell,1,316200,5,316300,9.0,-12.0,19.0
HYDROGEL_PACK,buy,1,317100,4,317200,11.0,-5.5,18.0
HYDROGEL_PACK,sell,1,318300,4,318400,9.0,-6.0,17.0
VELVETFRUIT_EXTRACT,sell,1,318900,4,319000,4.5,-1.5,5.0
VELVETFRUIT_EXTRACT,sell,1,321900,7,322000,-0.5,-2.5,3.0
VEV_5200,buy,1,322600,4,322700,0.5,-1.5,3.0
HYDROGEL_PACK,sell,1,323300,5,323400,10.0,-2.0,17.0
VEV_4000,sell,1,323300,3,323400,9.5,-11.0,20.0
VELVETFRUIT_EXTRACT,sell,1,324100,7,324200,2.5,-1.5,5.0
HYDROGEL_PACK,sell,1,324600,6,324700,5.0,-11.0,14.0
VEV_4000,buy,1,325300,2,325400,12.5,-9.5,22.0
VEV_4000,sell,1,326300,1,326400,10.5,-11.5,22.0
HYDROGEL_PACK,buy,1,327600,5,327700,7.0,-10.0,18.0
HYDROGEL_PACK,sell,1,327700,6,327800,10.0,-8.5,19.0
VEV_4000,buy,1,328000,1,328100,9.5,-11.5,20.0
VEV_4000,buy,1,328400,1,328500,10.5,-10.5,22.0
VELVETFRUIT_EXTRACT,buy,1,328500,4,328600,2.5,-2.5,4.0
VEV_4000,buy,1,331400,1,331500,8.5,-11.0,20.0
VEV_4000,buy,1,334900,1,335000,12.5,-10.5,22.0
HYDROGEL_PACK,buy,1,335300,5,335400,10.0,-9.0,15.0
HYDROGEL_PACK,sell,1,335500,4,335600,15.0,-5.0,20.0
HYDROGEL_PACK,buy,1,338100,3,338200,8.0,-9.0,16.0
HYDROGEL_PACK,buy,1,339500,3,339600,11.0,-8.0,18.0
VEV_4000,sell,1,340100,2,340200,8.5,-12.0,21.0
VELVETFRUIT_EXTRACT,buy,1,342000,6,342100,2.5,-2.5,5.0
HYDROGEL_PACK,buy,1,342400,5,342500,13.0,-7.0,20.0
HYDROGEL_PACK,sell,1,343100,2,343200,9.0,-8.0,16.0
HYDROGEL_PACK,buy,1,344000,5,344100,10.0,-5.0,16.0
HYDROGEL_PACK,sell,1,345700,6,345800,7.0,-7.0,16.0
VELVETFRUIT_EXTRACT,buy,1,345700,7,345800,1.5,-1.5,4.0
HYDROGEL_PACK,sell,1,345900,3,346000,9.5,-10.0,18.0
HYDROGEL_PACK,buy,1,348500,5,348600,11.0,-7.0,18.0
VEV_4000,sell,1,350900,3,351000,10.5,-11.5,22.0
HYDROGEL_PACK,sell,1,351000,3,351100,13.0,-3.0,17.0
VEV_4000,buy,1,356800,2,356900,11.5,-12.5,21.0
HYDROGEL_PACK,sell,1,357100,6,357200,7.0,-10.0,16.0
VELVETFRUIT_EXTRACT,buy,1,358100,6,358200,2.5,-2.0,5.0
VEV_4000,buy,1,358300,3,358400,10.5,-10.5,21.0
HYDROGEL_PACK,sell,1,358500,6,358600,5.0,-6.0,14.0
HYDROGEL_PACK,buy,1,360600,2,360700,5.0,-11.0,16.0
HYDROGEL_PACK,buy,1,362700,3,362800,11.0,-2.0,14.0
HYDROGEL_PACK,sell,1,363100,4,363200,11.0,-8.0,18.0
HYDROGEL_PACK,sell,1,364800,5,364900,4.0,-8.0,13.0
VELVETFRUIT_EXTRACT,buy,1,364900,7,365000,1.5,-2.5,4.0
VEV_4000,buy,1,365000,2,365100,10.5,-9.5,21.0
VELVETFRUIT_EXTRACT,buy,1,365600,8,365700,2.5,-1.5,4.0
HYDROGEL_PACK,sell,1,368500,6,368600,10.0,-9.0,18.0
HYDROGEL_PACK,buy,1,371400,2,371500,4.0,-9.0,14.0
HYDROGEL_PACK,sell,1,373400,3,373500,6.0,-6.0,14.0
HYDROGEL_PACK,buy,1,373700,5,373800,9.0,-6.0,14.0
VELVETFRUIT_EXTRACT,buy,1,374100,6,374200,1.5,-2.5,5.0
VELVETFRUIT_EXTRACT,buy,1,374400,4,374500,1.0,-3.5,4.0
VEV_4000,buy,1,374800,3,374900,9.5,-9.5,20.0
HYDROGEL_PACK,buy,1,375100,2,375200,12.0,-10.0,19.0
VEV_4000,buy,1,376300,2,376400,9.5,-17.0,22.0
VEV_5300,buy,1,377900,2,378000,1.0,-1.0,2.0
HYDROGEL_PACK,sell,1,380100,6,380200,9.0,-6.0,18.0
HYDROGEL_PACK,sell,1,380700,4,380800,7.0,-9.0,17.0
VELVETFRUIT_EXTRACT,sell,1,381700,8,381800,4.0,-2.0,6.0
HYDROGEL_PACK,sell,1,383300,5,383400,8.0,-13.0,18.0
HYDROGEL_PACK,sell,1,383600,4,383700,9.0,-7.0,16.0
VELVETFRUIT_EXTRACT,buy,1,383700,7,383800,4.5,-1.5,6.0
VEV_4000,buy,1,384200,1,384300,9.5,-9.5,19.0
VEV_4000,buy,1,384500,3,384600,9.5,-9.5,21.0
HYDROGEL_PACK,sell,1,385800,6,385900,9.5,-15.0,20.0
VELVETFRUIT_EXTRACT,buy,1,385900,3,386000,0.5,-3.0,4.0
VELVETFRUIT_EXTRACT,buy,1,386000,8,386100,2.0,-3.5,4.0
VEV_4000,sell,1,386800,2,386900,12.5,-10.5,22.0
VEV_4000,buy,1,390800,3,390900,11.5,-11.5,23.0
VELVETFRUIT_EXTRACT,buy,1,392300,5,392400,1.5,-2.5,5.0
VELVETFRUIT_EXTRACT,buy,1,394700,8,394800,3.5,-2.0,6.0
HYDROGEL_PACK,buy,1,394800,5,394900,8.0,-10.0,16.0
HYDROGEL_PACK,sell,1,396300,4,396400,6.0,-6.0,13.0
HYDROGEL_PACK,sell,1,397800,4,397900,10.0,-2.0,15.0
VELVETFRUIT_EXTRACT,buy,1,398400,6,398500,3.5,-2.5,6.0
VEV_4000,buy,1,399900,1,400000,11.5,-10.5,21.0
VELVETFRUIT_EXTRACT,buy,1,400100,8,400200,3.5,-0.5,4.0
VELVETFRUIT_EXTRACT,buy,1,402400,6,402500,1.5,-2.5,4.0
HYDROGEL_PACK,buy,1,403600,6,403700,9.0,-7.0,17.0
VELVETFRUIT_EXTRACT,sell,1,404200,4,404300,3.0,-1.5,6.0
VELVETFRUIT_EXTRACT,sell,1,406400,5,406500,2.5,-4.5,6.0
HYDROGEL_PACK,buy,1,409300,6,409400,13.0,-5.0,17.0
VELVETFRUIT_EXTRACT,sell,1,410600,6,410700,4.5,-3.5,7.0
HYDROGEL_PACK,sell,1,411000,4,411100,10.0,-9.0,18.0
HYDROGEL_PACK,sell,1,411400,3,411500,8.0,-5.5,15.0
HYDROGEL_PACK,sell,1,412300,2,412400,8.0,-10.0,17.0
HYDROGEL_PACK,sell,1,414000,2,414100,13.5,-8.0,20.0
HYDROGEL_PACK,buy,1,414400,3,414500,7.0,-13.0,18.0
HYDROGEL_PACK,buy,1,414800,3,414900,9.0,-7.0,17.0
VELVETFRUIT_EXTRACT,sell,1,415700,3,415800,0.5,-3.5,4.0
VEV_4000,sell,1,419700,1,419800,12.5,-10.0,23.0
HYDROGEL_PACK,buy,1,421500,3,421600,9.0,-9.0,17.0
VELVETFRUIT_EXTRACT,sell,1,424500,7,424600,2.0,-2.5,5.0
VEV_4000,sell,1,425400,1,425500,11.0,-11.5,22.0
VELVETFRUIT_EXTRACT,buy,1,426800,8,426900,2.5,-0.5,4.0
HYDROGEL_PACK,buy,1,427000,2,427100,8.0,-12.0,17.0
VELVETFRUIT_EXTRACT,sell,1,427600,8,427700,4.5,-0.5,5.0
VELVETFRUIT_EXTRACT,sell,1,430200,3,430300,1.5,-4.5,6.0
VELVETFRUIT_EXTRACT,sell,1,431700,4,431800,2.5,-3.5,5.0
VELVETFRUIT_EXTRACT,sell,1,432100,3,432200,3.5,-3.0,7.0
HYDROGEL_PACK,sell,1,436200,5,436300,10.0,-7.5,16.0
HYDROGEL_PACK,sell,1,440300,2,440400,8.0,-1.5,9.0
HYDROGEL_PACK,buy,1,441300,2,441400,11.0,-5.0,19.0
HYDROGEL_PACK,buy,1,443600,2,443700,5.5,-6.5,16.0
VEV_4000,buy,1,444000,3,444100,10.5,-10.5,21.0
VELVETFRUIT_EXTRACT,sell,1,445900,4,446000,1.5,-3.5,4.0
VEV_4000,buy,1,448700,3,448800,10.5,-13.5,22.0
HYDROGEL_PACK,buy,1,450000,5,450100,8.0,-10.0,18.0
VEV_4000,sell,1,455400,1,455500,9.5,-6.0,21.0
HYDROGEL_PACK,buy,1,457700,4,457800,6.0,-7.0,16.0
VELVETFRUIT_EXTRACT,sell,1,458400,3,458500,3.5,-3.5,6.0
VEV_4000,buy,1,459900,2,460000,10.5,-9.5,21.0
VEV_5400,buy,1,460400,3,460500,0.0,-0.5,1.0
