day,timestamp,product,other_buyer,other_seller,price,quantity
3,126600,HYDROGEL_PACK,Mark 14,Mark 38,10020.0,6
3,128700,VEV_5300,Mark 14,Mark 22,33.0,3
3,142700,HYDROGEL_PACK,Mark 38,Mark 14,10015.0,6
3,155400,VEV_4000,Mark 38,Mark 22,1239.0,2
3,155400,VEV_4500,Mark 38,Mark 22,739.0,2
3,155400,VEV_5000,Mark 38,Mark 22,242.0,2
3,155400,VEV_5100,Mark 38,Mark 22,151.0,2
3,155400,VEV_5200,Mark 38,Mark 22,79.0,2
3,231300,HYDROGEL_PACK,Mark 14,Mark 38,9968.0,3
3,253400,VEV_5200,Mark 14,Mark 22,80.0,5
3,269000,VEV_5200,Mark 14,Mark 22,76.0,2
3,269000,VEV_5300,Mark 14,Mark 22,32.0,2
3,320200,VEV_5400,Mark 14,Mark 22,7.0,4
3,328700,VEV_5200,Mark 14,Mark 22,72.0,3
3,329200,VEV_5200,Mark 14,Mark 22,73.0,5
3,329200,VEV_5300,Mark 14,Mark 22,30.0,5
3,346200,HYDROGEL_PACK,Mark 14,Mark 38,10021.0,2
3,350300,VEV_5200,Mark 14,Mark 22,68.0,4
3,369800,VEV_5200,Mark 14,Mark 22,70.0,5
3,380200,HYDROGEL_PACK,Mark 38,Mark 14,10034.0,6
3,396000,VEV_5200,Mark 14,Mark 22,85.0,4
3,428900,VEV_5200,Mark 14,Mark 22,65.0,5
3,451300,HYDROGEL_PACK,Mark 38,Mark 14,10053.0,6
3,451300,VEV_5300,Mark 14,Mark 22,23.0,3
3,498100,HYDROGEL_PACK,Mark 14,Mark 38,10037.0,5
3,498100,VEV_5500,Mark 14,Mark 22,1.0,5
3,516400,HYDROGEL_PACK,Mark 38,Mark 14,10051.0,3
3,529600,VEV_5300,Mark 14,Mark 22,20.0,2
3,534000,VEV_4000,Mark 38,Mark 14,1203.0,2
3,555100,VEV_5200,Mark 14,Mark 22,67.0,5
3,578300,HYDROGEL_PACK,Mark 38,Mark 14,9993.0,5
3,622500,VEV_5200,Mark 14,Mark 22,66.0,2
3,624200,VEV_5200,Mark 14,Mark 22,67.0,5
3,634500,VEV_5300,Mark 14,Mark 22,29.0,2
3,642500,VEV_5400,Mark 14,Mark 22,8.0,3
3,699400,HYDROGEL_PACK,Mark 14,Mark 38,9962.0,4
3,699400,VEV_5200,Mark 14,Mark 22,80.0,4
3,700300,VEV_5300,Mark 14,Mark 22,32.0,4
3,705400,VEV_5200,Mark 14,Mark 22,80.0,2
3,728500,VEV_5300,Mark 14,Mark 22,36.0,2
3,759800,HYDROGEL_PACK,Mark 38,Mark 14,9980.0,6
3,777600,VEV_5400,Mark 14,Mark 22,6.0,5
3,785100,VELVETFRUIT_EXTRACT,Mark 55,Mark 14,5245.0,5
3,807400,VELVETFRUIT_EXTRACT,Mark 55,Mark 14,5262.0,5
3,826200,VEV_5200,Mark 14,Mark 22,81.0,5
3,834400,VEV_5200,Mark 14,Mark 22,75.0,5
3,839800,VEV_5200,Mark 14,Mark 22,76.0,3
3,877600,VELVETFRUIT_EXTRACT,Mark 55,Mark 14,5240.0,7
3,877600,VEV_5200,Mark 14,Mark 22,73.0,5
3,878300,VEV_5200,Mark 14,Mark 22,72.0,3
3,903300,HYDROGEL_PACK,Mark 14,Mark 38,9945.0,6
3,943900,VELVETFRUIT_EXTRACT,Mark 55,Mark 14,5270.0,5
3,943900,VEV_5300,Mark 14,Mark 22,39.0,5
3,943900,VEV_5400,Mark 14,Mark 22,10.0,5
3,983300,VEV_5300,Mark 14,Mark 22,30.0,3
