day,product,side,trades,total_qty,avg_qty,avg_signed_mid_edge,avg_spread,avg_spread_pctile,trade_mo_t10_mean,trade_mo_t10_median,mid_mo_t10_mean,win_t10,trade_mo_t50_mean,trade_mo_t50_median,mid_mo_t50_mean,win_t50,trade_mo_t200_mean,trade_mo_t200_median,mid_mo_t200_mean,win_t200,trade_mo_t500_mean,trade_mo_t500_median,mid_mo_t500_mean,win_t500
2,VEV_5400,buy,78,276,3.5384615384615383,0.6282051282051282,1.2564102564102564,0.7559538461538461,0.5961538461538461,0.5,-0.03205128205128205,0.8974358974358975,0.5961538461538461,0.5,-0.03205128205128205,0.8974358974358975,0.5833333333333334,0.5,-0.04487179487179487,0.8589743589743589,0.6025641025641025,0.5,-0.02564102564102564,0.8205128205128205
2,VEV_5500,buy,91,324,3.5604395604395602,0.5439560439560439,1.0879120879120878,0.894289010989011,0.521978021978022,0.5,-0.02197802197802198,0.978021978021978,0.521978021978022,0.5,-0.02197802197802198,0.978021978021978,0.4945054945054945,0.5,-0.04945054945054945,0.9560439560439561,0.5054945054945055,0.5,-0.038461538461538464,0.9340659340659341
2,VEV_6000,buy,95,337,3.5473684210526315,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0
2,VEV_6500,buy,95,337,3.5473684210526315,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0
3,VELVETFRUIT_EXTRACT,buy,93,486,5.225806451612903,2.6774193548387095,5.354838709677419,0.8871612903225806,2.849462365591398,2.5,0.17204301075268819,0.989247311827957,2.849462365591398,2.5,0.17204301075268819,0.989247311827957,2.8870967741935485,2.5,0.20967741935483872,0.946236559139785,2.9838709677419355,2.5,0.3064516129032258,0.8602150537634409
3,VELVETFRUIT_EXTRACT,sell,71,389,5.47887323943662,2.73943661971831,5.47887323943662,0.9032098591549296,2.816901408450704,2.5,0.07746478873239436,1.0,2.816901408450704,2.5,0.07746478873239436,1.0,2.492957746478873,2.5,-0.24647887323943662,0.971830985915493,2.492957746478873,2.5,-0.24647887323943662,0.8309859154929577
3,VEV_5200,buy,11,34,3.090909090909091,1.0,2.0,0.4615,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0909090909090908,1.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,1.0,-0.18181818181818182,0.8181818181818182
3,VEV_5300,buy,69,222,3.217391304347826,0.8333333333333334,1.6666666666666667,0.7434999999999999,0.7536231884057971,1.0,-0.07971014492753623,0.8695652173913043,0.7536231884057971,1.0,-0.07971014492753623,0.8695652173913043,0.7391304347826086,1.0,-0.09420289855072464,0.8115942028985508,0.7028985507246377,1.0,-0.13043478260869565,0.6666666666666666
3,VEV_5400,buy,109,368,3.376146788990826,0.5596330275229358,1.1192660550458715,0.8260550458715595,0.536697247706422,0.5,-0.022935779816513763,0.963302752293578,0.536697247706422,0.5,-0.022935779816513763,0.963302752293578,0.5458715596330275,0.5,-0.013761467889908258,0.9541284403669725,0.536697247706422,0.5,-0.022935779816513763,0.908256880733945
3,VEV_5500,buy,119,408,3.4285714285714284,0.5042016806722689,1.0084033613445378,0.9427848739495799,0.5042016806722689,0.5,0.0,1.0,0.5042016806722689,0.5,0.0,1.0,0.5126050420168067,0.5,0.008403361344537815,1.0,0.5,0.5,-0.004201680672268907,0.957983193277311
3,VEV_6000,buy,124,423,3.411290322580645,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0
3,VEV_6500,buy,124,423,3.411290322580645,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0
