group,product,quote_mode,side,horizon,days,quote_ticks,trade_fill_count,book_or_trade_fill_count,trade_fill_rate,book_or_trade_fill_rate,mean_edge_if_filled,mean_cross_liq_edge_if_filled,mean_spread_capture_if_filled,mean_adverse_selection_if_filled,ev_per_quote,cross_liq_ev_per_quote,positive_edge_days,positive_cross_liq_days,min_day_edge_if_filled,min_day_cross_liq_edge_if_filled,min_day_ev_per_quote,cap10_edge_per_full_inventory,cap10_cross_liq_edge_per_full_inventory
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,one_tick_inside,buy,100,3,29700,15732,25204,0.5296969696969697,0.8486195286195286,-33.999078311721334,-41.25038138825324,6.274949148232901,-40.27402745995423,-18.009208754208753,-21.85020202020202,0,0,-42.99265813253012,-50.01355421686747,-23.068383838383838,-339.99078311721337,-412.50381388253237
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,one_tick_inside,buy,500,3,28500,22315,26238,0.7829824561403509,0.9206315789473685,15.545978041676003,8.288191799238179,6.256016132646202,9.2899619090298,12.17222807017544,6.489508771929825,2,2,-32.22227972570837,-39.23068961055764,-26.21536842105263,155.45978041676003,82.88191799238179
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,one_tick_inside,sell,1,3,29997,244,4027,0.008134146748008135,0.13424675800913424,-3.94672131147541,-11.21311475409836,6.223360655737705,-10.170081967213115,-0.032103210321032104,-0.09120912091209121,0,0,-5.791666666666667,-13.761904761904763,-0.048654865486548654,-39.4672131147541,-112.13114754098359
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,one_tick_inside,sell,5,3,29985,1387,13884,0.04625646156411539,0.46303151575787893,-11.23323720259553,-18.5126171593367,6.222422494592646,-17.455659697188175,-0.5196098049024512,-0.856328164082041,0,0,-13.918259023354565,-21.861995753715497,-0.6558779389694848,-112.33237202595531,-185.126171593367
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,one_tick_inside,sell,20,3,29940,5808,21536,0.1939879759519038,0.7193052772211089,-25.042957988980717,-32.33643250688705,6.25034435261708,-31.293302341597798,-4.858032732130929,-6.272879091516366,0,0,-28.39236641221374,-36.361832061068704,-5.590280561122245,-250.42957988980717,-323.36432506887047
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,one_tick_inside,sell,100,3,29700,18117,26289,0.61,0.8851515151515151,-52.08580338908208,-59.37180548655959,6.2448529005906055,-58.33065628967268,-31.772340067340068,-36.21680134680135,0,0,-58.8171229382758,-65.65907158646489,-34.93974747474748,-520.8580338908208,-593.7180548655958
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,one_tick_inside,sell,500,3,28500,24531,27338,0.8607368421052631,0.9592280701754387,-116.45937792996617,-123.76543964779259,6.232073702661938,-122.6914516326281,-100.24087719298245,-106.52947368421053,0,0,-154.0159467604219,-160.87857860371673,-129.114,-1164.5937792996617,-1237.654396477926
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,book_mid,buy,1,3,29997,375,8187,0.0125012501250125,0.2729272927292729,-7.470666666666666,-14.736,0.2,-7.6706666666666665,-0.09339267260059339,-0.1842184218421842,0,0,-8.729323308270677,-16.62406015037594,-0.11611161116111611,-74.70666666666666,-147.36
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,book_mid,buy,5,3,29985,1767,18029,0.05892946473236618,0.6012673003168251,-13.237691001697792,-20.49632144878325,0.2037351443123939,-13.441426146010187,-0.7800900450225112,-1.207837251959313,0,0,-13.700164744645798,-21.604612850082372,-0.832016008004002,-132.37691001697792,-204.9632144878325
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,book_mid,buy,20,3,29940,5991,23403,0.2001002004008016,0.7816633266533066,-25.71841094975797,-32.977466199298945,0.20664329828075448,-25.925054248038723,-5.14625918503674,-6.598797595190381,0,0,-28.902199904351985,-36.78479196556671,-6.055561122244489,-257.1841094975797,-329.7746619929894
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,book_mid,buy,100,3,29700,16859,26508,0.5676430976430976,0.8925252525252525,-34.742541075983155,-41.994542974079124,0.2011981730826265,-34.94373924906578,-19.721363636363638,-23.83791245791246,0,0,-42.72554013701036,-49.74951695064114,-24.569343434343434,-347.42541075983155,-419.94542974079127
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,book_mid,buy,500,3,28500,22863,26893,0.8022105263157895,0.9436140350877193,15.06705156803569,7.8072431439443655,0.19078861041858025,14.876262957617111,12.086947368421052,6.263052631578947,2,2,-33.391596851992894,-40.4012439705509,-27.690421052631578,150.6705156803569,78.07243143944365
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,book_mid,sell,1,3,29997,373,8412,0.012434576791012435,0.2804280428042804,-7.006702412868632,-14.276139410187668,0.2158176943699732,-7.222520107238606,-0.08712537920458713,-0.1775177517751775,0,0,-9.024793388429751,-17.016528925619834,-0.10921092109210921,-70.06702412868633,-142.76139410187668
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,book_mid,sell,5,3,29985,1852,18202,0.06176421544105386,0.607036851759213,-13.093952483801296,-20.36501079913607,0.2032937365010799,-13.297246220302377,-0.8087377021844255,-1.2578289144572286,0,0,-16.496747967479674,-24.463414634146343,-1.0150575287643822,-130.93952483801297,-203.6501079913607
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,book_mid,sell,20,3,29940,6700,23971,0.2237808951235805,0.8006346025384101,-26.824701492537315,-34.11507462686567,0.20365671641791044,-27.028358208955225,-6.002855711422845,-7.6343019372077485,0,0,-30.168005354752342,-38.13743864346274,-6.7741983967935875,-268.24701492537315,-341.1507462686567
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,book_mid,sell,100,3,29700,19192,27333,0.6461952861952862,0.9203030303030303,-53.60634639433097,-60.88953730721134,0.20881096290120885,-53.81515735723218,-34.64016835016835,-39.346531986531986,0,0,-59.59487055796752,-66.43495738864769,-37.43641414141414,-536.0634639433097,-608.8953730721134
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,book_mid,sell,500,3,28500,25015,27681,0.877719298245614,0.9712631578947368,-116.69894063561863,-124.00311812912253,0.1969018588846692,-116.8958424945033,-102.42891228070175,-108.83992982456141,0,0,-154.28438501355683,-161.1464136061129,-131.77510526315788,-1166.9894063561862,-1240.0311812912253
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,wall_mid,buy,1,3,29997,374,8142,0.012467913458012467,0.27142714271427143,-7.31951871657754,-14.582887700534759,0.2606951871657754,-7.580213903743315,-0.09125912591259126,-0.18181818181818182,0,0,-8.613636363636363,-16.507575757575758,-0.11371137113711371,-73.1951871657754,-145.82887700534758
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,wall_mid,buy,5,3,29985,1761,18005,0.05872936468234117,0.600466900116725,-13.201022146507666,-20.457126632595116,0.2566723452583759,-13.457694491766041,-0.775287643821911,-1.2014340503585126,0,0,-13.62106135986733,-21.529021558872305,-0.8217608804402201,-132.01022146507665,-204.57126632595117
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,wall_mid,buy,20,3,29940,5985,23395,0.1998997995991984,0.7813961255845023,-25.649456975772765,-32.91010860484545,0.25179615705931496,-25.901253132832082,-5.127321309285237,-6.57872411489646,0,0,-28.81306845380565,-36.69746290090953,-6.031112224448898,-256.4945697577276,-329.1010860484545
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,wall_mid,buy,100,3,29700,16840,26501,0.567003367003367,0.8922895622895622,-34.848426365795724,-42.10100950118765,0.24533847980997625,-35.0937648456057,-19.759175084175084,-23.871414141414142,0,0,-42.89343541006688,-49.918162618796195,-24.618232323232323,-348.48426365795723,-421.0100950118765
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,wall_mid,buy,500,3,28500,22854,26894,0.8018947368421052,0.9436491228070175,15.128948980484816,7.869038242758379,0.24085499256147722,14.88809398792334,12.13182456140351,6.310140350877193,2,2,-33.55565438373571,-40.565819567979666,-27.79821052631579,151.28948980484816,78.6903824275838
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,wall_mid,sell,1,3,29997,372,8385,0.012401240124012402,0.27952795279527953,-6.974462365591398,-14.24731182795699,0.1868279569892473,-7.161290322580645,-0.08649198253158649,-0.1766843351001767,0,0,-8.958677685950413,-16.950413223140497,-0.10841084108410841,-69.74462365591398,-142.4731182795699
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,wall_mid,sell,5,3,29985,1849,18179,0.061664165416041354,0.6062698015674504,-13.09599783666847,-20.36830719307734,0.22796106003244998,-13.323958896700919,-0.8075537768884442,-1.255994663998666,0,0,-16.44390243902439,-24.411382113821137,-1.0118059029514757,-130.9599783666847,-203.6830719307734
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,wall_mid,sell,20,3,29940,6695,23944,0.22361389445557783,0.7997327989311958,-26.762733383121734,-34.05392083644511,0.23980582524271846,-27.00253920836445,-5.984519038076153,-7.614929859719439,0,0,-30.066458519179303,-38.03612845673506,-6.75440881763527,-267.62733383121736,-340.5392083644511
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,wall_mid,sell,100,3,29700,19196,27318,0.6463299663299663,0.9197979797979798,-53.48833090227131,-60.771514898937276,0.2371066888935195,-53.72543759116483,-34.57111111111111,-39.27845117845118,0,0,-59.5544928468092,-66.39430959652789,-37.423080808080805,-534.8833090227131,-607.7151489893728
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,wall_mid,sell,500,3,28500,25008,27682,0.8774736842105263,0.9712982456140351,-116.73890355086372,-124.04318618042227,0.23066618682021753,-116.96956973768394,-102.43531578947369,-108.84463157894737,0,0,-154.6458872857319,-161.50795412504624,-132.0024736842105,-1167.3890355086373,-1240.4318618042228
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,residual_fair,buy,1,3,29997,425,10767,0.014168083475014168,0.35893589358935896,-9.034117647058823,-16.16941176470588,-2.8847058823529412,-6.149411764705882,-0.12799613294662798,-0.2290895756242291,0,0,-10.90251572327044,-17.748427672955973,-0.17336733673367336,-90.34117647058822,-161.69411764705882
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,residual_fair,buy,5,3,29985,1937,19328,0.06459896614974153,0.6445889611472403,-14.632421270005162,-21.770779556014457,-2.709860609189468,-11.922560660815694,-0.9452392863098216,-1.406369851592463,0,0,-16.056081081081082,-22.87837837837838,-1.188744372186093,-146.32421270005162,-217.70779556014458
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,residual_fair,buy,20,3,29940,6278,24165,0.20968603874415498,0.8071142284569138,-26.12360624402676,-33.31841350748646,-2.0617234788149092,-24.061882765211852,-5.477755511022044,-6.986406145624582,0,0,-29.27352297592998,-36.30109409190372,-6.702404809619239,-261.2360624402676,-333.1841350748646
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,residual_fair,buy,100,3,29700,17219,26850,0.5797643097643098,0.9040404040404041,-35.28131714966026,-42.50328125907428,-1.663220860677159,-33.6180962889831,-20.454848484848483,-24.641885521885524,0,0,-43.01858523006386,-50.04322908138202,-26.53681818181818,-352.8131714966026,-425.03281259074276
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,residual_fair,buy,500,3,28500,23011,27076,0.8074035087719298,0.9500350877192982,14.5695102342358,7.322106818478119,-1.3537655903698231,15.923275824605623,11.763473684210526,5.911894736842105,2,2,-34.153841364711745,-41.165359232972236,-28.87257894736842,145.69510234235798,73.22106818478119
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,residual_fair,sell,1,3,29997,308,7296,0.010267693436010267,0.24322432243224323,-7.952922077922078,-15.396103896103897,-0.0762987012987013,-7.876623376623376,-0.08165816581658165,-0.15808247491415808,0,0,-13.796774193548387,-21.780645161290323,-0.21387138713871387,-79.52922077922078,-153.96103896103898
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,residual_fair,sell,5,3,29985,1635,16435,0.054527263631815905,0.5481073870268468,-14.231192660550459,-21.64770642201835,0.4883792048929664,-14.719571865443426,-0.7759879939969985,-1.1803901950975488,0,0,-20.0270092226614,-27.998682476943348,-1.5208104052026012,-142.3119266055046,-216.47706422018348
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,residual_fair,sell,20,3,29940,6306,22902,0.21062124248496994,0.7649298597194388,-26.81676181414526,-34.17142404059626,1.3385664446558834,-28.15532825880114,-5.648179692718771,-7.197227788911156,0,0,-32.44579732914376,-40.40102120974077,-8.277254509018036,-268.1676181414526,-341.7142404059626
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,residual_fair,sell,100,3,29700,18613,26774,0.6267003367003366,0.9014814814814814,-54.047171331864824,-61.35475205501531,1.929377316929028,-55.97654864879385,-33.87138047138047,-38.45104377104377,0,0,-58.91680309569877,-66.85101949694895,-39.986060606060605,-540.4717133186482,-613.5475205501531
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,residual_fair,sell,500,3,28500,24760,27430,0.8687719298245614,0.9624561403508772,-118.58059369951535,-125.89474959612278,2.0296647819063005,-120.61025848142165,-103.01949122807018,-109.37382456140351,0,0,-154.3096558678936,-161.17257027606203,-128.8566842105263,-1185.8059369951534,-1258.9474959612278
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,best_touch,buy,1,3,29997,250,3493,0.008334166750008334,0.11644497783111644,-3.03,-9.52,6.524,-9.554,-0.025252525252525252,-0.07934126746007934,0,0,-3.981707317073171,-10.524390243902438,-0.032653265326532656,-30.299999999999997,-95.19999999999999
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,best_touch,buy,5,3,29985,1369,13087,0.04565616141404035,0.4364515591128898,-9.565741417092768,-16.088385682980277,6.492695398100803,-16.058436815193573,-0.43673503418375853,-0.7345339336334834,0,0,-11.127136752136753,-17.5982905982906,-0.5210105052526263,-95.65741417092768,-160.88385682980277
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,best_touch,buy,20,3,29940,5135,20796,0.17150968603874414,0.6945891783567134,-19.33232716650438,-25.866601752677703,6.525608568646543,-25.857935735150924,-3.315681362725451,-4.436372745490982,0,0,-21.87220630372493,-28.36561604584527,-3.8243486973947896,-193.32327166504382,-258.666017526777
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,best_touch,buy,100,3,29700,16934,25494,0.5701683501683502,0.8583838383838384,-38.94493327034369,-45.457718200070865,6.535520255108066,-45.48045352545175,-22.20516835016835,-25.918552188552187,0,0,-45.18594558504423,-51.64363211483892,-27.344343434343433,-389.4493327034369,-454.57718200070866
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,best_touch,buy,500,3,28500,23543,26835,0.8260701754385965,0.9415789473684211,-32.30979484347789,-38.82096589219726,6.534596270653697,-38.84439111413159,-26.690157894736842,-32.06884210526315,0,0,-69.15932080924856,-75.60910404624278,-60.45252631578948,-323.0979484347789,-388.20965892197256
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,best_touch,sell,1,3,29997,219,3491,0.007300730073007301,0.11637830449711638,-2.8310502283105023,-9.397260273972602,6.465753424657534,-9.296803652968036,-0.02066873354002067,-0.06860686068606861,0,0,-3.028985507246377,-9.579710144927537,-0.021002100210021003,-28.310502283105023,-93.97260273972603
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,best_touch,sell,5,3,29985,1272,13239,0.04242121060530265,0.4415207603801901,-9.71619496855346,-16.27358490566038,6.498427672955975,-16.214622641509433,-0.41217275304318823,-0.6903451725862931,0,0,-11.321428571428571,-18.004608294930875,-0.49159579789894947,-97.1619496855346,-162.7358490566038
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,best_touch,sell,20,3,29940,5405,20888,0.18052772211088844,0.6976619906479626,-22.791026827012026,-29.337465309898242,6.498889916743756,-29.289916743755782,-4.114412157648631,-5.2962257849031396,0,0,-25.873854447439353,-32.5622641509434,-4.809218436873747,-227.91026827012024,-293.37465309898244
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,best_touch,sell,100,3,29700,16832,25498,0.5667340067340068,0.8585185185185186,-42.756772813688215,-49.299726711026615,6.504277566539924,-49.261050380228134,-24.23171717171717,-27.93983164983165,0,0,-56.615398105927746,-63.292879691336374,-32.60818181818182,-427.5677281368821,-492.99726711026614
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,best_touch,sell,500,3,28500,24080,26827,0.8449122807017544,0.9412982456140351,-41.117379568106315,-47.65074750830565,6.50531561461794,-47.62269518272425,-34.74057894736842,-40.26070175438596,0,0,-68.29438339438339,-74.96495726495726,-58.87694736842105,-411.17379568106315,-476.5074750830565
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,one_tick_inside,buy,1,3,29997,264,4096,0.0088008800880088,0.13654698803213655,-3.7045454545454546,-10.18939393939394,5.53030303030303,-9.234848484848484,-0.032603260326032606,-0.08967563423008967,0,0,-4.494318181818182,-11.034090909090908,-0.039553955395539554,-37.04545454545455,-101.89393939393939
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,one_tick_inside,buy,5,3,29985,1433,13870,0.04779056194764049,0.4625646156411539,-9.855547801814376,-16.37473831123517,5.497906489881368,-15.353454291695742,-0.47100216775054193,-0.7825579456394864,0,0,-11.318367346938775,-17.791836734693877,-0.5548774387193597,-98.55547801814376,-163.7473831123517
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,one_tick_inside,buy,20,3,29940,5288,21287,0.17661990647962592,0.7109886439545758,-19.43551437216339,-25.971633888048412,5.5260022692889565,-24.961516641452345,-3.432698730794923,-4.587107548430193,0,0,-22.013596004439513,-28.509988901220865,-3.9747995991983966,-194.3551437216339,-259.7163388804841
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,one_tick_inside,buy,100,3,29700,17111,25735,0.5761279461279462,0.8664983164983165,-39.01075331657998,-45.523464438080765,5.534860615978026,-44.545613932558005,-22.475185185185186,-26.227340067340066,0,0,-45.21583388484447,-51.67389146260754,-27.60449494949495,-390.1075331657998,-455.23464438080765
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,one_tick_inside,buy,500,3,28500,23648,26931,0.8297543859649122,0.9449473684210526,-32.40457966847091,-38.915849120433016,5.534104364005413,-37.93868403247632,-26.887842105263157,-32.29059649122807,0,0,-69.40615624624985,-75.85539421576863,-60.88015789473684,-324.0457966847091,-389.1584912043302
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,one_tick_inside,sell,1,3,29997,241,4077,0.008034136747008034,0.13591359135913592,-3.195020746887967,-9.751037344398341,5.477178423236515,-8.67219917012448,-0.02566923359002567,-0.07834116745007834,0,0,-3.493333333333333,-10.0,-0.026202620262026202,-31.95020746887967,-97.51037344398341
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,one_tick_inside,sell,5,3,29985,1348,13982,0.04495581123895281,0.4662998165749541,-10.206973293768545,-16.753709198813056,5.503338278931751,-15.710311572700297,-0.45886276471569115,-0.753176588294147,0,0,-11.772331154684096,-18.43355119825708,-0.5406203101550775,-102.06973293768544,-167.53709198813056
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,one_tick_inside,sell,20,3,29940,5581,21368,0.1864061456245825,0.7136940547762191,-23.12874036910948,-29.6728184913098,5.500179179358538,-28.628919548468016,-4.311339345357381,-5.531195724782899,0,0,-26.301724137931036,-32.9858934169279,-5.0442384769539075,-231.2874036910948,-296.728184913098
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,one_tick_inside,sell,100,3,29700,17009,25723,0.5726936026936027,0.8660942760942761,-42.877123875595274,-49.41901346346052,5.505144335351873,-48.382268210947146,-24.555454545454545,-28.301952861952863,0,0,-56.80248738911115,-63.47886588971995,-32.98560606060606,-428.7712387559527,-494.1901346346052
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,one_tick_inside,sell,500,3,28500,24164,26934,0.847859649122807,0.9450526315789474,-41.30123323952988,-47.83425757324946,5.505628207250456,-46.80686144678033,-35.017649122807015,-40.556736842105266,0,0,-68.76730862993662,-75.43734763529986,-59.386,-413.0123323952988,-478.3425757324946
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,book_mid,buy,1,3,29997,382,8205,0.012734606794012735,0.2735273527352735,-6.526178010471204,-13.026178010471204,0.3285340314136126,-6.854712041884817,-0.08310831083108311,-0.16588325499216588,0,0,-6.803846153846154,-13.276923076923078,-0.08845884588458845,-65.26178010471205,-130.26178010471205
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,book_mid,buy,5,3,29985,1836,17984,0.06123061530765383,0.5997665499416375,-12.124727668845315,-18.656318082788673,0.315359477124183,-12.4400871459695,-0.742404535601134,-1.142337835584459,0,0,-13.48811410459588,-19.973058637083994,-0.8515257628814408,-121.24727668845316,-186.56318082788673
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,book_mid,buy,20,3,29940,6205,23787,0.20724782899131597,0.7944889779559118,-20.392103142626915,-26.931829170024173,0.3095890410958904,-20.701692183722805,-4.22621910487642,-5.581563126252505,0,0,-22.8292220113852,-29.32732447817837,-4.822044088176352,-203.92103142626917,-269.31829170024173
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,book_mid,buy,100,3,29700,18150,26904,0.6111111111111112,0.9058585858585858,-39.18636363636364,-45.70275482093664,0.3153994490358127,-39.501763085399446,-23.947222222222223,-27.92946127946128,0,0,-45.970852371198994,-52.430282023002995,-29.472424242424243,-391.8636363636364,-457.0275482093664
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,book_mid,buy,500,3,28500,24133,27406,0.8467719298245614,0.9616140350877193,-33.33104048398459,-39.84514979488667,0.32024613599635354,-33.65128661998094,-28.22378947368421,-33.739754385964915,0,0,-71.32132701421801,-77.77156398104266,-63.363368421052634,-333.3104048398459,-398.45149794886674
