group,offset,trades,qty,offset_type
TRANSLATOR,10.0,302,736,price_minus_bid
TRANSLATOR,4.0,26,54,price_minus_bid
TRANSLATOR,5.0,19,54,price_minus_bid
TRANSLATOR,7.0,17,39,price_minus_bid
TRANSLATOR,11.0,15,31,price_minus_bid
TRANSLATOR,3.0,3,9,price_minus_bid
TRANSLATOR,6.0,2,3,price_minus_bid
UV_VISOR,0.0,1875,4625,price_minus_bid
UV_VISOR,14.0,535,1307,price_minus_bid
UV_VISOR,15.0,424,1022,price_minus_bid
UV_VISOR,13.0,393,992,price_minus_bid
UV_VISOR,10.0,132,324,price_minus_bid
UV_VISOR,12.0,88,234,price_minus_bid
UV_VISOR,9.0,78,183,price_minus_bid
UV_VISOR,11.0,51,127,price_minus_bid
UV_VISOR,16.0,38,90,price_minus_bid
UV_VISOR,7.0,20,56,price_minus_bid
UV_VISOR,6.0,14,30,price_minus_bid
UV_VISOR,8.0,10,22,price_minus_bid
UV_VISOR,5.0,5,9,price_minus_bid
UV_VISOR,4.0,2,4,price_minus_bid
GALAXY_SOUNDS,-7.0,745,1861,price_minus_mid
GALAXY_SOUNDS,7.0,698,1657,price_minus_mid
GALAXY_SOUNDS,6.5,520,1326,price_minus_mid
GALAXY_SOUNDS,-6.5,494,1207,price_minus_mid
GALAXY_SOUNDS,-7.5,347,874,price_minus_mid
GALAXY_SOUNDS,7.5,318,803,price_minus_mid
GALAXY_SOUNDS,-8.0,99,247,price_minus_mid
GALAXY_SOUNDS,8.0,97,227,price_minus_mid
GALAXY_SOUNDS,-6.0,88,207,price_minus_mid
GALAXY_SOUNDS,6.0,74,181,price_minus_mid
GALAXY_SOUNDS,-3.5,39,83,price_minus_mid
GALAXY_SOUNDS,3.5,27,61,price_minus_mid
GALAXY_SOUNDS,8.5,24,61,price_minus_mid
GALAXY_SOUNDS,-8.5,20,49,price_minus_mid
GALAXY_SOUNDS,-3.0,17,42,price_minus_mid
GALAXY_SOUNDS,-4.0,16,31,price_minus_mid
GALAXY_SOUNDS,3.0,11,26,price_minus_mid
GALAXY_SOUNDS,4.0,10,28,price_minus_mid
GALAXY_SOUNDS,9.0,9,25,price_minus_mid
GALAXY_SOUNDS,-9.0,7,15,price_minus_mid
GALAXY_SOUNDS,-4.5,2,5,price_minus_mid
GALAXY_SOUNDS,-2.5,1,4,price_minus_mid
GALAXY_SOUNDS,2.5,1,3,price_minus_mid
GALAXY_SOUNDS,4.5,1,2,price_minus_mid
MICROCHIP,4.0,463,930,price_minus_mid
MICROCHIP,-4.0,430,838,price_minus_mid
MICROCHIP,4.5,394,798,price_minus_mid
MICROCHIP,-4.5,380,736,price_minus_mid
MICROCHIP,3.5,170,346,price_minus_mid
MICROCHIP,5.0,135,256,price_minus_mid
MICROCHIP,-3.5,134,253,price_minus_mid
MICROCHIP,6.5,116,235,price_minus_mid
MICROCHIP,-6.5,103,206,price_minus_mid
MICROCHIP,-5.0,99,182,price_minus_mid
MICROCHIP,-3.0,68,132,price_minus_mid
MICROCHIP,3.0,68,134,price_minus_mid
MICROCHIP,2.5,39,71,price_minus_mid
MICROCHIP,-7.0,38,67,price_minus_mid
MICROCHIP,-6.0,37,65,price_minus_mid
MICROCHIP,6.0,37,68,price_minus_mid
MICROCHIP,7.0,34,70,price_minus_mid
MICROCHIP,5.5,27,58,price_minus_mid
MICROCHIP,-5.5,25,53,price_minus_mid
MICROCHIP,-2.5,22,44,price_minus_mid
MICROCHIP,2.0,12,25,price_minus_mid
MICROCHIP,-1.5,5,11,price_minus_mid
MICROCHIP,-2.0,4,8,price_minus_mid
MICROCHIP,1.5,4,7,price_minus_mid
MICROCHIP,1.0,1,2,price_minus_mid
OXYGEN_SHAKE,-6.0,802,1982,price_minus_mid
OXYGEN_SHAKE,6.0,735,1789,price_minus_mid
OXYGEN_SHAKE,6.5,406,1003,price_minus_mid
OXYGEN_SHAKE,-6.5,403,990,price_minus_mid
OXYGEN_SHAKE,7.0,264,666,price_minus_mid
OXYGEN_SHAKE,-7.0,243,604,price_minus_mid
OXYGEN_SHAKE,-7.5,185,468,price_minus_mid
OXYGEN_SHAKE,7.5,167,403,price_minus_mid
OXYGEN_SHAKE,-8.0,69,174,price_minus_mid
OXYGEN_SHAKE,8.0,53,130,price_minus_mid
OXYGEN_SHAKE,5.5,49,121,price_minus_mid
OXYGEN_SHAKE,8.5,48,124,price_minus_mid
OXYGEN_SHAKE,-8.5,41,89,price_minus_mid
OXYGEN_SHAKE,-5.5,39,104,price_minus_mid
OXYGEN_SHAKE,-3.0,38,93,price_minus_mid
OXYGEN_SHAKE,-3.5,26,51,price_minus_mid
OXYGEN_SHAKE,3.0,23,54,price_minus_mid
OXYGEN_SHAKE,9.0,17,40,price_minus_mid
OXYGEN_SHAKE,-9.0,16,42,price_minus_mid
OXYGEN_SHAKE,3.5,16,42,price_minus_mid
OXYGEN_SHAKE,2.5,6,13,price_minus_mid
OXYGEN_SHAKE,-4.0,5,9,price_minus_mid
OXYGEN_SHAKE,-4.5,4,8,price_minus_mid
OXYGEN_SHAKE,4.0,4,10,price_minus_mid
OXYGEN_SHAKE,-5.0,2,7,price_minus_mid
OXYGEN_SHAKE,-2.5,2,4,price_minus_mid
OXYGEN_SHAKE,4.5,1,1,price_minus_mid
OXYGEN_SHAKE,5.0,1,4,price_minus_mid
PANEL,-4.5,636,1594,price_minus_mid
PANEL,4.5,623,1571,price_minus_mid
PANEL,-4.0,375,906,price_minus_mid
PANEL,4.0,359,864,price_minus_mid
PANEL,-5.0,346,868,price_minus_mid
PANEL,5.0,315,771,price_minus_mid
PANEL,5.5,217,522,price_minus_mid
PANEL,-5.5,206,516,price_minus_mid
PANEL,-6.0,142,345,price_minus_mid
PANEL,6.0,132,313,price_minus_mid
PANEL,-6.5,62,144,price_minus_mid
PANEL,6.5,58,157,price_minus_mid
PANEL,3.5,40,93,price_minus_mid
PANEL,-3.5,36,94,price_minus_mid
PANEL,-2.5,34,71,price_minus_mid
PANEL,-2.0,21,53,price_minus_mid
PANEL,2.5,21,53,price_minus_mid
PANEL,2.0,18,40,price_minus_mid
PANEL,-3.0,13,25,price_minus_mid
PANEL,-1.5,4,9,price_minus_mid
PANEL,1.5,4,7,price_minus_mid
PANEL,3.0,3,9,price_minus_mid
PEBBLES,-6.5,374,1333,price_minus_mid
PEBBLES,6.5,346,1236,price_minus_mid
PEBBLES,-6.0,300,1084,price_minus_mid
PEBBLES,6.0,291,1018,price_minus_mid
PEBBLES,7.0,273,947,price_minus_mid
PEBBLES,-7.0,240,877,price_minus_mid
PEBBLES,5.5,117,431,price_minus_mid
PEBBLES,-5.5,113,400,price_minus_mid
PEBBLES,8.5,92,334,price_minus_mid
PEBBLES,-8.5,82,306,price_minus_mid
PEBBLES,-5.0,81,280,price_minus_mid
PEBBLES,5.0,81,281,price_minus_mid
PEBBLES,4.5,78,284,price_minus_mid
PEBBLES,-4.0,77,270,price_minus_mid
PEBBLES,4.0,75,248,price_minus_mid
PEBBLES,-4.5,72,259,price_minus_mid
PEBBLES,-7.5,66,220,price_minus_mid
PEBBLES,9.0,61,218,price_minus_mid
PEBBLES,-9.0,58,195,price_minus_mid
PEBBLES,7.5,56,198,price_minus_mid
PEBBLES,-8.0,53,178,price_minus_mid
PEBBLES,8.0,44,151,price_minus_mid
PEBBLES,-3.5,32,108,price_minus_mid
PEBBLES,3.5,25,87,price_minus_mid
PEBBLES,-10.0,22,72,price_minus_mid
PEBBLES,10.0,19,70,price_minus_mid
PEBBLES,-10.5,17,60,price_minus_mid
PEBBLES,-9.5,17,68,price_minus_mid
PEBBLES,10.5,17,53,price_minus_mid
PEBBLES,3.0,11,47,price_minus_mid
PEBBLES,9.5,9,29,price_minus_mid
PEBBLES,-3.0,5,18,price_minus_mid
PEBBLES,11.0,5,17,price_minus_mid
PEBBLES,-2.5,3,11,price_minus_mid
PEBBLES,2.0,3,11,price_minus_mid
PEBBLES,-2.0,2,8,price_minus_mid
PEBBLES,2.5,2,5,price_minus_mid
PEBBLES,-1.5,1,3,price_minus_mid
ROBOT,-3.5,684,1721,price_minus_mid
ROBOT,3.5,665,1641,price_minus_mid
ROBOT,-4.0,609,1480,price_minus_mid
ROBOT,4.0,601,1483,price_minus_mid
ROBOT,-3.0,405,994,price_minus_mid
ROBOT,3.0,365,895,price_minus_mid
ROBOT,4.5,109,261,price_minus_mid
ROBOT,-4.5,102,265,price_minus_mid
ROBOT,-2.0,37,74,price_minus_mid
ROBOT,-1.5,32,79,price_minus_mid
ROBOT,1.5,27,58,price_minus_mid
ROBOT,2.0,20,56,price_minus_mid
ROBOT,-2.5,6,12,price_minus_mid
ROBOT,2.5,2,5,price_minus_mid
ROBOT,1.0,1,1,price_minus_mid
SLEEP_POD,5.0,621,1531,price_minus_mid
SLEEP_POD,-5.0,620,1551,price_minus_mid
SLEEP_POD,4.5,579,1444,price_minus_mid
SLEEP_POD,-4.5,565,1368,price_minus_mid
SLEEP_POD,-5.5,407,1015,price_minus_mid
SLEEP_POD,5.5,376,898,price_minus_mid
SLEEP_POD,-4.0,142,372,price_minus_mid
SLEEP_POD,4.0,109,270,price_minus_mid
SLEEP_POD,-6.0,64,150,price_minus_mid
SLEEP_POD,6.0,54,133,price_minus_mid
SLEEP_POD,-2.5,35,70,price_minus_mid
SLEEP_POD,2.5,23,59,price_minus_mid
SLEEP_POD,-2.0,19,50,price_minus_mid
SLEEP_POD,-3.0,18,37,price_minus_mid
SLEEP_POD,2.0,13,27,price_minus_mid
SLEEP_POD,3.0,12,32,price_minus_mid
SLEEP_POD,-1.5,3,8,price_minus_mid
SLEEP_POD,-3.5,2,4,price_minus_mid
SLEEP_POD,3.5,2,5,price_minus_mid
SLEEP_POD,1.5,1,1,price_minus_mid
SNACKPACK,-8.5,890,2244,price_minus_mid
SNACKPACK,8.5,871,2147,price_minus_mid
SNACKPACK,-8.0,430,1042,price_minus_mid
SNACKPACK,8.0,396,967,price_minus_mid
SNACKPACK,9.0,362,889,price_minus_mid
SNACKPACK,-9.0,355,858,price_minus_mid
SNACKPACK,-9.5,109,280,price_minus_mid
SNACKPACK,9.5,95,229,price_minus_mid
SNACKPACK,-4.5,37,76,price_minus_mid
SNACKPACK,-4.0,24,64,price_minus_mid
SNACKPACK,4.0,21,48,price_minus_mid
SNACKPACK,4.5,20,53,price_minus_mid
SNACKPACK,-7.5,16,36,price_minus_mid
SNACKPACK,7.5,15,47,price_minus_mid
SNACKPACK,-5.0,10,16,price_minus_mid
SNACKPACK,3.5,6,12,price_minus_mid
SNACKPACK,-3.5,4,9,price_minus_mid
SNACKPACK,5.0,3,7,price_minus_mid
SNACKPACK,10.0,1,1,price_minus_mid
TRANSLATOR,-4.5,999,2478,price_minus_mid
TRANSLATOR,4.5,983,2417,price_minus_mid
TRANSLATOR,-4.0,455,1124,price_minus_mid
TRANSLATOR,4.0,423,1057,price_minus_mid
TRANSLATOR,-5.0,310,775,price_minus_mid
TRANSLATOR,5.0,302,736,price_minus_mid
TRANSLATOR,-2.5,35,66,price_minus_mid
TRANSLATOR,-2.0,30,74,price_minus_mid
TRANSLATOR,2.0,26,54,price_minus_mid
TRANSLATOR,-5.5,22,52,price_minus_mid
TRANSLATOR,2.5,19,54,price_minus_mid
TRANSLATOR,3.5,17,39,price_minus_mid
TRANSLATOR,5.5,15,31,price_minus_mid
TRANSLATOR,-3.5,14,31,price_minus_mid
TRANSLATOR,-3.0,6,12,price_minus_mid
TRANSLATOR,-1.5,4,13,price_minus_mid
TRANSLATOR,1.5,3,9,price_minus_mid
TRANSLATOR,3.0,2,3,price_minus_mid
UV_VISOR,7.0,535,1307,price_minus_mid
UV_VISOR,-7.0,533,1355,price_minus_mid
UV_VISOR,-7.5,441,1116,price_minus_mid
UV_VISOR,7.5,424,1022,price_minus_mid
UV_VISOR,6.5,393,992,price_minus_mid
UV_VISOR,-6.5,369,885,price_minus_mid
UV_VISOR,5.0,132,324,price_minus_mid
UV_VISOR,-6.0,122,292,price_minus_mid
UV_VISOR,-5.0,116,305,price_minus_mid
UV_VISOR,-4.5,99,230,price_minus_mid
UV_VISOR,6.0,88,234,price_minus_mid
UV_VISOR,4.5,78,183,price_minus_mid
UV_VISOR,-8.0,70,150,price_minus_mid
UV_VISOR,5.5,51,127,price_minus_mid
UV_VISOR,-5.5,49,123,price_minus_mid
UV_VISOR,8.0,38,90,price_minus_mid
UV_VISOR,-3.5,30,66,price_minus_mid
UV_VISOR,-4.0,21,43,price_minus_mid
UV_VISOR,3.5,20,56,price_minus_mid
UV_VISOR,-3.0,16,39,price_minus_mid
UV_VISOR,3.0,14,30,price_minus_mid
UV_VISOR,4.0,10,22,price_minus_mid
UV_VISOR,-2.5,7,16,price_minus_mid
UV_VISOR,2.5,5,9,price_minus_mid
UV_VISOR,-2.0,2,5,price_minus_mid
UV_VISOR,2.0,2,4,price_minus_mid
GALAXY_SOUNDS,-7.0,602,1517,price_minus_wall_mid
GALAXY_SOUNDS,7.0,568,1389,price_minus_wall_mid
GALAXY_SOUNDS,-6.5,457,1129,price_minus_wall_mid
GALAXY_SOUNDS,6.5,456,1116,price_minus_wall_mid
GALAXY_SOUNDS,-7.5,401,992,price_minus_wall_mid
GALAXY_SOUNDS,7.5,341,830,price_minus_wall_mid
GALAXY_SOUNDS,-6.0,180,439,price_minus_wall_mid
GALAXY_SOUNDS,6.0,180,476,price_minus_wall_mid
GALAXY_SOUNDS,8.0,156,390,price_minus_wall_mid
GALAXY_SOUNDS,-8.0,134,335,price_minus_wall_mid
GALAXY_SOUNDS,-0.5,33,71,price_minus_wall_mid
GALAXY_SOUNDS,8.5,32,77,price_minus_wall_mid
GALAXY_SOUNDS,-8.5,25,61,price_minus_wall_mid
GALAXY_SOUNDS,-1.0,21,42,price_minus_wall_mid
GALAXY_SOUNDS,0.0,21,37,price_minus_wall_mid
GALAXY_SOUNDS,-5.5,16,34,price_minus_wall_mid
GALAXY_SOUNDS,-9.0,15,33,price_minus_wall_mid
GALAXY_SOUNDS,9.0,15,35,price_minus_wall_mid
GALAXY_SOUNDS,5.5,12,22,price_minus_wall_mid
MICROCHIP,4.0,410,832,price_minus_wall_mid
MICROCHIP,4.5,402,808,price_minus_wall_mid
MICROCHIP,-4.0,381,749,price_minus_wall_mid
MICROCHIP,-4.5,361,697,price_minus_wall_mid
MICROCHIP,3.5,225,454,price_minus_wall_mid
MICROCHIP,-3.5,191,356,price_minus_wall_mid
MICROCHIP,5.0,153,284,price_minus_wall_mid
MICROCHIP,-5.0,125,236,price_minus_wall_mid
MICROCHIP,6.5,86,171,price_minus_wall_mid
MICROCHIP,-6.5,63,123,price_minus_wall_mid
MICROCHIP,-7.0,54,102,price_minus_wall_mid
MICROCHIP,-6.0,49,90,price_minus_wall_mid
MICROCHIP,7.0,49,107,price_minus_wall_mid
MICROCHIP,6.0,43,84,price_minus_wall_mid
MICROCHIP,-3.0,42,77,price_minus_wall_mid
MICROCHIP,3.0,40,85,price_minus_wall_mid
MICROCHIP,5.5,38,72,price_minus_wall_mid
MICROCHIP,-5.5,35,71,price_minus_wall_mid
MICROCHIP,2.5,34,62,price_minus_wall_mid
MICROCHIP,-2.5,30,62,price_minus_wall_mid
MICROCHIP,7.5,10,21,price_minus_wall_mid
MICROCHIP,-7.5,9,17,price_minus_wall_mid
MICROCHIP,-0.5,8,19,price_minus_wall_mid
MICROCHIP,-1.0,5,12,price_minus_wall_mid
MICROCHIP,0.0,2,4,price_minus_wall_mid
OXYGEN_SHAKE,-6.0,738,1815,price_minus_wall_mid
OXYGEN_SHAKE,6.0,708,1758,price_minus_wall_mid
OXYGEN_SHAKE,-6.5,374,936,price_minus_wall_mid
OXYGEN_SHAKE,6.5,341,815,price_minus_wall_mid
OXYGEN_SHAKE,7.0,291,727,price_minus_wall_mid
OXYGEN_SHAKE,-7.0,261,648,price_minus_wall_mid
OXYGEN_SHAKE,-7.5,193,492,price_minus_wall_mid
OXYGEN_SHAKE,7.5,170,426,price_minus_wall_mid
OXYGEN_SHAKE,-5.5,105,261,price_minus_wall_mid
OXYGEN_SHAKE,5.5,100,243,price_minus_wall_mid
