group,quote_mode,horizon,products,quote_ticks,trade_fill_count,trade_fill_rate,mean_edge_if_filled,mean_cross_liq_edge_if_filled,ev_per_quote,positive_product_sides
PANEL,book_mid,20,5,299400,63503,0.2121008684034736,-22.132850969616356,-26.835588727416262,-4.694966599866399,0
PANEL,wall_mid,20,5,299400,63494,0.21207080828323313,-22.151084605784213,-26.85409211144373,-4.697752171008684,0
MICROCHIP,best_touch,20,5,299400,46063,0.15385103540414163,-30.401310228490182,-34.792359088820476,-4.703577154308617,0
PANEL,residual_fair,20,5,299400,63035,0.2105377421509686,-22.461782948431036,-27.165870675277795,-4.7317384769539075,0
OXYGEN_SHAKE,wall_mid,20,5,299400,63495,0.21207414829659318,-22.816254911516175,-29.270804902972127,-4.840958583834335,0
OXYGEN_SHAKE,book_mid,20,5,299400,63491,0.21206078824315297,-22.834054308766355,-29.288939767450596,-4.8437291249165,0
OXYGEN_SHAKE,residual_fair,20,5,299400,63100,0.21075484301937206,-22.960692491089155,-29.413404297565233,-4.847466599866399,0
MICROCHIP,one_tick_inside,20,5,299400,47165,0.1575317301269205,-30.6686738847719,-35.058404761419226,-4.850910153640615,0
UV_VISOR,book_mid,20,5,299400,63559,0.21228790915163662,-22.862886119536974,-29.437366644726637,-4.8612959251837005,0
UV_VISOR,wall_mid,20,5,299400,63605,0.21244154976619906,-22.85496856357225,-29.429239842781147,-4.8634235136940545,0
UV_VISOR,residual_fair,20,5,299400,63158,0.2109485637942552,-23.003686785555097,-29.580013605319586,-4.866955577822312,0
GALAXY_SOUNDS,wall_mid,20,5,299400,63489,0.21205410821643284,-24.17433136947851,-31.05423861514219,-5.129463927855712,0
GALAXY_SOUNDS,book_mid,20,5,299400,63477,0.2120140280561122,-24.21108816607137,-31.090730150671313,-5.136564796259185,0
SLEEP_POD,residual_fair,20,5,299400,63182,0.21102872411489643,-24.420984732942227,-29.26155160191999,-5.155821643286574,0
SLEEP_POD,book_mid,20,5,299400,63614,0.21247160988643957,-24.379962840138326,-29.2207860336213,-5.181287575150301,0
GALAXY_SOUNDS,residual_fair,20,5,299400,63066,0.21064128256513026,-24.589635106952947,-31.469580752941834,-5.181795257181029,0
SLEEP_POD,wall_mid,20,5,299400,63627,0.21251503006012024,-24.39718471152426,-29.238150503689763,-5.1860470941883765,0
MICROCHIP,residual_fair,20,5,299400,50212,0.16770875083500333,-31.40825232812952,-35.79904853467743,-5.28999665998664,0
MICROCHIP,wall_mid,20,5,299400,50490,0.16863727454909822,-31.52747129538663,-35.918117312001016,-5.332262859051436,0
MICROCHIP,book_mid,20,5,299400,50522,0.1687441549766199,-31.51612217846603,-35.90613692565749,-5.33375250501002,0
PEBBLES,best_touch,20,5,299400,50586,0.16895791583166334,-39.74019134061018,-46.1515258790624,-6.750292251169005,0
PEBBLES,one_tick_inside,20,5,299400,51555,0.1721943887775551,-39.9306685891197,-46.34170856954382,-6.901486305945224,0
PEBBLES,residual_fair,20,5,299400,55927,0.18679692718770874,-41.21870092815453,-47.63678676293208,-7.704442217768872,0
PEBBLES,wall_mid,20,5,299400,56163,0.18758517034068137,-41.25097433355662,-47.669079361630956,-7.7397461589846355,0
PEBBLES,book_mid,20,5,299400,56213,0.18775217100868402,-41.25537259075335,-47.67335760773236,-7.746285905143621,0
SNACKPACK,best_touch,100,5,297000,157305,0.5296464646464647,-23.303493972114158,-31.694203824372874,-12.377154882154882,0
SNACKPACK,one_tick_inside,100,5,297000,160262,0.5396026936026936,-23.4662112433476,-31.856868374705094,-12.690321548821547,0
SNACKPACK,wall_mid,100,5,297000,180991,0.6093973063973064,-25.094067897032662,-33.48592121721417,-15.28187542087542,0
SNACKPACK,book_mid,100,5,297000,180989,0.6093905723905724,-25.104413379878554,-33.49627155241264,-15.28828451178451,0
SNACKPACK,residual_fair,100,5,297000,178672,0.6015892255892256,-25.874704730566815,-34.26762356440866,-15.587897306397306,0
TRANSLATOR,best_touch,100,5,297000,170511,0.5741111111111111,-37.0599503479297,-41.44856096566079,-21.30077946127946,0
ROBOT,best_touch,100,5,297000,174452,0.5873804713804713,-36.64363619598865,-40.2052527350449,-21.521863636363637,0
TRANSLATOR,one_tick_inside,100,5,297000,172611,0.5811818181818181,-37.24070578768199,-41.629328490846106,-21.666468013468013,0
OXYGEN_SHAKE,best_touch,100,5,297000,167826,0.5650707070707071,-38.41304124639345,-44.85778172082623,-21.733526936026937,0
UV_VISOR,best_touch,100,5,297000,166841,0.5617542087542088,-38.58264795462617,-45.1466647084391,-21.742910774410774,0
ROBOT,one_tick_inside,100,5,297000,175973,0.5925016835016835,-37.031622198607536,-40.59306067439791,-21.950673400673402,0
UV_VISOR,one_tick_inside,100,5,297000,168832,0.5684579124579126,-38.7428989459482,-45.306915829671425,-22.089348484848482,0
OXYGEN_SHAKE,one_tick_inside,100,5,297000,169288,0.569993265993266,-38.777257206402005,-45.222220790235646,-22.140747474747474,0
TRANSLATOR,residual_fair,100,5,297000,178485,0.6009595959595959,-37.68675559681969,-42.07545450432505,-22.66137878787879,0
ROBOT,residual_fair,100,5,297000,179371,0.603942760942761,-37.55274204063666,-41.11423156086089,-22.704803030303033,0
TRANSLATOR,wall_mid,100,5,297000,178932,0.6024646464646465,-37.808538700755314,-42.197129512768186,-22.801771043771044,0
TRANSLATOR,book_mid,100,5,297000,178948,0.6025185185185185,-37.806173242039876,-42.1948011455077,-22.802626262626262,0
ROBOT,wall_mid,100,5,297000,179727,0.6051414141414141,-37.86594910780744,-41.427254522657385,-22.942924242424244,0
ROBOT,book_mid,100,5,297000,179706,0.6050707070707071,-37.87484299124676,-41.436195424388146,-22.94685016835017,0
PANEL,best_touch,100,5,297000,168340,0.5668013468013469,-40.749179452925326,-45.445202689373374,-23.10380808080808,0
PANEL,one_tick_inside,100,5,297000,170412,0.5737777777777777,-40.88185493616413,-45.57772323836461,-23.462563973063972,0
GALAXY_SOUNDS,best_touch,100,5,297000,166855,0.5618013468013469,-41.869190516235044,-48.73608202812751,-23.588508417508418,0
UV_VISOR,residual_fair,100,5,297000,178486,0.6009629629629629,-39.4492263930131,-46.01444443680656,-23.80478451178451,0
GALAXY_SOUNDS,one_tick_inside,100,5,297000,168724,0.5680942760942761,-41.97195571395939,-48.83836657405169,-23.91145286195286,0
UV_VISOR,book_mid,100,5,297000,179191,0.6033367003367004,-39.64601147566887,-46.21176035610465,-23.99106228956229,0
UV_VISOR,wall_mid,100,5,297000,179253,0.6035454545454545,-39.64958247518735,-46.21519626898258,-24.00040740740741,0
OXYGEN_SHAKE,residual_fair,100,5,297000,178818,0.6020808080808081,-39.82076908204184,-46.26510379246356,-24.026599326599328,0
OXYGEN_SHAKE,wall_mid,100,5,297000,179119,0.6030942760942761,-40.0071615301957,-46.45332125447871,-24.17672222222222,0
OXYGEN_SHAKE,book_mid,100,5,297000,179124,0.6031111111111112,-40.03434690255712,-46.480583562005116,-24.191510101010103,0
PANEL,residual_fair,100,5,297000,176860,0.5954882154882155,-41.37645146455415,-46.07229241084541,-24.643053872053873,0
PANEL,wall_mid,100,5,297000,177605,0.597996632996633,-41.28216681362373,-45.97860513235213,-24.683690235690236,0
PANEL,book_mid,100,5,297000,177610,0.5980134680134681,-41.284825253721046,-45.981129648052885,-24.687139730639732,0
SLEEP_POD,best_touch,100,5,297000,170058,0.5725858585858585,-44.111213304773194,-48.944320186284074,-25.319380471380473,0
SLEEP_POD,one_tick_inside,100,5,297000,171916,0.5788417508417508,-44.22207747305444,-49.05463050704505,-25.658234006734006,0
GALAXY_SOUNDS,residual_fair,100,5,297000,178370,0.6005723905723906,-42.8673217966156,-49.73386501727783,-25.78857070707071,0
GALAXY_SOUNDS,book_mid,100,5,297000,179134,0.6031447811447812,-42.82251935723716,-49.68933538124493,-25.899659932659933,0
GALAXY_SOUNDS,wall_mid,100,5,297000,179142,0.6031717171717171,-42.83328927072483,-49.70020635840283,-25.906542087542086,0
SLEEP_POD,residual_fair,100,5,297000,177877,0.598912457912458,-44.56259568178178,-49.39502696540537,-26.748089225589222,0
SLEEP_POD,book_mid,100,5,297000,178423,0.6007508417508418,-44.82431764356587,-49.65673505770294,-26.98505892255892,0
SLEEP_POD,wall_mid,100,5,297000,178397,0.6006632996632997,-44.83112382430339,-49.66359475627973,-26.985511784511782,0
MICROCHIP,best_touch,100,5,297000,148954,0.5015286195286195,-59.12251124868067,-63.51561920616466,-29.816599326599327,0
MICROCHIP,one_tick_inside,100,5,297000,150483,0.5066767676767677,-59.20038019854695,-63.59304890388243,-30.140382154882154,0
MICROCHIP,residual_fair,100,5,297000,154492,0.5201750841750842,-59.35416257570962,-63.74658655646935,-31.035996632996632,0
MICROCHIP,wall_mid,100,5,297000,154844,0.5213602693602694,-59.47248860536141,-63.86516829462996,-31.135013468013472,0
MICROCHIP,book_mid,100,5,297000,154896,0.5215353535353535,-59.4960525122037,-63.88833725011078,-31.154577441077443,0
PEBBLES,best_touch,100,5,297000,156473,0.5268451178451178,-70.82339853775213,-77.23136962493672,-37.441015151515145,0
PEBBLES,one_tick_inside,100,5,297000,157622,0.5307138047138047,-71.00911751809159,-77.41705372986482,-37.79149494949495,0
PEBBLES,residual_fair,100,5,297000,162917,0.5485420875420876,-71.78748506466015,-78.19754961198767,-39.43815656565657,0
PEBBLES,wall_mid,100,5,297000,163210,0.5495286195286195,-71.80477813187636,-78.21478457640784,-39.514996632996635,0
PEBBLES,book_mid,100,5,297000,163245,0.5496464646464647,-71.82782024917768,-78.23769843756239,-39.53484006734007,0
SNACKPACK,best_touch,500,5,285000,230079,0.8072947368421053,-24.701531709975082,-33.096243115063,-20.097501754385966,0
SNACKPACK,one_tick_inside,500,5,285000,231633,0.8127473684210527,-24.810756351481835,-33.20544900686437,-20.3136649122807,0
SNACKPACK,wall_mid,500,5,285000,241903,0.8487824561403509,-26.05125892633069,-34.44667792708581,-22.22807192982456,0
SNACKPACK,book_mid,500,5,285000,241875,0.8486842105263157,-26.069675120688977,-34.46508343381315,-22.241219298245614,0
SNACKPACK,residual_fair,500,5,285000,240615,0.8442631578947368,-26.58462852222994,-34.98055027233837,-22.57284561403509,0
ROBOT,best_touch,500,5,285000,239027,0.8386912280701754,-37.31544236120533,-40.875276579907435,-31.840138596491226,0
ROBOT,one_tick_inside,500,5,285000,239794,0.8413824561403509,-37.59897791434002,-41.15875803247574,-32.17718070175438,0
TRANSLATOR,best_touch,500,5,285000,235344,0.8257684210526316,-39.48024152620543,-43.86787008958191,-32.83994736842105,0
ROBOT,residual_fair,500,5,285000,241459,0.8472245614035089,-38.151679790700975,-41.71130385231969,-32.849640350877195,0
TRANSLATOR,one_tick_inside,500,5,285000,236339,0.8292596491228069,-39.574608841856,-43.962306309543514,-33.05529298245614,0
ROBOT,book_mid,500,5,285000,241512,0.8474105263157895,-38.363613447755576,-41.92316253895705,-33.05651754385965,0
ROBOT,wall_mid,500,5,285000,241530,0.8474736842105264,-38.36349412148016,-41.9229848088989,-33.05794912280702,0
TRANSLATOR,residual_fair,500,5,285000,239536,0.840477192982456,-39.291060492036976,-43.678965518277195,-33.23700877192982,0
TRANSLATOR,wall_mid,500,5,285000,239440,0.840140350877193,-39.80536871570267,-44.19301096296191,-33.67612105263158,0
TRANSLATOR,book_mid,500,5,285000,239427,0.8400947368421052,-39.81837143955816,-44.20602496412598,-33.68520877192982,0
OXYGEN_SHAKE,best_touch,500,5,285000,234409,0.8224877192982456,-41.94507447203822,-48.39315262126271,-35.24030350877193,0
OXYGEN_SHAKE,one_tick_inside,500,5,285000,235121,0.8249859649122808,-42.200496054829706,-48.648757133130005,-35.556640350877196,0
UV_VISOR,best_touch,500,5,285000,233309,0.8186280701754386,-43.7678453685314,-50.33495570107097,-36.17016140350877,0
UV_VISOR,one_tick_inside,500,5,285000,234320,0.8221754385964912,-43.824087779591096,-50.39088529811771,-36.36328245614035,0
OXYGEN_SHAKE,residual_fair,500,5,285000,239691,0.841021052631579,-42.610552284069186,-49.057889928831784,-36.5814947368421,0
OXYGEN_SHAKE,book_mid,500,5,285000,239719,0.8411192982456142,-42.94707089852033,-49.395647310919244,-36.83820175438596,0
OXYGEN_SHAKE,wall_mid,500,5,285000,239723,0.8411333333333333,-42.95276308639843,-49.40127847863819,-36.841233333333335,0
UV_VISOR,residual_fair,500,5,285000,239234,0.8394175438596492,-43.62548328698789,-50.193723922550305,-36.98346666666667,0
UV_VISOR,book_mid,500,5,285000,239280,0.8395789473684211,-44.29339794551858,-50.860498640656424,-37.48828771929824,0
UV_VISOR,wall_mid,500,5,285000,239304,0.8396631578947368,-44.29477099170588,-50.86181750306104,-37.49399824561404,0
PANEL,best_touch,500,5,285000,233224,0.8183298245614035,-46.92654090454322,-51.624647198392175,-38.44582456140351,0
PANEL,one_tick_inside,500,5,285000,234256,0.8219508771929824,-46.89439665130227,-51.59263168234482,-38.59039824561403,0
PANEL,residual_fair,500,5,285000,237345,0.8327894736842106,-46.81239579602247,-51.51058764072523,-39.049636842105265,0
GALAXY_SOUNDS,best_touch,500,5,285000,233938,0.8208350877192983,-47.06901970252001,-53.93888283993222,-39.13965438596491,0
PANEL,wall_mid,500,5,285000,237547,0.8334982456140351,-47.043925183201665,-51.74244689310267,-39.25333333333333,0
PANEL,book_mid,500,5,285000,237554,0.8335228070175438,-47.053302481776946,-51.75182754246132,-39.26320350877193,0
GALAXY_SOUNDS,one_tick_inside,500,5,285000,234868,0.8240982456140351,-47.073859653075125,-53.9436947474951,-39.29429824561404,0
GALAXY_SOUNDS,residual_fair,500,5,285000,239733,0.8411684210526316,-47.30962836716708,-54.179418459949375,-40.2163701754386,0
GALAXY_SOUNDS,wall_mid,500,5,285000,239692,0.8410245614035088,-47.58631987904855,-54.456569087142974,-40.51306666666667,0
GALAXY_SOUNDS,book_mid,500,5,285000,239682,0.8409894736842105,-47.61440969711198,-54.484628692158935,-40.53578245614035,0
SLEEP_POD,best_touch,500,5,285000,235503,0.8263263157894738,-48.64941228673725,-53.48383554715108,-40.54333684210526,0
SLEEP_POD,one_tick_inside,500,5,285000,236387,0.8294280701754386,-48.72109909712528,-53.555507471491254,-40.746296491228065,0
SLEEP_POD,residual_fair,500,5,285000,239673,0.8409578947368421,-48.39467680965863,-53.22877073831832,-40.99235263157895,0
SLEEP_POD,book_mid,500,5,285000,239412,0.8400421052631579,-49.05297185640918,-53.88743569036338,-41.52444912280701,0
SLEEP_POD,wall_mid,500,5,285000,239413,0.8400456140350878,-49.072000851852145,-53.906475788205135,-41.539631578947365,0
MICROCHIP,best_touch,500,5,285000,229396,0.8048982456140351,-66.50420768140465,-70.89827982246453,-54.59247543859649,0
MICROCHIP,one_tick_inside,500,5,285000,230160,0.8075789473684211,-66.5896088413804,-70.98353642439774,-54.82571929824561,0
MICROCHIP,residual_fair,500,5,285000,232269,0.814978947368421,-66.67347506440845,-71.06789667658913,-55.43569298245613,0
MICROCHIP,wall_mid,500,5,285000,232326,0.8151789473684211,-66.93461526369902,-71.32871714395978,-55.59878245614035,0
MICROCHIP,book_mid,500,5,285000,232348,0.8152561403508771,-66.95525885379269,-71.34930818383171,-55.61742280701755,0
PEBBLES,best_touch,500,5,285000,232836,0.8169684210526317,-73.40084778570703,-79.80826176883912,-61.02497368421052,0
PEBBLES,one_tick_inside,500,5,285000,233393,0.8189228070175438,-73.65017662725822,-80.0575253754758,-61.361942105263154,0
PEBBLES,residual_fair,500,5,285000,236022,0.8281473684210526,-74.7168073387876,-81.12496211737071,-62.878959649122805,0
PEBBLES,wall_mid,500,5,285000,236159,0.8286280701754386,-74.77396736471786,-81.18213695709254,-62.95959824561403,0
PEBBLES,book_mid,500,5,285000,236167,0.8286561403508772,-74.79299513449517,-81.20119529119845,-62.97560877192982,0
