product,side,threshold,n,mean_mo20,good_pct20
PEBBLES_S,passive_sell,6,406,6.977832512315271,0.5517241379310345
PEBBLES_S,passive_sell,8,406,6.977832512315271,0.5517241379310345
PEBBLES_XL,buy,0,447,5.332214765100671,0.5346756152125279
PEBBLES_XL,buy,2,447,5.332214765100671,0.5346756152125279
PEBBLES_XL,buy,4,447,5.332214765100671,0.5346756152125279
PEBBLES_XL,buy,6,447,5.332214765100671,0.5346756152125279
PEBBLES_XL,buy,8,447,5.332214765100671,0.5346756152125279
PEBBLES_XL,sell,0,406,-1.3029556650246306,0.5
PEBBLES_XL,sell,2,406,-1.3029556650246306,0.5
PEBBLES_XL,sell,4,406,-1.3029556650246306,0.5
PEBBLES_XL,sell,6,406,-1.3029556650246306,0.5
PEBBLES_XL,sell,8,406,-1.3029556650246306,0.5
PEBBLES_XL,passive_buy,0,447,12.269574944071588,0.5413870246085011
PEBBLES_XL,passive_buy,2,447,12.269574944071588,0.5413870246085011
PEBBLES_XL,passive_buy,4,447,12.269574944071588,0.5413870246085011
PEBBLES_XL,passive_buy,6,447,12.269574944071588,0.5413870246085011
PEBBLES_XL,passive_buy,8,447,12.269574944071588,0.5413870246085011
PEBBLES_XL,passive_sell,0,406,6.640394088669951,0.5221674876847291
PEBBLES_XL,passive_sell,2,406,6.640394088669951,0.5221674876847291
PEBBLES_XL,passive_sell,4,406,6.640394088669951,0.5221674876847291
PEBBLES_XL,passive_sell,6,406,6.640394088669951,0.5221674876847291
PEBBLES_XL,passive_sell,8,406,6.640394088669951,0.5221674876847291
PEBBLES_XS,buy,0,447,-2.3467561521252795,0.4899328859060403
PEBBLES_XS,buy,2,447,-2.3467561521252795,0.4899328859060403
PEBBLES_XS,buy,4,447,-2.3467561521252795,0.4899328859060403
PEBBLES_XS,buy,6,447,-2.3467561521252795,0.4899328859060403
PEBBLES_XS,buy,8,447,-2.3467561521252795,0.4899328859060403
PEBBLES_XS,sell,0,406,4.811576354679803,0.541871921182266
PEBBLES_XS,sell,2,406,4.811576354679803,0.541871921182266
PEBBLES_XS,sell,4,406,4.811576354679803,0.541871921182266
PEBBLES_XS,sell,6,406,4.811576354679803,0.541871921182266
PEBBLES_XS,sell,8,406,4.811576354679803,0.541871921182266
PEBBLES_XS,passive_buy,0,447,1.1208053691275168,0.5123042505592841
PEBBLES_XS,passive_buy,2,447,1.1208053691275168,0.5123042505592841
PEBBLES_XS,passive_buy,4,447,1.1208053691275168,0.5123042505592841
PEBBLES_XS,passive_buy,6,447,1.1208053691275168,0.5123042505592841
PEBBLES_XS,passive_buy,8,447,1.1208053691275168,0.5123042505592841
PEBBLES_XS,passive_sell,0,406,9.205665024630543,0.5714285714285714
PEBBLES_XS,passive_sell,2,406,9.205665024630543,0.5714285714285714
PEBBLES_XS,passive_sell,4,406,9.205665024630543,0.5714285714285714
PEBBLES_XS,passive_sell,6,406,9.205665024630543,0.5714285714285714
PEBBLES_XS,passive_sell,8,406,9.205665024630543,0.5714285714285714
