group,product,alpha_mean,alpha_std,r2_mean,r2_min,resid_avg_path,resid_max_abs,resid_cross_day_corr
SNACKPACK,SNACKPACK_VANILLA,0.761193,5.114383,0.531107,0.432056,0.0000|5.0650|-23.0234|52.8646|11.5304,52.8646,-0.357278
SNACKPACK,SNACKPACK_CHOCOLATE,-0.343436,5.004834,0.520175,0.450637,0.0000|-42.2182|-15.2072|-51.3979|-18.8063,51.3979,-0.371986
SNACKPACK,SNACKPACK_STRAWBERRY,4.514671,0.790047,0.430889,0.339108,0.0000|186.3351|172.0679|155.8696|149.4685,186.3351,0.055203
SNACKPACK,SNACKPACK_PISTACHIO,2.404183,3.090212,0.301713,0.007909,0.0000|-60.6759|-121.1013|-98.9402|-188.1126,188.1126,0.45097
SNACKPACK,SNACKPACK_RASPBERRY,-2.336611,2.138356,0.262966,0.023945,0.0000|-88.5060|-12.7360|-58.3961|45.9200,88.506,-0.19658
TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,1.504456,1.280099,0.529411,0.011814,0.0000|96.8655|25.0529|-64.3578|-10.3125,96.8655,-0.276581
TRANSLATOR,TRANSLATOR_ASTRO_BLACK,1.316667,1.784983,0.448262,0.14317,0.0000|-104.4308|-96.7181|-118.5273|-339.1208,339.1208,0.268145
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,0.94966,1.298919,0.358805,0.081973,0.0000|-44.8037|-123.1077|-31.2169|98.4947,123.1077,-0.337895
TRANSLATOR,TRANSLATOR_SPACE_GRAY,0.662267,0.966,0.311985,0.007665,0.0000|-69.8213|-83.9564|-106.1200|102.4408,106.12,-0.222111
TRANSLATOR,TRANSLATOR_VOID_BLUE,0.56695,1.41395,0.227647,0.007082,0.0000|122.1902|278.7293|320.2219|148.4978,320.2219,-0.154845
UV_VISOR,UV_VISOR_YELLOW,2.630174,3.561578,0.636797,0.207722,0.0000|-259.8103|-151.0134|-181.3640|12.9728,259.8103,-0.268411
UV_VISOR,UV_VISOR_RED,0.883577,2.591221,0.52946,0.195232,0.0000|224.9955|140.9491|65.0391|143.8263,224.9955,-0.117727
UV_VISOR,UV_VISOR_MAGENTA,1.289351,1.849208,0.368064,0.009479,0.0000|28.3589|2.7470|100.9438|160.6355,160.6355,-0.31092
UV_VISOR,UV_VISOR_ORANGE,1.831592,2.191383,0.337376,0.207726,0.0000|241.0490|252.6567|302.8086|-58.8077,302.8086,-0.203551
UV_VISOR,UV_VISOR_AMBER,-1.634695,1.510651,0.329947,0.044323,0.0000|-234.5930|-245.3394|-287.4276|-258.6269,287.4276,0.219816
