product,group,coverage_label,free_alpha_path,free_alpha_d,actual_pooled_path,actual_pooled_d,pooled_shape_corr,pooled_delta_corr,pooled_mae,pooled_anchor_err,day2_shape_corr,day3_shape_corr,day4_shape_corr,day2_delta_corr,day3_delta_corr,day4_delta_corr,day2_mae,day3_mae,day4_mae,stab_cross_day_corr,stab_sign_consistency,stab_same_sign_buckets,stab_max_abs_avg_delta
SNACKPACK_CHOCOLATE,SNACKPACK,table_only,9921.3333|9913.6666|9942.8333|9957.5000|9807.6666,0.0000|-7.6667|21.5000|36.1667|-113.6667,9942.1667|9889.4448|9881.6115|9700.0854|9803.5498,0.0000|-52.7219|-60.5552|-242.0813|-138.6170,-0.008404,-0.008404,73.5617,20.8334,-0.120068,0.210967,-0.135658,-0.120068,0.210967,-0.135658,114.0991,104.0437,240.0413,0.200152,0.466667,1,242.0813
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,table_only,9599.6667|9548.3334|9272.3334|9499.5000|9840.3334,0.0000|-51.3333|-327.3333|-100.1667|240.6667,9491.7192|9224.3358|9459.9162|9787.7661|9820.6584,0.0000|-267.3833|-31.8030|296.0469|328.9392,0.43972,0.43972,185.4938,-107.9475,0.501045,0.622449,0.118469,0.501045,0.622449,0.118469,260.369,308.4482,684.3253,0.182536,0.4,0,328.9393
SNACKPACK_STRAWBERRY,SNACKPACK,table_only,10413.8333|10503.1666|10674.0000|10592.0000|10710.8333,0.0000|89.3333|260.1667|178.1667|297.0000,10524.1705|10776.0997|10690.2564|10787.4595|10755.0563,0.0000|251.9292|166.0859|263.2890|230.8858,0.579303,0.579303,127.8419,110.3372,0.870439,-0.210715,0.096668,0.870439,-0.210715,0.096668,283.4388,215.8731,451.0913,0.167376,0.666667,2,263.289
PANEL_4X4,PANEL,table_only,9977.8333|10380.3333|10211.1666|9655.5000|9686.1666,0.0000|402.5000|233.3333|-322.3333|-291.6667,10149.9825|10004.8789|9654.8128|9677.3463|9906.5757,0.0000|-145.1036|-495.1697|-472.6362|-243.4068,0.204258,0.204258,269.2426,172.1492,-0.169973,-0.631487,0.595213,-0.169973,-0.631487,0.595213,325.3354,587.7677,310.4052,0.068101,0.666667,2,495.1697
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,table_only,9286.6667|9423.3334|9446.6667|9340.0000|9093.3334,0.0000|136.6667|160.0000|53.3333|-193.3333,9399.7498|9588.1132|9225.0373|9082.7967|9063.7780,0.0000|188.3633|-174.7125|-316.9532|-335.9718,0.525235,0.525235,157.2502,113.0831,0.450864,-0.088178,0.474147,0.450864,-0.088178,0.474147,494.0232,233.4477,158.1638,0.062844,0.466667,0,335.9718
PEBBLES_XL,PEBBLES,table_only,11894.3333|12445.8333|12196.5000|13194.3333|13939.6666,0.0000|551.5000|302.1667|1300.0000|2045.3333,12064.0580|12593.3346|13116.6132|14226.1627|14127.7782,0.0000|529.2766|1052.5552|2162.1047|2063.7202,0.882746,0.882746,491.456,169.7247,0.97366,-0.672625,0.895362,0.97366,-0.672625,0.895362,1184.3667,1161.5827,1930.7715,0.031966,0.6,1,2162.1047
UV_VISOR_RED,UV_VISOR,table_only,10624.5000|10947.6667|11112.1667|11262.3333|11198.5000,0.0000|323.1667|487.6667|637.8333|574.0000,10883.5011|11121.9518|11199.8374|10966.5990|11144.5786,0.0000|238.4507|316.3363|83.0979|261.0775,0.521086,0.521086,174.1225,259.0011,0.130713,-0.019059,0.878456,0.130713,-0.019059,0.878456,263.3381,404.8451,759.1035,-0.03008,0.733333,3,316.3363
UV_VISOR_ORANGE,UV_VISOR,table_only,10152.0000|10316.8333|10466.0000|10710.3333|9925.5000,0.0000|164.8333|314.0000|558.3333|-226.5000,10338.1977|10634.1335|10662.3568|10416.1744|10081.6686,0.0000|295.9358|324.1591|77.9767|-256.5292,0.636179,0.636179,230.0365,186.1977,-0.629584,0.520505,0.789842,-0.629584,0.520505,0.789842,437.2322,334.7647,514.2546,-0.038308,0.533333,0,324.1591
MICROCHIP_RECTANGLE,MICROCHIP,table_only,9080.6667|8812.5000|8995.6667|8746.6667|8677.1667,0.0000|-268.1667|-85.0000|-334.0000|-403.5000,9021.7246|8962.3965|8721.3710|8414.6214|8542.0832,0.0000|-59.3281|-300.3536|-607.1032|-479.6413,0.686908,0.686908,190.0526,-58.9421,0.445392,0.750791,-0.157217,0.445392,0.750791,-0.157217,734.3392,597.5812,555.4419,-0.058446,0.533333,0,607.1032
PANEL_1X4,PANEL,table_only,9939.6667|9551.8334|9514.3334|9401.3334|9669.8334,0.0000|-387.8333|-425.3333|-538.3333|-269.8333,9670.7184|9488.4390|9244.4338|9084.0551|9500.2568,0.0000|-182.2794|-426.2846|-586.6633|-170.4617,0.898792,0.898792,217.8194,-268.9483,0.164583,0.608495,0.193868,0.164583,0.608495,0.193868,422.5134,626.0509,1077.6121,-0.078529,0.533333,2,586.6633
MICROCHIP_SQUARE,MICROCHIP,table_only,12789.5000|12712.1667|13059.6667|14084.8333|13994.8333,0.0000|-77.3333|270.1667|1295.3333|1205.3333,12763.9993|13500.7007|13944.1444|13854.3578|13910.5393,0.0000|736.7014|1180.1451|1090.3584|1146.5399,0.620936,0.620936,402.6564,-25.5007,0.690887,0.836462,-0.881117,0.690887,0.836462,-0.881117,2059.7393,1256.041,1603.3432,-0.090633,0.6,1,1180.1451
ROBOT_DISHES,ROBOT,table_only,10015.6667|9889.6667|9780.5000|10056.6667|10421.1667,0.0000|-126.0000|-235.1667|41.0000|405.5000,9908.9288|9905.7796|9995.2618|9999.3242|10282.2800,0.0000|-3.1492|86.3330|90.3954|373.3512,0.839978,0.839978,106.7683,-106.7379,0.937766,-0.665321,0.786796,0.937766,-0.665321,0.786796,560.0493,267.9881,605.3977,-0.111445,0.533333,0,373.3512
TRANSLATOR_VOID_BLUE,TRANSLATOR,table_only,10596.3333|10774.5000|10616.1666|10810.5000|11105.5000,0.0000|178.1667|19.8333|214.1667|509.1667,10710.7333|10726.0978|10829.9066|11053.9273|10972.2316,0.0000|15.3645|119.1733|343.1940|261.4983,0.610786,0.610786,150.6476,114.4,0.901741,-0.64846,0.182941,0.901741,-0.64846,0.182941,592.2107,483.4568,457.7233,-0.207368,0.466667,1,343.194
SLEEP_POD_SUEDE,SLEEP_POD,table_only,11074.5000|11265.0000|11010.5000|11444.5000|11677.5000,0.0000|190.5000|-64.0000|370.0000|603.0000,11243.8098|11257.6710|11390.4435|11354.2057|11740.9722,0.0000|13.8612|146.6337|110.3958|497.1623,0.747082,0.747082,142.0698,169.3098,0.848686,0.540044,-0.807333,0.848686,0.540044,-0.807333,1039.494,604.7903,743.7649,-0.213017,0.4,0,497.1623
PANEL_1X2,PANEL,table_only,9092.6667|8701.6667|8753.1667|8683.5000|8993.6667,0.0000|-391.0000|-339.5000|-409.1667|-99.0000,8806.0752|8950.7871|8766.9262|9035.1275|9054.7292,0.0000|144.7119|-39.1490|229.0523|248.6540,-0.175611,-0.175611,192.4323,-286.5915,0.182909,-0.06761,-0.323868,0.182909,-0.06761,-0.323868,475.2527,564.0058,572.2436,-0.229988,0.466667,0,248.654
PEBBLES_M,PEBBLES,table_only,10028.6667|9692.6667|9999.8334|10450.1667|10258.5000,0.0000|-336.0000|-28.8333|421.5000|229.8333,9910.1434|10123.4307|10465.7237|10315.1178|10501.8003,0.0000|213.2872|555.5803|404.9744|591.6568,0.415943,0.415943,278.7053,-118.5233,-0.704648,0.418836,0.624413,-0.704648,0.418836,0.624413,486.5677,529.1862,785.8239,-0.288755,0.4,0,591.6568
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,table_only,10888.3333|10733.1666|10596.6666|10913.6666|10768.3333,0.0000|-155.1667|-291.6667|25.3333|-120.0000,10844.0521|10569.0006|10744.4850|10766.0537|10909.7746,0.0000|-275.0515|-99.5671|-77.9984|65.7225,0.303338,0.303338,129.064,-44.2812,0.265336,0.301494,-0.247888,0.265336,0.301494,-0.247888,766.7809,835.2399,312.3613,-0.305774,0.533333,1,275.0515
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,table_only,9939.6667|9878.8334|9688.6667|9635.0000|9991.8334,0.0000|-60.8333|-251.0000|-304.6667|52.1667,9853.6406|9710.9021|9619.8293|10004.2175|10003.3810,0.0000|-142.7385|-233.8113|150.5769|149.7404,0.191181,0.191181,140.712,-86.0261,0.778227,-0.507285,0.081983,0.778227,-0.507285,0.081983,100.7386,438.6505,577.689,-0.32145,0.533333,0,233.8113
TRANSLATOR_SPACE_GRAY,TRANSLATOR,table_only,9869.3333|9571.8333|9306.6666|9396.5000|9349.6666,0.0000|-297.5000|-562.6667|-472.8333|-519.6667,9638.5214|9459.6180|9422.3069|9269.2189|9369.8442,0.0000|-178.9034|-216.2145|-369.3025|-268.6772,0.849139,0.849139,121.2252,-230.8119,0.841453,-0.862074,0.839516,0.841453,-0.862074,0.839516,225.6678,479.1731,522.3701,-0.339619,0.533333,0,369.3025
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,table_only,10178.3333|10402.0000|10334.6666|10035.8333|10028.6666,0.0000|223.6667|156.3333|-142.5000|-149.6667,10345.5987|10145.5233|9996.1620|9761.5266|9753.4561,0.0000|-200.0754|-349.4367|-584.0722|-592.1427,0.594799,0.594799,262.3528,167.2654,-0.816801,0.594597,0.734223,-0.816801,0.594597,0.734223,388.3437,613.3148,689.922,-0.343988,0.4,0,592.1427
SLEEP_POD_NYLON,SLEEP_POD,table_only,9529.0000|9453.3333|9608.5000|9747.5000|9771.0000,0.0000|-75.6667|79.5000|218.5000|242.0000,9456.9774|9548.9939|9655.0688|9769.9080|9751.4147,0.0000|92.0165|198.0914|312.9306|294.4372,0.888864,0.888864,51.2491,-72.0226,-0.885109,0.756988,0.906297,-0.885109,0.756988,0.906297,317.1988,397.4678,551.9639,-0.364904,0.533333,0,312.9306
MICROCHIP_CIRCLE,MICROCHIP,table_only,9140.8333|8986.6666|9109.0000|9147.6666|9268.1666,0.0000|-154.1667|-31.8333|6.8333|127.3333,9079.4713|9028.8758|9180.3290|9384.8514|9400.8989,0.0000|-50.5954|100.8577|305.3802|321.4277,0.791392,0.791392,108.9635,-61.362,-0.044638,-0.423488,0.676828,-0.044638,-0.423488,0.676828,165.015,259.7165,630.9597,-0.375559,0.333333,0,321.4277
ROBOT_LAUNDRY,ROBOT,table_only,9903.5000|9843.5000|9835.0000|9928.1667|9664.0000,0.0000|-60.0000|-68.5000|24.6667|-239.5000,9832.0627|9792.6883|9910.7164|9871.3347|9707.0064,0.0000|-39.3743|78.6537|39.2720|-125.0563,0.764047,0.764047,59.5608,-71.4373,0.071925,0.839101,-0.709739,0.071925,0.839101,-0.709739,438.7412,329.8194,804.7755,-0.389097,0.4,0,125.0563
SNACKPACK_PISTACHIO,SNACKPACK,v7_free_alpha,9634.8333|9593.5000|9612.3333|9391.0000|9336.6666,0.0000|-41.3333|-22.5000|-243.8333|-298.1667,9605.8713|9583.6563|9472.9272|9447.2593|9369.5055,0.0000|-22.2150|-132.9442|-158.6121|-236.3658,0.849522,0.849522,53.462,-28.962,0.492844,0.873222,0.725195,0.492844,0.873222,0.725195,161.1536,48.845,169.1363,0.55309,0.6,1,236.3658
SNACKPACK_VANILLA,SNACKPACK,v7_free_alpha,10023.0000|10046.1667|9996.8333|9949.0000|10132.3333,0.0000|23.1667|-26.1667|-74.0000|109.3333,10010.7353|10030.7095|10027.5607|10263.7712|10153.7356,0.0000|19.9742|16.8253|253.0359|143.0003,-0.197818,-0.197818,78.9246,-12.2647,-0.279263,-0.042942,-0.113787,-0.279263,-0.042942,-0.113787,125.1063,113.3577,187.7162,0.323556,0.466667,1,253.0359
SLEEP_POD_LAMB_WOOL,SLEEP_POD,v7_free_alpha,10396.3333|10428.3333|10604.0000|10853.8333|10668.3333,0.0000|32.0000|207.6667|457.5000|272.0000,10456.6265|10779.0487|10859.9924|10623.1358|10788.4052,0.0000|322.4222|403.3659|166.5093|331.7787,0.192144,0.192144,203.5541,60.2932,-0.713668,0.61244,0.793195,-0.713668,0.61244,0.793195,431.455,190.8109,268.9692,-0.03253,0.666667,2,403.3659
ROBOT_VACUUMING,ROBOT,v7_free_alpha,9550.5000|9295.1667|9110.5000|9227.6667|8980.0000,0.0000|-255.3333|-440.0000|-322.8333|-570.5000,9340.9276|9204.5824|9195.4126|9067.3907|9025.5657,0.0000|-136.3452|-145.5150|-273.5369|-315.3619,0.844265,0.844265,118.1822,-209.5724,-0.621348,0.907268,0.623526,-0.621348,0.907268,0.623526,514.369,185.344,604.6217,-0.085278,0.533333,0,315.3619
UV_VISOR_MAGENTA,UV_VISOR,v7_free_alpha,10969.6667|10874.0000|10981.8334|10800.1667|11471.1667,0.0000|-95.6667|12.1667|-169.5000|501.5000,10957.0923|11001.1262|10988.1374|11273.1344|11339.4742,0.0000|44.0339|31.0452|316.0422|382.3820,0.506581,0.506581,150.133,-12.5744,0.423428,0.119507,0.248503,0.423428,0.119507,0.248503,649.973,341.9061,558.7005,-0.127568,0.533333,1,382.382
SNACKPACK_RASPBERRY,SNACKPACK,v7_free_alpha,10120.3333|10122.8333|10041.0000|10173.5000|10223.5000,0.0000|2.5000|-79.3333|53.1667|103.1667,10094.6644|9970.1894|10093.0972|10066.7449|10164.3643,0.0000|-124.4750|-1.5672|-27.9195|69.6999,0.359113,0.359113,79.2602,-25.6689,-0.110836,-0.022177,0.549304,-0.110836,-0.022177,0.549304,88.3069,104.3413,112.4366,-0.151576,0.6,1,124.475
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,v7_free_alpha,9954.0000|9995.5000|9976.3333|9673.5000|9865.8333,0.0000|41.5000|22.3333|-280.5000|-88.1667,9991.3426|9844.8409|9674.1264|9725.0982|9833.3013,0.0000|-146.5017|-317.2162|-266.2444|-158.0412,0.327989,0.327989,114.8677,37.3426,-0.50166,0.695834,0.649197,-0.50166,0.695834,0.649197,430.9653,192.4497,106.3169,-0.155672,0.533333,1,317.2162
PEBBLES_L,PEBBLES,v7_free_alpha,10381.6667|10354.6667|10540.8334|10149.8334|10084.6667,0.0000|-27.0000|159.1667|-231.8333|-297.0000,10439.1211|10460.9697|10253.6089|9780.1862|9936.6671,0.0000|21.8486|-185.5122|-658.9349|-502.4540,0.741477,0.741477,193.7257,57.4544,0.7853,-0.905851,0.880385,0.7853,-0.905851,0.880385,439.5232,414.4028,532.9748,-0.165297,0.533333,0,658.9349
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,v7_free_alpha,10115.8333|10110.3333|10573.3333|10421.3333|10199.3333,0.0000|-5.5000|457.5000|305.5000|83.5000,10198.5623|10561.8538|10390.6829|10596.1658|10440.4550,0.0000|363.2915|192.1206|397.6034|241.8927,0.205024,0.205024,226.5708,82.729,-0.21673,0.449264,-0.234838,-0.21673,0.449264,-0.234838,407.3775,331.0951,652.1635,-0.185036,0.533333,1,397.6034
ROBOT_MOPPING,ROBOT,v7_free_alpha,10661.5000|10781.5000|10654.1667|11053.5000|11191.6667,0.0000|120.0000|-7.3333|392.0000|530.1667,10712.5777|10863.1826|11089.5264|11521.5208|11314.2588,0.0000|150.6049|376.9487|808.9431|601.6811,0.787375,0.787375,231.7466,51.0777,0.460894,0.895401,-0.962733,0.460894,0.895401,-0.962733,329.1535,669.1814,881.5912,-0.197054,0.6,1,808.9431
SLEEP_POD_COTTON,SLEEP_POD,v7_free_alpha,11105.1667|11370.5000|11382.5000|11568.5000|11576.6667,0.0000|265.3333|277.3333|463.3333|471.5000,11295.7193|11457.2350|11635.6850|11752.0465|11497.3840,0.0000|161.5157|339.9657|456.3272|201.6647,0.753581,0.753581,158.6604,190.5526,0.925959,0.851244,-0.623093,0.925959,0.851244,-0.623093,663.0837,231.7508,1109.0629,-0.205002,0.6,1,456.3272
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,v7_free_alpha,10660.5000|10950.5000|11146.0000|11198.3333|10937.8333,0.0000|290.0000|485.5000|537.8333|277.3333,10869.2748|11146.9317|11177.1431|11282.7624|10986.7465,0.0000|277.6568|307.8683|413.4876|117.4717,0.933705,0.933705,113.9384,208.7748,0.985289,-0.625459,0.856029,0.985289,-0.625459,0.856029,225.1419,469.808,121.5902,-0.229764,0.6,1,413.4876
UV_VISOR_YELLOW,UV_VISOR,v7_free_alpha,11211.6667|11155.6667|10910.5000|10720.5000|11227.6667,0.0000|-56.0000|-301.1667|-491.1667|16.0000,11072.5467|10873.8745|10802.3903|10969.6124|11068.8798,0.0000|-198.6722|-270.1564|-102.9343|-3.6670,0.446267,0.446267,187.3842,-139.12,-0.488615,0.461014,0.535854,-0.488615,0.461014,0.535854,688.4107,363.6386,608.154,-0.263002,0.466667,0,270.1564
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,v7_free_alpha,10428.5000|10227.0000|10082.3333|9990.0000|10517.8333,0.0000|-201.5000|-346.1667|-438.5000|89.3333,10225.9532|10098.7792|10143.5478|10277.2135|10387.8154,0.0000|-127.1740|-82.4053|51.2603|161.8623,0.459736,0.459736,161.8427,-202.5468,-0.272994,0.451184,0.326286,-0.272994,0.451184,0.326286,315.2618,259.8757,174.7621,-0.263051,0.533333,0,161.8623
SLEEP_POD_POLYESTER,SLEEP_POD,v7_free_alpha,11555.5000|11492.3333|11994.6667|11627.0000|12211.1667,0.0000|-63.1667|439.1667|71.5000|655.6667,11582.0872|11786.5951|11738.4840|11925.1243|12170.5143,0.0000|204.5079|156.3968|343.0371|588.4271,0.655556,0.655556,183.1617,26.5872,0.649819,0.750659,-0.779103,0.649819,0.750659,-0.779103,1079.3498,307.3656,1033.4109,-0.32224,0.6,1,588.4271
PANEL_2X2,PANEL,v7_free_alpha,9762.1667|9531.0000|9345.0000|9876.8334|9570.1667,0.0000|-231.1667|-417.1667|114.6667|-192.0000,9509.0035|9560.3283|9677.8407|9674.0309|9461.7888,0.0000|51.3247|168.8372|165.0274|-47.2147,-0.065216,-0.065216,185.3025,-253.1632,-0.531231,0.004783,0.218177,-0.531231,0.004783,0.218177,246.7825,605.4183,861.1919,-0.322676,0.4,0,168.8372
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,v7_free_alpha,10130.3333|10458.0000|10441.3333|9981.5000|10060.3333,0.0000|327.6667|311.0000|-148.8333|-70.0000,10308.3796|10146.6874|10038.4460|9951.5022|9978.1832,0.0000|-161.6922|-269.9336|-356.8773|-330.1964,0.257386,0.257386,200.8788,178.0463,0.408779,-0.366994,0.281685,0.408779,-0.366994,0.281685,426.1513,456.1158,373.8161,-0.345246,0.533333,0,356.8773
