product,pub_base,est_base,base_err,pub_d1,est_d1,d1_err,pub_d2,est_d2,d2_err,pub_d3,est_d3,d3_err,pub_d4,est_d4,d4_err,max_abs_err
OXYGEN_SHAKE_EVENING_BREATH,9286.6667,9284.0,-2.6667,136.6667,304.1132,167.4465,160.0,-58.9627,-218.9627,53.3333,-201.2033,-254.5366,-193.3333,-220.222,-26.8887,254.5366
UV_VISOR_AMBER,8627.3333,8615.5,-11.8333,-410.3333,-611.5829,-201.2496,-487.1667,-721.0665,-233.8998,-629.5,-899.335,-269.835,-954.5,-928.295,26.205,269.835
SNACKPACK_STRAWBERRY,10413.8333,10412.82,-1.0133,89.3333,363.2797,273.9464,260.1667,277.4364,17.2697,178.1667,374.6395,196.4728,297.0,342.2363,45.2363,273.9464
PANEL_1X4,9939.6667,9901.82,-37.8467,-387.8333,-413.381,-25.5477,-425.3333,-657.3862,-232.0529,-538.3333,-817.7649,-279.4316,-269.8333,-401.5632,-131.7299,279.4316
UV_VISOR_YELLOW,11211.6667,11178.8833,-32.7834,-56.0,-305.0088,-249.0088,-301.1667,-376.493,-75.3263,-491.1667,-209.2709,281.8958,16.0,-110.0036,-126.0036,281.8958
TRANSLATOR_ASTRO_BLACK,9774.5,9747.7933,-26.7067,-53.0,-337.6918,-284.6918,-237.3333,-396.9533,-159.62,-417.5,-409.6257,7.8743,-352.6667,-579.0297,-226.363,284.6918
TRANSLATOR_ECLIPSE_CHARCOAL,9954.0,9939.2633,-14.7367,41.5,-94.4224,-135.9224,22.3333,-265.1369,-287.4702,-280.5,-214.1652,66.3348,-88.1667,-105.962,-17.7953,287.4702
UV_VISOR_RED,10624.5,10625.5567,1.0567,323.1667,496.3952,173.2285,487.6667,574.2807,86.614,637.8333,341.0423,-296.791,574.0,519.0219,-54.9781,296.791
MICROCHIP_RECTANGLE,9080.6667,9052.3933,-28.2734,-268.1667,-89.9968,178.1699,-85.0,-331.0223,-246.0223,-334.0,-637.7719,-303.7719,-403.5,-510.3101,-106.8101,303.7719
UV_VISOR_ORANGE,10152.0,10161.5233,9.5233,164.8333,472.6102,307.7769,314.0,500.8335,186.8335,558.3333,254.6511,-303.6822,-226.5,-79.8547,146.6453,307.7769
SNACKPACK_VANILLA,10023.0,10026.8667,3.8667,23.1667,3.8428,-19.3239,-26.1667,0.694,26.8607,-74.0,236.9046,310.9046,109.3333,126.8689,17.5356,310.9046
GALAXY_SOUNDS_BLACK_HOLES,11193.8333,11145.84,-47.9933,-68.0,147.8723,215.8723,241.3333,194.5165,-46.8168,36.3333,352.7383,316.405,1151.8333,935.5185,-216.3148,316.405
GALAXY_SOUNDS_DARK_MATTER,10428.5,10396.75,-31.75,-201.5,-297.9708,-96.4708,-346.1667,-253.2022,92.9645,-438.5,-119.5365,318.9635,89.3333,-8.9346,-98.2679,318.9635
PEBBLES_L,10381.6667,10336.0233,-45.6434,-27.0,124.9463,151.9463,159.1667,-82.4144,-241.5811,-231.8333,-555.8372,-324.0039,-297.0,-399.3562,-102.3562,324.0039
SLEEP_POD_POLYESTER,11555.5,11527.64,-27.86,-63.1667,258.9551,322.1218,439.1667,210.844,-228.3227,71.5,397.4843,325.9843,655.6667,642.8743,-12.7924,325.9843
OXYGEN_SHAKE_CHOCOLATE,9599.6667,9613.7933,14.1266,-51.3333,-389.4575,-338.1242,-327.3333,-153.8772,173.4561,-100.1667,173.9728,274.1395,240.6667,206.8651,-33.8016,338.1242
OXYGEN_SHAKE_MORNING_BREATH,10178.3333,10178.1633,-0.17,223.6667,-32.64,-256.3067,156.3333,-182.0013,-338.3346,-142.5,-416.6367,-274.1367,-149.6667,-424.7073,-275.0406,338.3346
PANEL_1X2,9092.6667,9099.56,6.8933,-391.0,-148.7729,242.2271,-339.5,-332.6338,6.8662,-409.1667,-64.4325,344.7342,-99.0,-44.8308,54.1692,344.7342
SLEEP_POD_LAMB_WOOL,10396.3333,10401.3867,5.0534,32.0,377.662,345.662,207.6667,458.6057,250.939,457.5,221.7492,-235.7508,272.0,387.0185,115.0185,345.662
PANEL_2X2,9762.1667,9737.8433,-24.3234,-231.1667,-177.5151,53.6516,-417.1667,-60.0027,357.164,114.6667,-63.8124,-178.4791,-192.0,-276.0545,-84.0545,357.164
OXYGEN_SHAKE_MINT,9939.6667,9941.7867,2.12,-60.8333,-230.8846,-170.0513,-251.0,-321.9574,-70.9574,-304.6667,62.4308,367.0975,52.1667,61.5943,9.4276,367.0975
SLEEP_POD_SUEDE,11074.5,11084.8667,10.3667,190.5,172.8043,-17.6957,-64.0,305.5768,369.5768,370.0,269.339,-100.661,603.0,656.1055,53.1055,369.5768
GALAXY_SOUNDS_SOLAR_WINDS,10115.8333,10155.2133,39.38,-5.5,406.6405,412.1405,457.5,235.4696,-222.0304,305.5,440.9524,135.4524,83.5,285.2417,201.7417,412.1405
PANEL_2X4,10726.6667,10720.9667,-5.7,-52.3333,301.6528,353.9861,181.8333,596.6,414.7667,531.1667,921.4232,390.2565,790.1667,872.0543,81.8876,414.7667
TRANSLATOR_GRAPHITE_MIST,10130.3333,10143.8567,13.5234,327.6667,2.8308,-324.8359,311.0,-105.4107,-416.4107,-148.8333,-192.3544,-43.5211,-70.0,-165.6735,-95.6735,416.4107
PEBBLES_M,10028.6667,10051.2367,22.57,-336.0,72.194,408.194,-28.8333,414.4871,443.3204,421.5,263.8812,-157.6188,229.8333,450.5636,220.7303,443.3204
MICROCHIP_OVAL,8889.6667,8923.8533,34.1866,-186.0,-477.7528,-291.7528,-385.1667,-834.6143,-449.4476,-686.8333,-1019.8304,-332.9971,-1488.5,-1186.4176,302.0824,449.4476
ROBOT_MOPPING,10661.5,10663.1533,1.6533,120.0,200.0292,80.0292,-7.3333,426.3731,433.7064,392.0,858.3674,466.3674,530.1667,651.1054,120.9387,466.3674
UV_VISOR_MAGENTA,10969.6667,10956.0167,-13.65,-95.6667,45.1095,140.7762,12.1667,32.1208,19.9541,-169.5,317.1177,486.6177,501.5,383.4576,-118.0424,486.6177
ROBOT_IRONING,9000.0,9027.7333,27.7333,170.0,-82.69,-252.69,176.6667,-356.9055,-533.5722,-310.0,-653.4909,-343.4909,-720.0,-638.8756,81.1244,533.5722
PANEL_4X4,9977.8333,9982.1733,4.34,402.5,22.7056,-379.7944,233.3333,-327.3605,-560.6938,-322.3333,-304.827,17.5063,-291.6667,-75.5976,216.0691,560.6938
OXYGEN_SHAKE_GARLIC,11250.3333,11243.07,-7.2633,80.8333,407.4601,326.6268,134.1667,801.664,667.4973,837.6667,921.1056,83.4389,1299.3333,1258.6888,-40.6445,667.4973
PEBBLES_XS,8308.1667,8248.2667,-59.9,0.8333,-546.5559,-547.3892,-217.8333,-1015.2942,-797.4609,-1030.6667,-1372.4593,-341.7926,-1326.1667,-1326.943,-0.7763,797.4609
MICROCHIP_SQUARE,12789.5,12772.2133,-17.2867,-77.3333,728.4874,805.8207,270.1667,1171.9311,901.7644,1295.3333,1082.1444,-213.1889,1205.3333,1138.3259,-67.0074,901.7644
PEBBLES_XL,11894.3333,11980.2867,85.9534,551.5,613.0479,61.5479,302.1667,1136.3265,834.1598,1300.0,2245.876,945.876,2045.3333,2147.4915,102.1582,945.876
