product,group,method,n_buckets,cross_day_shape_corr_mean,rank_corr_mean,sign_consistency,bucket_std_mean,bucket_std_max,max_abs_avg_delta,max_delta_over_spread,max_delta_over_realized_vol,one_day_overfit_score,all_days_same_sign_buckets,median_spread,mean_realized_vol,avg_path,day2_path,day3_path,day4_path
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,bucket0,5,0.182536,0.2,0.4,536.8767,890.7941,328.9393,27.4116,30.4263,0.236055,0,12.0,10.811016,0.0000|-267.3833|-31.8030|296.0469|328.9393,0.0000|-600.4167|-676.6588|-383.9672|-360.0448,0.0000|-423.5428|-321.7095|-282.3450|-46.6255,0.0000|221.8095|902.9592|1554.4530|1393.4880
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,bucket0,5,0.062844,0.066667,0.466667,479.2065,850.946,335.9718,27.9977,30.7258,0.225595,0,12.0,10.934507,0.0000|188.3633|-174.7125|-316.9532|-335.9718,0.0000|-320.5445|-929.4015|-1167.9950|-1489.2670,0.0000|494.5010|398.1480|318.6930|538.3270,0.0000|391.1335|7.1160|-101.5575|-56.9755
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,bucket0,5,0.321172,0.433333,0.6,568.9204,893.2027,1234.7585,82.3172,102.9652,0.665263,1,15.0,11.991996,0.0000|383.5297|777.7337|897.1752|1234.7585,0.0000|925.8020|1619.4658|1405.4027|1710.8145,0.0000|-265.6712|-458.8112|-65.3167|137.4162,0.0000|490.4585|1172.5465|1351.4398|1856.0448
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,bucket0,5,-0.32145,-0.266667,0.533333,234.7561,368.5228,233.8113,17.9855,23.6696,0.376641,0,13.0,9.878141,0.0000|-142.7385|-233.8113|150.5769|149.7404,0.0000|-193.5965|-309.7683|-157.6870|164.1082,0.0000|331.8827|229.1153|128.4255|-93.4260,0.0000|-566.5018|-620.7810|480.9923|378.5390
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,bucket0,5,-0.343988,-0.4,0.4,533.1523,985.6165,592.1427,45.5494,58.6878,0.298669,0,13.0,10.089701,0.0000|-200.0754|-349.4368|-584.0722|-592.1427,0.0000|11.4360|-162.7258|200.7520|187.4398,0.0000|-691.5720|-1031.8892|-1736.8212|-1982.6077,0.0000|79.9098|146.3048|-216.1473|18.7400
PANEL_1X2,PANEL,bucket0,5,-0.229988,-0.266667,0.466667,471.461,884.9851,248.654,20.7212,27.5012,0.243778,0,12.0,9.041581,0.0000|144.7119|-39.1490|229.0523|248.6540,0.0000|-144.9903|-852.1930|-668.1505|-990.5800,0.0000|164.6803|203.0865|487.4773|716.5400,0.0000|414.4457|531.6595|867.8302|1020.0020
PANEL_1X4,PANEL,bucket0,5,-0.078529,0.0,0.533333,476.0755,1086.4456,586.6633,73.3329,62.0338,0.305622,2,8.0,9.457153,0.0000|-182.2794|-426.2846|-586.6633|-170.4617,0.0000|-138.8705|-179.3233|77.1778|848.9098,0.0000|-267.9845|-834.5785|-1919.5722|-1675.7415,0.0000|-139.9832|-264.9520|82.4045|315.4468
PANEL_2X2,PANEL,bucket0,5,-0.322676,-0.2,0.4,230.0405,364.2225,168.8372,18.7597,17.6237,0.318367,0,9.0,9.580099,0.0000|51.3247|168.8372|165.0274|-47.2147,0.0000|-45.6030|172.8235|17.6825|192.0373,0.0000|328.9710|530.3220|570.0367|-561.8797,0.0000|-129.3938|-196.6340|-92.6370|228.1985
PANEL_2X4,PANEL,bucket0,5,0.812904,0.833333,0.8,167.9257,257.2503,891.1221,89.1122,79.0287,0.839851,4,10.0,11.275924,0.0000|271.3517|566.2988|891.1221|841.7532,0.0000|139.7320|296.3270|892.4642|1023.0187,0.0000|69.5010|607.9500|719.8547|477.9470,0.0000|604.8220|794.6195|1061.0473|1024.2938
PANEL_4X4,PANEL,bucket0,5,0.068101,0.166667,0.666667,377.4082,759.0954,495.1697,55.0189,49.7429,0.511705,2,9.0,9.954581,0.0000|-145.1036|-495.1697|-472.6362|-243.4067,0.0000|24.8825|-375.8460|-58.9625|-74.2885,0.0000|-93.0152|-141.9770|-15.2220|590.1235,0.0000|-367.1780|-967.6860|-1343.7240|-1246.0552
PEBBLES_L,PEBBLES,bucket0,5,-0.165297,-0.333333,0.533333,350.7388,926.3538,658.9349,50.6873,43.8568,0.637153,0,13.0,15.024692,0.0000|21.8486|-185.5122|-658.9349|-502.4540,0.0000|-70.0215|13.1095|-1034.1868|-478.3680,0.0000|18.0517|-500.5955|84.1135|619.8582,0.0000|117.5155|-69.0505|-1026.7315|-1648.8522
PEBBLES_M,PEBBLES,bucket0,5,-0.288755,-0.4,0.4,673.3696,1103.301,591.6568,45.5121,39.0978,0.275146,0,13.0,15.132741,0.0000|213.2872|555.5803|404.9744|591.6568,0.0000|277.4733|436.8815|-98.5048|-249.2773,0.0000|1088.4250|1473.5973|1555.0218|2150.3382,0.0000|-726.0365|-243.7378|-241.5938|-126.0905
PEBBLES_S,PEBBLES,bucket0,5,0.369825,0.266667,0.666667,314.6838,530.5416,782.889,65.2408,52.1244,0.657397,2,12.0,15.019625,0.0000|-174.7283|-364.3448|-492.6096|-782.8890,0.0000|-783.7410|-526.9003|-740.9445|-1190.8920,0.0000|320.3445|-80.1690|244.7127|-269.7065,0.0000|-60.7885|-485.9653|-981.5970|-888.0685
PEBBLES_XL,PEBBLES,bucket0,5,0.031966,-0.1,0.6,1025.3629,2076.6049,2162.1047,127.1826,71.3269,0.608815,1,17.0,30.312633,0.0000|529.2766|1052.5552|2162.1047|2063.7202,0.0000|1110.5590|1048.9607|3095.1710|3637.7250,0.0000|-675.2690|386.0655|-160.1880|-870.4462,0.0000|1152.5397|1722.6392|3551.3310|3423.8818
PEBBLES_XS,PEBBLES,bucket0,5,0.87608,0.833333,0.8,185.2132,432.2614,1415.5773,157.2864,94.047,0.821258,4,9.0,15.051811,0.0000|-589.6738|-1058.4121|-1415.5773|-1370.0609,0.0000|-534.1545|-972.2415|-1221.5565|-1719.1990,0.0000|-751.5740|-1278.9362|-1723.6700|-1630.0628,0.0000|-483.2930|-924.0585|-1301.5052|-760.9210
ROBOT_DISHES,ROBOT,bucket0,5,-0.111445,-0.266667,0.533333,201.634,381.3042,373.3512,53.3359,23.7609,0.490604,0,7.0,15.712819,0.0000|-3.1492|86.3330|90.3954|373.3512,0.0000|-260.0202|-105.7140|89.2865|504.1530,0.0000|-54.0172|191.5582|-224.5060|-145.1033,0.0000|304.5897|173.1548|406.4058|761.0037
ROBOT_IRONING,ROBOT,bucket0,5,0.377373,0.466667,0.733333,318.9583,516.8856,754.6376,125.7729,73.0465,0.736501,3,6.0,10.330918,0.0000|-183.8367|-458.0522|-754.6376|-740.0222,0.0000|-676.1437|-1039.6768|-885.3062|-424.3933,0.0000|-111.8930|-212.0228|-1024.6253|-1468.8357,0.0000|236.5267|-122.4570|-353.9812|-326.8378
ROBOT_LAUNDRY,ROBOT,bucket0,5,-0.389097,-0.366667,0.4,222.3298,408.3685,125.0563,17.8652,12.7537,0.178016,0,7.0,9.805469,0.0000|-39.3743|78.6538|39.2720|-125.0563,0.0000|53.9622|590.5778|355.7210|155.4680,0.0000|-78.9935|-342.0815|-257.8263|-702.4990,0.0000|-93.0918|-12.5350|19.9213|171.8622
ROBOT_MOPPING,ROBOT,bucket0,5,-0.197054,-0.266667,0.6,543.1265,1186.8256,808.9431,101.1179,72.6544,0.39624,1,8.0,11.13412,0.0000|150.6049|376.9488|808.9431|601.6811,0.0000|177.3270|6.0055|638.4747|57.1025,0.0000|340.7840|959.4512|2041.5477|2248.8915,0.0000|-66.2963|165.3895|-253.1933|-500.9508
ROBOT_VACUUMING,ROBOT,bucket0,5,-0.085278,-0.133333,0.533333,326.8677,486.566,315.3619,45.0517,34.1901,0.325162,0,7.0,9.223777,0.0000|-136.3452|-145.5150|-273.5369|-315.3619,0.0000|54.2260|336.0077|233.6530|131.9590,0.0000|-454.6025|-743.2455|-929.8582|-969.8613,0.0000|-8.6590|-29.3072|-124.4055|-108.1835
SLEEP_POD_COTTON,SLEEP_POD,bucket0,5,-0.205002,-0.233333,0.6,380.6186,970.3406,456.3272,45.6327,39.1706,0.464467,1,10.0,11.649723,0.0000|161.5157|339.9657|456.3272|201.6647,0.0000|177.0542|509.4470|982.4742|845.9517,0.0000|-43.6707|380.9850|790.5103|928.8122,0.0000|351.1635|129.4650|-404.0030|-1169.7700
SLEEP_POD_LAMB_WOOL,SLEEP_POD,bucket0,5,-0.03253,0.166667,0.666667,260.536,376.7408,403.3659,40.3366,37.6611,0.614263,2,10.0,10.710418,0.0000|322.4222|403.3659|166.5093|331.7787,0.0000|758.2635|61.2152|-332.1055|-200.7663,0.0000|80.8563|492.2158|295.2035|612.1002,0.0000|128.1467|656.6667|536.4300|584.0020
SLEEP_POD_NYLON,SLEEP_POD,bucket0,5,-0.364904,-0.366667,0.533333,379.9644,670.0497,312.9306,34.7701,32.5506,0.393476,0,9.0,9.613675,0.0000|92.0165|198.0914|312.9306|294.4373,0.0000|-199.8410|-305.9053|-531.4312|-653.0697,0.0000|311.7702|712.2023|674.9253|757.1115,0.0000|164.1202|187.9772|795.2977|779.2700
SLEEP_POD_POLYESTER,SLEEP_POD,bucket0,5,-0.32224,-0.233333,0.6,338.7222,913.6302,588.4271,53.4934,49.6028,0.411132,1,11.0,11.862789,0.0000|204.5079|156.3968|343.0371|588.4271,0.0000|327.1818|386.1698|994.5910|1431.2375,0.0000|201.0910|131.3193|264.2685|1015.1570,0.0000|85.2510|-48.2985|-229.7483|-681.1132
SLEEP_POD_SUEDE,SLEEP_POD,bucket0,5,-0.213017,-0.2,0.4,407.1267,589.0312,497.1623,49.7162,43.6294,0.530073,0,10.0,11.395115,0.0000|13.8612|146.6337|110.3958|497.1623,0.0000|-164.6302|-421.5485|-34.3580|888.9470,0.0000|540.2280|850.8692|831.8205|937.9138,0.0000|-334.0143|10.5802|-466.2750|-335.3737
SNACKPACK_CHOCOLATE,SNACKPACK,bucket0,5,0.200152,0.066667,0.466667,101.8905,251.8759,242.0813,14.2401,36.8157,0.83863,1,17.0,6.575484,0.0000|-52.7219|-60.5552|-242.0813|-138.6170,0.0000|1.9303|164.5093|-151.7255|13.8257,0.0000|11.2332|66.0185|-285.8558|-189.7583,0.0000|-171.3293|-412.1935|-288.6628|-239.9185
SNACKPACK_PISTACHIO,SNACKPACK,bucket0,5,0.55309,0.266667,0.6,65.0168,119.0769,236.3658,14.7729,45.1306,0.927886,1,16.0,5.23737,0.0000|-22.2150|-132.9442|-158.6121|-236.3658,0.0000|-132.1068|-249.5532|-190.7392|-218.8458,0.0000|-17.0790|-151.5355|-285.7088|-254.7357,0.0000|82.5408|2.2563|0.6118|-235.5160
SNACKPACK_RASPBERRY,SNACKPACK,bucket0,5,-0.151576,-0.133333,0.6,92.5314,141.8105,124.475,7.3221,15.3833,0.614011,1,17.0,8.091588,0.0000|-124.4750|-1.5672|-27.9195|69.6999,0.0000|-43.9382|-143.4253|-194.9472|-106.8183,0.0000|-126.7625|148.8512|139.4750|75.5192,0.0000|-202.7243|-10.1275|-28.2862|240.3988
SNACKPACK_STRAWBERRY,SNACKPACK,bucket0,5,0.167376,0.033333,0.666667,128.6858,246.0123,263.289,14.6272,32.3737,0.524466,2,18.0,8.132807,0.0000|251.9292|166.0859|263.2890|230.8858,0.0000|246.1865|339.5575|502.0135|577.7915,0.0000|221.0637|-50.9955|-3.1808|80.3550,0.0000|288.5375|209.6958|291.0342|34.5110
SNACKPACK_VANILLA,SNACKPACK,bucket0,5,0.323556,0.066667,0.466667,105.3609,252.6339,253.0359,14.8845,38.8515,0.802,1,17.0,6.512891,0.0000|19.9742|16.8253|253.0359|143.0002,0.0000|-43.6925|-244.7752|170.0093|-46.5947,0.0000|-15.3112|-63.1105|273.5922|180.1138,0.0000|118.9262|358.3617|315.5063|295.4817
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,bucket0,5,0.364825,0.033333,0.666667,253.6778,444.9476,489.4595,61.1824,51.858,0.702555,2,8.0,9.438451,0.0000|-248.1216|-307.3831|-320.0554|-489.4595,0.0000|-47.0265|-13.7930|62.4823|-311.3118,0.0000|-586.5060|-936.1753|-911.3555|-696.6845,0.0000|-110.8323|27.8190|-111.2930|-460.3822
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,bucket0,5,-0.155672,-0.266667,0.533333,231.8469,465.4929,317.2162,35.2462,32.186,0.688418,1,9.0,9.855715,0.0000|-146.5017|-317.2162|-266.2444|-158.0413,0.0000|-534.2853|-460.7903|17.7665|489.6988,0.0000|0.9567|-413.7255|-582.4235|-583.6470,0.0000|93.8235|-77.1328|-234.0762|-380.1755
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,bucket0,5,-0.345246,-0.266667,0.533333,471.4892,960.7192,356.8773,39.653,35.2525,0.301197,0,9.0,10.123448,0.0000|-161.6922|-269.9336|-356.8773|-330.1964,0.0000|-78.3697|-102.2850|-153.8173|-578.7235,0.0000|109.8688|271.3737|268.0480|950.8505,0.0000|-516.5755|-978.8895|-1184.8628|-1362.7162
TRANSLATOR_SPACE_GRAY,TRANSLATOR,bucket0,5,-0.339619,-0.333333,0.533333,475.3311,806.5564,369.3025,41.0336,39.2093,0.33817,0,9.0,9.418754,0.0000|-178.9034|-216.2145|-369.3025|-268.6773,0.0000|-87.9595|-509.5227|-701.3555|-438.8040,0.0000|146.2075|484.9930|685.5113|793.1627,0.0000|-594.9583|-624.1137|-1092.0632|-1160.3905
TRANSLATOR_VOID_BLUE,TRANSLATOR,bucket0,5,-0.207368,-0.133333,0.466667,294.8255,567.2013,343.194,34.3194,31.7104,0.607197,1,10.0,10.822759,0.0000|15.3645|119.1733|343.1940|261.4982,0.0000|-109.4718|-145.2188|390.3617|834.3765,0.0000|-218.3525|-244.8810|74.0100|-511.1855,0.0000|373.9178|747.6195|565.2102|461.3037
UV_VISOR_AMBER,UV_VISOR,bucket0,5,0.495856,0.6,0.8,196.6598,428.9024,569.5557,56.9556,71.5984,0.540633,4,10.0,7.95487,0.0000|-252.8436|-362.3272|-540.5957|-569.5557,0.0000|-415.9820|-542.9547|-939.1353|-1053.4972,0.0000|-243.7305|-341.0618|-394.5610|-644.2650,0.0000|-98.8183|-202.9650|-288.0908|-10.9047
UV_VISOR_MAGENTA,UV_VISOR,bucket0,5,-0.127568,-0.066667,0.533333,201.2056,371.9836,382.382,27.313,34.1674,0.547335,1,14.0,11.191436,0.0000|44.0339|31.0452|316.0422|382.3820,0.0000|-192.6440|-136.6825|686.1263|698.6255,0.0000|-114.2900|171.8498|454.7840|260.0775,0.0000|439.0358|57.9682|-192.7837|188.4430
UV_VISOR_ORANGE,UV_VISOR,bucket0,5,-0.038308,-0.1,0.533333,268.7915,507.1753,324.1591,24.9353,31.0068,0.473667,0,13.0,10.454438,0.0000|295.9357|324.1591|77.9767|-256.5292,0.0000|-41.5183|-393.0928|-341.2423|-162.1173,0.0000|441.1492|684.3600|230.9638|51.1823,0.0000|488.1762|681.2100|344.2085|-658.6525
UV_VISOR_RED,UV_VISOR,bucket0,5,-0.03008,0.233333,0.733333,140.2005,321.5679,316.3363,22.5955,28.7139,0.657676,3,14.0,11.016838,0.0000|238.4507|316.3363|83.0979|261.0775,0.0000|400.6405|480.9912|25.8032|96.9570,0.0000|231.5962|308.5030|-278.9552|314.6673,0.0000|83.1155|159.5147|502.4457|371.6082
UV_VISOR_YELLOW,UV_VISOR,bucket0,5,-0.263002,-0.333333,0.466667,816.2531,1406.4374,270.1564,19.2969,24.5629,0.20304,0,14.0,10.998565,0.0000|-198.6722|-270.1564|-102.9343|-3.6670,0.0000|291.9410|854.5480|1606.1082|1577.2035,0.0000|-210.2328|-334.4605|-76.2750|208.7440,0.0000|-677.7250|-1330.5567|-1838.6363|-1796.9485
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,day_mean,5,0.380852,0.066667,0.733333,215.407,428.8453,614.4864,43.8919,53.6789,0.756907,2,14.0,11.447458,-346.5173|-173.1598|-126.5156|31.7062|614.4864,-691.1103|-211.9416|-197.2181|288.4309|811.8389,257.9877|-187.6901|-278.2343|-38.0750|246.0117,-606.4294|-119.8477|95.9056|-155.2372|785.6086
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,day_mean,5,-0.263051,-0.333333,0.666667,210.6878,319.1837,161.1536,12.3964,15.7316,0.327535,0,13.0,10.243924,-0.7086|-127.8826|-83.1140|50.5517|161.1536,-309.1436|-213.2156|27.4562|266.1552|228.7477,-131.9177|-274.1294|-160.8484|74.8758|492.0196,438.9352|103.6970|-115.9497|-189.3760|-237.3065
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,day_mean,5,-0.305774,-0.3,0.666667,273.8495,494.9794,197.6726,14.1195,18.1996,0.795518,1,14.0,10.861377,77.3789|-197.6726|-22.1882|-0.6195|143.1014,283.0743|-202.3521|-441.4054|-350.0479|710.7311,-202.9367|-248.4829|-59.8867|297.2603|214.0461,151.9991|-142.1827|434.7276|50.9290|-495.4730
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,day_mean,5,-0.229764,-0.2,0.666667,315.6656,452.3988,223.2969,15.9498,20.1288,0.333947,1,14.0,11.093421,-223.2969|54.3600|84.5714|190.1907|-105.8252,-668.6593|-181.9571|327.0820|576.3872|-52.8528,298.7239|611.5637|-202.1208|-444.6499|-263.5168,-299.9552|-266.5267|128.7531|438.8348|-1.1059
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,day_mean,5,-0.185036,-0.233333,0.533333,303.0531,460.9092,238.9816,17.0701,22.6878,0.327748,0,14.0,10.533469,-238.9816|124.3099|-46.8610|158.6218|2.9110,151.5091|416.3091|47.9603|-126.6369|-489.1415,-729.1621|-284.1959|120.1104|274.0817|619.1659,-139.2919|240.8164|-308.6538|328.4207|-121.2913
MICROCHIP_CIRCLE,MICROCHIP,day_mean,5,-0.375559,-0.4,0.466667,368.6322,560.7648,186.0136,23.2517,20.1579,0.201218,0,8.0,9.227824,-135.4140|-186.0095|-34.5563|169.9661|186.0136,209.5864|64.2714|-256.5833|-7.5218|-9.7526,310.4842|-50.8310|162.3500|-65.3572|-356.6460,-926.3128|-571.4688|-9.4355|582.7775|924.4395
MICROCHIP_OVAL,MICROCHIP,day_mean,5,0.255387,0.4,0.866667,272.0447,385.7801,541.5967,67.6996,44.0848,0.638643,3,8.0,12.285351,541.5967|266.5018|-90.3597|-275.5758|-442.1630,38.6260|95.6840|-341.0115|260.7385|-54.0370,738.1217|470.7536|98.2144|-630.4201|-676.6696,848.0425|233.0677|-28.2821|-457.0458|-595.7823
MICROCHIP_RECTANGLE,MICROCHIP,day_mean,5,-0.058446,0.166667,0.866667,260.3057,538.2665,317.8179,39.7272,24.2599,0.59544,3,8.0,13.100535,289.2852|229.9571|-11.0684|-317.8179|-190.3561,442.6594|340.2677|-282.9153|-343.4608|-156.5511,858.3175|254.2995|-171.6715|-533.7531|-407.1923,-433.1212|95.3043|421.3818|-76.2399|-7.3250
MICROCHIP_SQUARE,MICROCHIP,day_mean,5,-0.090633,-0.133333,0.666667,500.0132,819.1012,830.749,69.2291,40.4431,0.533756,1,12.0,20.541199,-830.7490|-94.0476|349.3961|259.6094|315.7910,-1249.8597|33.8738|160.5581|414.5023|640.9253,-1556.4207|-517.4778|322.3317|802.9642|948.6025,314.0335|201.4613|565.2985|-438.6383|-642.1550
MICROCHIP_TRIANGLE,MICROCHIP,day_mean,5,0.205866,0.266667,0.8,157.339,285.3625,275.7031,30.6337,19.0684,0.61378,2,9.0,14.458638,217.4843|89.2303|-43.8829|12.8713|-275.7031,-92.0233|71.1705|95.4737|46.8097|-121.4305,147.9584|28.5554|-161.9834|241.9597|-256.4901,596.5179|167.9651|-65.1391|-250.1553|-449.1886
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,day_mean,5,0.182536,0.2,0.733333,291.4585,535.5032,332.5433,27.7119,30.7597,0.561034,2,12.0,10.811016,-65.1600|-332.5433|-96.9630|230.8870|263.7793,404.2175|-196.1993|-272.4413|20.2503|44.1728,214.8445|-208.6982|-106.8649|-67.5005|168.2191,-814.5420|-592.7324|88.4173|739.9111|578.9461
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,day_mean,5,0.062844,0.066667,0.733333,241.9759,478.3174,316.2182,26.3515,28.9193,0.686093,2,12.0,10.934507,127.8548|316.2182|-46.8577|-189.0983|-208.1170,781.4416|460.8971|-147.9599|-386.5534|-707.8254,-349.9338|144.5672|48.2142|-31.2408|188.3932,-47.9433|343.1902|-40.8273|-149.5008|-104.9188
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,day_mean,5,0.321172,0.433333,0.866667,286.0199,561.7145,658.6394,43.9093,54.9233,0.581684,3,15.0,11.991996,-658.6394|-275.1097|119.0942|238.5358|576.1191,-1132.2970|-206.4950|487.1687|273.1058|578.5175,130.4766|-135.1946|-328.3347|65.1599|267.8929,-974.0979|-483.6394|198.4486|377.3419|881.9469
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,day_mean,5,-0.32145,-0.266667,0.666667,241.5165,292.2892,218.5648,16.8127,22.1261,0.393647,0,13.0,9.878141,15.2465|-127.4920|-218.5648|165.8234|164.9869,99.3887|-94.2078|-210.3795|-58.2983|263.4970,-119.1995|212.6832|109.9158|9.2260|-212.6255,65.5503|-500.9515|-555.2307|546.5426|444.0893
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,day_mean,5,-0.343988,-0.4,0.466667,329.4252,525.9608,345.1454,26.5496,34.2077,0.317061,0,13.0,10.089701,345.1454|145.0700|-4.2914|-238.9268|-246.9973,-47.3804|-35.9444|-210.1062|153.3716|140.0593,1088.5781|397.0061|56.6888|-648.2432|-894.0297,-5.7614|74.1483|140.5433|-221.9087|12.9786
PANEL_1X2,PANEL,day_mean,5,-0.229988,-0.266667,0.666667,289.2528,469.5384,155.8029,12.9836,17.2318,0.485352,1,12.0,9.041581,-116.6538|28.0581|-155.8029|112.3985|132.0001,531.1828|386.1925|-321.0102|-136.9677|-459.3972,-314.3568|-149.6765|-111.2703|173.1205|402.1832,-566.7875|-152.3417|-35.1280|301.0428|453.2145
PANEL_1X4,PANEL,day_mean,5,-0.078529,0.0,0.6,432.2515,616.3674,313.5255,39.1907,33.1522,0.319925,0,8.0,9.457153,273.1378|90.8584|-153.1468|-313.5255|102.6761,-121.5787|-260.4493|-300.9020|-44.4010|727.3310,939.5753|671.5909|104.9968|-979.9969|-736.1662,1.4168|-138.5665|-263.5352|83.8213|316.8635
PANEL_2X2,PANEL,day_mean,5,-0.322676,-0.2,0.533333,214.5359,442.596,114.8096,12.7566,11.9842,0.156125,0,9.0,9.580099,-67.5949|-16.2702|101.2422|97.4325|-114.8096,-67.3881|-112.9911|105.4355|-49.7056|124.6492,-173.4900|155.4810|356.8320|396.5467|-735.3697,38.0932|-91.3005|-158.5408|-54.5438|266.2917
PANEL_2X4,PANEL,day_mean,5,0.812904,0.833333,0.933333,125.5424,183.6359,514.1051,51.4105,45.5932,0.737643,4,10.0,11.275924,-514.1051|-242.7535|52.1937|377.0169|327.6480,-470.3084|-330.5764|-173.9814|422.1558|552.7103,-375.0505|-305.5496|232.8995|344.8042|102.8965,-696.9565|-92.1345|97.6630|364.0908|327.3372
