group,day,bucket,group_path_mean,group_path_median,group_bucket0,group_path_d
PANEL,4,4,9875.10435,9586.87275,9606.7272,268.37715
PEBBLES,2,0,9999.9859,10078.836,9999.9859,0.0
PEBBLES,2,1,10000.00895,9951.605,9999.9859,0.02305
PEBBLES,2,2,9999.9479,10111.01325,9999.9859,-0.038
PEBBLES,2,3,9999.9816,9558.03025,9999.9859,-0.0043
PEBBLES,2,4,9999.98365,9424.8545,9999.9859,-0.00225
PEBBLES,3,0,9999.99755,9154.48075,9999.99755,0.0
PEBBLES,3,1,9999.9932,10005.44125,9999.99755,-0.00435
PEBBLES,3,2,9999.98995,9656.5725,9999.99755,-0.0076
PEBBLES,3,3,9999.99555,10241.2815,9999.99755,-0.002
PEBBLES,3,4,9999.99375,10777.02625,9999.99755,-0.0038
PEBBLES,4,0,10000.00345,10983.49175,10000.00345,0.0
PEBBLES,4,1,9999.9909,10413.24575,10000.00345,-0.01255
PEBBLES,4,2,9999.9689,10895.5445,10000.00345,-0.03455
PEBBLES,4,3,9999.98415,9956.76025,10000.00345,-0.0193
PEBBLES,4,4,9999.99335,9334.6395,10000.00345,-0.0101
ROBOT,2,0,9877.6929,9959.395,9877.6929,0.0
ROBOT,2,1,9747.56315,9650.1925,9877.6929,-130.12975
ROBOT,2,2,9835.13295,9931.97425,9877.6929,-42.55995
ROBOT,2,3,9964.0587,9829.6195,9877.6929,86.3658
ROBOT,2,4,9962.55075,9931.296,9877.6929,84.85785
ROBOT,3,0,9905.04285,9893.13375,9905.042850000002,0.0
ROBOT,3,1,9833.2984,9936.526,9905.042850000002,-71.74445
ROBOT,3,2,9875.7748,10098.85125,9905.042850000002,-29.26805
ROBOT,3,3,9825.98925,9766.03725,9905.042850000002,-79.0536
ROBOT,3,4,9697.5613,9738.43375,9905.042850000002,-207.48155
ROBOT,4,0,9571.2903,9012.8265,9571.290299999999,0.0
ROBOT,4,1,9645.9042,8919.73475,9571.290299999999,74.6139
ROBOT,4,2,9606.1393,9000.2915,9571.290299999999,34.849
ROBOT,4,3,9510.2397,9032.74775,9571.290299999999,-61.0506
ROBOT,4,4,9570.6691,9184.68875,9571.290299999999,-0.6212
SLEEP_POD,2,0,10213.08625,10201.224,10213.08625,0.0
SLEEP_POD,2,1,10392.6919,10396.12925,10213.08625,179.60565
SLEEP_POD,2,2,10258.9619,10455.11725,10213.08625,45.87565
SLEEP_POD,2,3,10428.92035,10379.319,10213.08625,215.8341
SLEEP_POD,2,4,10675.5463,11080.54925,10213.08625,462.46005
SLEEP_POD,3,0,10561.9663,10936.25425,10561.9663,0.0
SLEEP_POD,3,1,10780.02125,10892.5835,10561.9663,218.05495
SLEEP_POD,3,2,11075.4846,11317.23925,10561.9663,513.5183
SLEEP_POD,3,3,11133.3119,11726.7645,10561.9663,571.3456
SLEEP_POD,3,4,11412.18525,11865.0665,10561.9663,850.21895
SLEEP_POD,4,0,11646.0796,12263.1815,11646.079600000001,0.0
SLEEP_POD,4,1,11725.01305,11929.16725,11646.079600000001,78.93345
SLEEP_POD,4,2,11833.35775,12273.76175,11646.079600000001,187.27815
SLEEP_POD,4,3,11692.4199,11796.9065,11646.079600000001,46.3403
SLEEP_POD,4,4,11481.4826,11546.53625,11646.079600000001,-164.597
SNACKPACK,2,0,9998.22405,9962.218,9998.22405,0.0
SNACKPACK,2,1,10003.8999,10053.15225,9998.22405,5.67585
SNACKPACK,2,2,9971.48665,10019.273,9998.22405,-26.7374
SNACKPACK,2,3,10025.1462,9967.751,9998.22405,26.92215
SNACKPACK,2,4,10042.09575,10050.25,9998.22405,43.8717
SNACKPACK,3,0,10075.1853,9980.01925,10075.185300000001,0.0
SNACKPACK,3,1,10089.81415,9943.26725,10075.185300000001,14.62885
SNACKPACK,3,2,10065.03095,10046.03775,10075.185300000001,-10.15435
SNACKPACK,3,3,10042.8497,10209.50475,10075.185300000001,-32.3356
SNACKPACK,3,4,10053.4841,10131.5955,10075.185300000001,-21.7012
SNACKPACK,4,0,10033.15565,9983.8795,10033.15565,0.0
SNACKPACK,4,1,10056.34585,9848.541,10033.15565,23.1902
SNACKPACK,4,2,10062.7542,10041.13775,10033.15565,29.59855
SNACKPACK,4,3,10091.1963,10022.979,10033.15565,58.04065
SNACKPACK,4,4,10052.14705,10279.36125,10033.15565,18.9914
TRANSLATOR,2,0,9950.75725,9994.37975,9950.757249999999,0.0
TRANSLATOR,2,1,9779.3347,9892.418,9950.757249999999,-171.42255
TRANSLATOR,2,2,9704.4353,9849.161,9950.757249999999,-246.32195
TRANSLATOR,2,3,9873.8448,9816.9705,9950.757249999999,-76.91245
TRANSLATOR,2,4,9949.80445,9688.33625,9950.757249999999,-0.9528
TRANSLATOR,3,0,10031.20525,9657.2715,10031.205249999999,0.0
TRANSLATOR,3,1,9921.64015,9767.14025,10031.205249999999,-109.5651
TRANSLATOR,3,2,9863.52225,9913.4505,10031.205249999999,-167.683
TRANSLATOR,3,3,9937.9633,9875.584,10031.205249999999,-93.24195
TRANSLATOR,3,4,10021.7045,9983.2355,10031.205249999999,-9.50075
TRANSLATOR,4,0,10202.3575,9912.6375,10202.3575,0.0
TRANSLATOR,4,1,10051.43255,10006.461,10202.3575,-150.92495
TRANSLATOR,4,2,10021.418,9835.50475,10202.3575,-180.9395
TRANSLATOR,4,3,9790.9405,9678.56125,10202.3575,-411.417
TRANSLATOR,4,4,9621.88535,9532.462,10202.3575,-580.47215
UV_VISOR,2,0,10104.18975,10064.49525,10104.189750000001,0.0
UV_VISOR,2,1,10112.6772,10022.977,10104.189750000001,8.48745
UV_VISOR,2,2,10156.7516,10051.13825,10104.189750000001,52.56185
UV_VISOR,2,3,10311.7218,10602.4805,10104.189750000001,207.53205
UV_VISOR,2,4,10335.62405,10673.63425,10104.189750000001,231.4343
UV_VISOR,3,0,10298.9109,10509.026,10298.910899999999,0.0
UV_VISOR,3,1,10319.80935,10740.62225,10298.910899999999,20.89845
UV_VISOR,3,2,10396.749,10977.0585,10298.910899999999,97.8381
UV_VISOR,3,3,10286.1022,10523.66225,10298.910899999999,-12.8087
UV_VISOR,3,4,10336.9921,10823.69325,10298.910899999999,38.0812
UV_VISOR,4,0,10501.75845,11479.5345,10501.75845,0.0
UV_VISOR,4,1,10548.5153,11145.57575,10501.75845,46.75685
UV_VISOR,4,2,10374.7927,11338.6095,10501.75845,-126.96575
UV_VISOR,4,3,10207.18715,11001.608,10501.75845,-294.5713
UV_VISOR,4,4,10120.46755,10004.9725,10501.75845,-381.2909
