group,product,alpha_mean,beta_mean,r2_mean,alpha_std,beta_std,offset_avg_path,offset_max_abs,offset_cross_day_corr_mean,offset_sign_consistency,offset_all_days_same_sign_buckets,scale_avg_path,scale_max_abs,scale_cross_day_corr_mean,scale_sign_consistency,scale_all_days_same_sign_buckets,rms_offset_resid,rms_scale_resid
OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,-1.302653,22370.4838,0.250424,0.927915,9172.1242,-671.7919|-475.7677|-844.0984|-1077.2998|-1164.8285,1164.8285,-0.150247,1.0,5,165.7936|302.5902|-125.8293|-201.3608|-141.1936,302.5902,0.265207,0.666667,2,949.692,331.5017
OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,1.971902,-10372.5208,0.467936,1.291545,12867.8378,-579.8226|-839.5451|-609.2196|-372.3304|-407.9481,839.5451,0.190355,0.866667,3,148.9775|-156.0690|13.0569|56.5275|-62.4929,156.069,0.077597,0.666667,1,678.8906,163.7169
OXYGEN_SHAKE,OXYGEN_SHAKE_GARLIC,0.103837,10705.2748,0.316238,1.713706,16635.8157,1195.4586|1586.6492|1975.5983|2004.0791|2273.1524,2273.1524,0.563529,0.933333,4,-368.8035|-104.8827|98.9238|37.8012|336.9612,368.8035,-0.09703,0.733333,1,1977.3532,392.2362
OXYGEN_SHAKE,OXYGEN_SHAKE_MORNING_BREATH,2.618545,-16343.6342,0.571244,2.385929,23949.3865,274.0570|81.6424|-72.9737|-398.5699|-475.1504,475.1504,-0.219582,0.666667,0,-57.2402|-12.5117|133.1644|30.2049|-93.6174,133.1644,-0.17581,0.666667,0,684.9007,147.8314
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,1.608369,-6359.6037,0.456262,1.47198,14779.0446,-217.9012|-352.9788|-449.3065|-155.8790|-225.2255,449.3065,-0.281436,0.666667,1,111.2726|-29.1266|-119.3158|76.8272|-39.6573,119.3158,-0.451335,0.533333,0,584.5346,221.0205
PANEL,PANEL_2X4,1.183799,-387.6709,0.290448,1.517878,14856.969,973.8583|1217.2090|1585.2506|1819.8000|1689.7467,1819.8,0.898015,1.0,5,-442.1372|-191.4072|303.0007|312.7533|17.7904,442.1372,0.93833,0.933333,4,1603.3135,296.9283
PANEL,PANEL_4X4,-2.100285,30277.4528,0.488524,2.041575,19814.9795,372.5730|199.4684|-77.5032|-145.2436|3.3014,372.573,-0.119418,0.6,0,190.8546|182.3275|-180.3108|-226.8475|33.9762,226.8475,0.105096,0.733333,1,460.2245,265.4335
PANEL,PANEL_1X4,4.177722,-31538.2822,0.644617,2.870422,27733.8976,-106.6911|-316.9716|-487.8822|-738.5349|-403.0176,738.5349,-0.073785,0.8,2,323.4081|16.5248|-125.3977|-287.8466|73.3114,323.4081,-0.024262,0.6,0,809.709,361.5576
PANEL,PANEL_2X2,2.198965,-11878.0521,0.397765,2.275659,21913.0729,-268.4060|-245.0823|-54.4754|-148.5590|-441.4855,441.4855,-0.239028,0.666667,1,-36.5226|-86.1367|15.0025|138.8257|-31.1689,138.8257,-0.272456,0.533333,1,643.0147,182.5526
PANEL,PANEL_1X2,-0.460202,13526.5525,0.421324,2.542104,24364.2807,-971.3343|-854.6235|-965.3899|-787.4625|-848.5451,971.3343,-0.321346,1.0,5,-35.6029|78.6916|-12.2947|63.1150|-93.9090,93.909,-0.27774,0.533333,0,1048.3111,271.2976
PEBBLES,PEBBLES_XS,48074.190726,-480734129.7524,0.252426,44163.039136,441630712.821,-1708.6111|-2298.2869|-2766.9964|-3124.1798|-3078.6666,3124.1798,0.876079,0.933333,4,608.3146|231.5366|235.8116|-549.3858|-526.2770,608.3146,0.85274,1.0,5,2963.274,498.674
PEBBLES,PEBBLES_S,8599.595589,-85986959.9207,0.065062,8444.793704,84448281.0662,-704.7246|-879.4549|-1069.0427|-1197.3256|-1487.6082,1487.6082,0.369808,0.933333,4,282.4045|209.8457|67.3644|-120.6960|-438.9186,438.9186,0.384582,0.733333,1,1333.5382,334.16
PEBBLES,PEBBLES_XL,-23934.089481,239353903.6333,0.049618,18101.76071,181018670.7381,2064.0624|2593.3369|3116.6442|4226.1756|4127.7879,4226.1756,0.031973,0.933333,4,-919.1346|-615.9517|-397.1222|963.8290|968.3795,968.3795,-0.03248,0.8,2,3654.6198,1110.4231
PEBBLES,PEBBLES_L,18625.922324,-186248952.9849,0.068972,30634.033694,306340130.9773,439.1254|460.9720|253.6400|-219.8009|-63.3232,460.972,-0.16531,0.8,2,216.1506|323.2703|115.8662|-431.6460|-223.6411,431.646,-0.125743,0.8,2,588.8149,497.5459
PEBBLES,PEBBLES_M,-51360.619157,513616139.0246,0.148545,73127.47607,731274238.2875,-89.8522|123.4330|465.7548|315.1307|501.8100,501.81,-0.288715,0.733333,1,-187.7352|-148.7008|-21.9200|137.8988|220.4572,220.4572,-0.410743,0.6,0,703.4436,395.4368
ROBOT,ROBOT_DISHES,0.852153,1499.3346,0.357957,1.594585,16069.8788,124.2535|163.5243|222.9128|232.5617|538.6863,538.6863,0.200793,0.6,0,-142.3021|26.9177|6.8024|-123.9652|232.5471,232.5471,0.418164,0.8,3,687.6014,177.7226
ROBOT,ROBOT_IRONING,3.931311,-29610.7133,0.493764,2.705288,26766.8928,-655.7953|-797.2119|-1101.5212|-1392.5201|-1354.7360,1392.5201,0.541223,0.933333,4,254.3892|166.5044|-172.4414|-244.8636|-3.5886,254.3892,0.276702,0.733333,2,1231.705,271.658
ROBOT,ROBOT_MOPPING,-2.135634,32256.7492,0.314561,5.42971,53118.8152,927.9023|1120.9273|1317.1774|1754.7582|1570.6650,1754.7582,-0.176102,0.933333,4,-127.6985|-219.6866|143.0661|437.8425|-233.5234,437.8425,0.273727,0.8,2,1585.9297,369.5405
ROBOT,ROBOT_VACUUMING,1.561228,-6111.1544,0.357424,1.405369,13948.1674,-443.7478|-537.6728|-576.9364|-699.3719|-718.0280,718.028,0.013741,0.933333,4,85.8073|25.7946|-30.8987|-86.3377|5.6344,86.3377,-0.28624,0.466667,0,715.3539,164.9883
ROBOT,ROBOT_LAUNDRY,0.790942,1965.7839,0.331419,1.623434,15480.6939,47.3873|50.4331|138.3674|104.5721|-36.5873,138.3674,-0.411658,0.6,0,-70.1960|0.4699|53.4715|17.3240|-1.0695,70.196,-0.419276,0.533333,0,473.1514,150.4567
SLEEP_POD,SLEEP_POD_LAMB_WOOL,0.079021,9696.6243,0.314533,0.543508,5951.7296,-350.4176|-186.8601|-195.9423|-461.7482|-401.3329,461.7482,-0.269455,0.8,2,-172.7967|128.6741|107.2421|-106.7380|43.6184,172.7967,-0.103694,0.6,0,675.0264,264.6359
SLEEP_POD,SLEEP_POD_COTTON,2.234127,-13610.0277,0.669707,1.185245,13801.9937,488.6753|491.3263|579.7503|667.1624|307.6460,667.1624,-0.193311,1.0,5,79.4938|-45.3587|-61.8151|125.8715|-98.1915,125.8715,-0.199748,0.733333,1,640.358,248.6696
SLEEP_POD,SLEEP_POD_SUEDE,1.349389,-3117.1323,0.574368,0.715502,7881.4114,436.7658|291.7623|334.5087|269.3216|551.2341,551.2341,-0.356934,0.733333,1,147.5495|-73.1808|34.2760|-124.5137|15.8690,147.5495,-0.249317,0.666667,0,612.2884,185.6376
SLEEP_POD,SLEEP_POD_POLYESTER,1.939317,-9322.277,0.719846,0.792072,8519.6555,775.0431|820.6863|682.5493|840.2402|980.7762,980.7762,-0.321537,0.933333,4,79.7602|-13.3988|-96.9944|-6.9666|37.5996,96.9944,-0.343917,0.533333,0,938.0674,189.4548
SLEEP_POD,SLEEP_POD_NYLON,-0.601854,16352.8126,0.629604,1.093499,12523.9021,-1350.0666|-1416.9148|-1400.8659|-1314.9761|-1438.3234,1438.3234,-0.354885,1.0,5,-134.0068|3.2642|17.2914|112.3467|1.1045,134.0068,-0.359883,0.666667,0,1469.8287,187.7493
SNACKPACK,SNACKPACK_PISTACHIO,2.404183,-14707.4392,0.301713,3.090212,31124.4339,-429.6503|-466.3636|-560.1634|-605.8048|-679.7368,679.7368,0.728282,1.0,5,93.7660|33.0901|-27.3353|-5.1742|-94.3466,94.3466,0.45097,0.733333,2,577.1872,83.11
SNACKPACK,SNACKPACK_STRAWBERRY,4.514671,-34628.4356,0.430889,0.790047,7934.1542,488.6488|726.0798|657.1658|734.3954|705.8140,734.3954,0.207593,0.933333,4,-132.7482|53.5869|39.3197|23.1214|16.7203,132.7482,0.055203,0.733333,1,733.1872,113.9227
SNACKPACK,SNACKPACK_RASPBERRY,-2.336611,33584.3257,0.262966,2.138356,21559.8654,59.1427|-79.8305|60.0066|13.6809|115.1220,115.122,-0.164193,0.666667,1,22.7436|-65.7624|10.0076|-35.6525|68.6636,68.6636,-0.19658,0.6,0,124.749,94.7309
SNACKPACK,SNACKPACK_VANILLA,0.761193,2514.8145,0.531107,5.114383,51374.2212,-24.7863|-19.3105|-5.5299|210.7072|104.4933,210.7072,0.242018,0.733333,2,-9.2873|-4.2223|-32.3107|43.5773|2.2430,43.5773,-0.357278,0.6,0,157.4791,90.9938
SNACKPACK,SNACKPACK_CHOCOLATE,-0.343436,13236.7346,0.520175,5.004834,50280.0495,-93.3549|-160.5751|-151.4791|-352.9786|-245.6925,352.9786,0.265327,0.933333,4,25.5259|-16.6923|10.3187|-25.8720|6.7196,25.872,-0.371986,0.6,0,278.6652,85.4703
TRANSLATOR,TRANSLATOR_ASTRO_BLACK,1.316667,-3735.7669,0.448262,1.784983,18083.4153,-403.2169|-507.3676|-512.2852|-529.4152|-695.7012,695.7012,-0.220097,0.733333,1,131.7594|27.3286|35.0413|13.2321|-207.3614,207.3614,0.268145,0.666667,1,721.9709,165.5489
TRANSLATOR,TRANSLATOR_VOID_BLUE,0.56695,5299.3833,0.227647,1.41395,14424.2124,649.2933|808.6287|966.7814|1186.3445|1107.7668,1186.3445,-0.05736,1.0,5,-173.9279|-51.7376|104.8015|146.2941|-25.4301,173.9279,-0.154845,0.733333,1,1085.1198,235.7581
TRANSLATOR,TRANSLATOR_SPACE_GRAY,0.662267,2866.92,0.311985,0.966,9889.2315,-422.9186|-457.8511|-440.8183|-598.3640|-494.6206,598.364,-0.347559,0.866667,3,31.4914|-38.3299|-52.4650|-74.6286|133.9321,133.9321,-0.222111,0.666667,0,654.9571,243.421
TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,1.504456,-5044.8637,0.529411,1.280099,12718.8086,-70.0974|-72.6282|-188.9988|-142.4847|-31.1634,188.9988,-0.337288,0.733333,1,-9.4496|87.4158|15.6033|-73.8074|-19.7621,87.4158,-0.276581,0.6,0,279.2309,191.4865
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,0.94966,614.3272,0.358805,1.298919,12629.5096,246.9396|229.2183|175.3208|83.9194|113.7184,246.9396,-0.412658,0.666667,1,20.1267|-24.6770|-102.9810|-11.0902|118.6214,118.6214,-0.337895,0.6,0,438.5807,242.3339
UV_VISOR,UV_VISOR_AMBER,-1.634695,24647.0889,0.329947,1.510651,16362.2617,-2044.8590|-2323.0835|-2414.9976|-2552.1720|-2577.1562,2577.1562,-0.131754,1.0,5,205.1974|-29.3956|-40.1420|-82.2302|-53.4295,205.1974,0.219816,0.666667,1,2608.8406,153.94
UV_VISOR,UV_VISOR_RED,0.883577,1909.0338,0.52946,2.591221,27064.0633,581.8814|794.9512|890.4063|698.2620|880.2174,890.4063,-0.138422,0.933333,4,-114.9620|110.0335|25.9871|-49.9229|28.8643,114.962,-0.117727,0.666667,1,949.9825,141.6677
UV_VISOR,UV_VISOR_ORANGE,1.831592,-8531.2879,0.337376,2.191383,22337.4817,36.5781|307.1329|352.9257|147.8374|-182.6926,352.9257,0.095999,0.6,0,-147.5413|93.5076|105.1154|155.2673|-206.3490,206.349,-0.203551,0.733333,1,469.0032,261.727
UV_VISOR,UV_VISOR_YELLOW,2.630174,-15974.4415,0.636797,3.561578,36815.4239,770.9271|546.8739|492.9592|701.2754|804.5185,804.5185,-0.226479,0.8,2,115.8430|-143.9673|-35.1704|-65.5210|128.8158,143.9673,-0.268411,0.666667,0,873.1203,237.3957
UV_VISOR,UV_VISOR_MAGENTA,1.289351,-2050.3933,0.368064,1.849208,19349.8477,655.4726|674.1256|678.7063|1004.7974|1075.1130,1075.113,0.319608,0.866667,3,-58.5370|-30.1782|-55.7900|42.4068|102.0985,102.0985,-0.31092,0.666667,0,963.3633,171.5812
